GEO_ID,B27001F_001E,B27001F_001M,B27001F_002E,B27001F_002M,B27001F_003E,B27001F_003M,B27001F_004E,B27001F_004M,B27001F_005E,B27001F_005M,B27001F_006E,B27001F_006M,B27001F_007E,B27001F_007M,B27001F_008E,B27001F_008M,B27001F_009E,B27001F_009M,B27001F_010E,B27001F_010M,B27001F_011E,B27001F_011M,B27001F_012E,B27001F_012M,B27001F_013E,B27001F_013M,B27001F_014E,B27001F_014M,B27001F_015E,B27001F_015M,B27001F_016E,B27001F_016M,B27001F_017E,B27001F_017M,B27001F_018E,B27001F_018M,B27001F_019E,B27001F_019M,B27001F_020E,B27001F_020M,B27001F_021E,B27001F_021M,B27001F_022E,B27001F_022M,B27001F_023E,B27001F_023M,B27001F_024E,B27001F_024M,B27001F_025E,B27001F_025M,B27001F_026E,B27001F_026M,B27001F_027E,B27001F_027M,B27001F_028E,B27001F_028M,NAME,B27001F_001MA,B27001F_001EA,B27001F_002EA,B27001F_002MA,B27001F_003EA,B27001F_003MA,B27001F_004EA,B27001F_004MA,B27001F_005EA,B27001F_005MA,B27001F_006MA,B27001F_006EA,B27001F_007EA,B27001F_007MA,B27001F_008EA,B27001F_008MA,B27001F_009EA,B27001F_009MA,B27001F_010EA,B27001F_010MA,B27001F_011MA,B27001F_011EA,B27001F_012MA,B27001F_012EA,B27001F_013EA,B27001F_013MA,B27001F_014EA,B27001F_014MA,B27001F_015EA,B27001F_015MA,B27001F_016MA,B27001F_016EA,B27001F_017MA,B27001F_017EA,B27001F_018EA,B27001F_018MA,B27001F_019EA,B27001F_019MA,B27001F_020EA,B27001F_020MA,B27001F_021EA,B27001F_021MA,B27001F_022MA,B27001F_022EA,B27001F_023MA,B27001F_023EA,B27001F_024EA,B27001F_024MA,B27001F_025EA,B27001F_025MA,B27001F_026EA,B27001F_026MA,B27001F_027MA,B27001F_027EA,B27001F_028MA,B27001F_028EA,state
0400000US01,66626,6729,8394,2163,7896,2032,498,519,19609,2864,17168,2718,2441,1155,7732,1832,4016,1355,3716,1401,9286,2006,4030,1239,5256,1754,12157,2275,4810,1418,7347,1924,4984,1148,2327,684,2657,851,1474,622,1136,574,338,260,2393,1335,2163,1290,230,314,597,578,512,520,85,111,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10213,2220,999,788,999,788,0,153,1494,811,1396,797,98,161,837,471,704,431,133,201,1464,720,1122,609,342,392,2097,1123,1852,1100,245,213,1083,466,863,403,220,195,1097,473,940,441,157,169,1039,821,978,822,61,122,103,115,103,115,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,419514,21106,35088,4593,31842,4227,3246,1199,97126,7982,84429,8078,12697,2853,54400,5190,40620,3978,13780,3066,60947,5026,45093,3971,15854,2685,61553,5128,44270,4394,17283,2441,54063,4202,41386,3933,12677,2179,33180,2463,27310,2389,5870,1400,15342,1879,14773,1886,569,428,7815,1592,7458,1583,357,239,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,91656,7741,10518,2047,9404,1878,1114,785,26900,3241,22879,2869,4021,1817,10276,1713,7457,1391,2819,1028,11470,2945,6568,1697,4902,2180,13420,2286,7582,1690,5838,2087,11172,2483,7385,1978,3787,1513,5032,1211,2868,775,2164,989,2307,1077,2307,1077,0,201,561,449,561,449,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5851984,64769,517341,13598,501626,13613,15715,2596,1265837,21354,1208212,21600,57625,5176,742562,15972,620400,14492,122162,7344,870322,17275,695373,16112,174949,7431,868078,14363,675072,13931,193006,7618,745452,14573,604391,13667,141061,7432,483419,11164,417694,9633,65725,5456,228925,8211,219166,7866,9759,2077,130048,5229,126122,5145,3926,1067,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217237,11761,17435,2734,16598,2715,837,574,50405,4394,47286,4449,3119,1217,24422,3781,21188,3534,3234,1294,32366,3563,24371,3090,7995,1885,32742,3335,24108,2797,8634,2016,25581,2951,19886,2625,5695,1342,20774,2093,17174,2004,3600,1140,8963,1494,8806,1494,157,226,4549,1056,4276,1025,273,415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,188054,12649,16674,2469,15954,2418,720,688,42150,4217,39835,4154,2315,1058,20070,2903,15209,2338,4861,1600,31563,3641,21429,2822,10134,2272,30651,3166,22207,2964,8444,2194,24459,2776,20517,2488,3942,1112,12734,2273,10983,2294,1751,803,6763,1831,6244,1777,519,630,2990,967,2658,873,332,520,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18016,3422,2594,1450,2594,1450,0,198,4506,1382,4473,1382,33,57,1567,685,1273,631,294,230,2504,937,1827,886,677,508,3369,1102,2478,1186,891,646,1013,562,1013,562,0,198,1260,750,907,537,353,506,948,616,719,575,229,285,255,294,255,294,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39506,5037,4696,1659,4696,1659,0,208,8490,1365,8369,1340,121,210,3167,738,2741,736,426,440,7956,1648,5962,1569,1994,898,7385,1339,4568,1190,2817,1312,2852,1134,2796,1146,56,98,3082,720,2791,821,291,301,1575,661,1575,661,0,208,303,324,303,324,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,595964,29670,47418,4393,43024,4159,4394,1713,116518,10778,104089,10142,12429,2630,61672,6771,40867,5094,20805,3824,92215,7903,60321,5880,31894,4788,111019,7422,74601,5902,36418,5514,74742,5495,57151,4336,17591,2923,46644,4297,37412,3547,9232,2095,27974,3612,26630,3380,1344,782,17762,2748,17519,2782,243,286,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
