GEO_ID,B01002G_001E,B01002G_001M,B01002G_002E,B01002G_002M,B01002G_003E,B01002G_003M,NAME,B01002G_001EA,B01002G_001MA,B01002G_002EA,B01002G_002MA,B01002G_003EA,B01002G_003MA,state
0400000US01,19.9,1.6,17.7,1.2,21.4,1.2,Alabama,null,null,null,null,null,null,01
0400000US02,19.2,1.4,20.4,2.2,17.7,2.0,Alaska,null,null,null,null,null,null,02
0400000US04,19.7,0.8,19.4,1.1,20.1,1.1,Arizona,null,null,null,null,null,null,04
0400000US05,20.5,2.1,21.7,2.0,18.8,2.6,Arkansas,null,null,null,null,null,null,05
0400000US06,22.3,0.4,22.2,0.5,22.4,0.5,California,null,null,null,null,null,null,06
0400000US08,22.4,1.3,21.9,1.5,23.1,2.1,Colorado,null,null,null,null,null,null,08
0400000US09,19.5,0.8,18.5,1.6,20.3,1.1,Connecticut,null,null,null,null,null,null,09
0400000US10,17.9,2.8,18.9,7.3,17.3,2.7,Delaware,null,null,null,null,null,null,10
0400000US11,26.7,2.3,26.6,3.2,26.7,3.1,District of Columbia,null,null,null,null,null,null,11
0400000US12,21.8,0.9,21.0,1.0,22.6,1.4,Florida,null,null,null,null,null,null,12
0400000US13,18.4,0.8,16.5,0.9,19.7,1.0,Georgia,null,null,null,null,null,null,13
0400000US15,26.3,0.6,26.4,0.9,26.3,0.8,Hawaii,null,null,null,null,null,null,15
0400000US16,19.2,1.5,18.3,1.7,21.5,4.4,Idaho,null,null,null,null,null,null,16
0400000US17,18.9,0.8,18.1,0.8,20.0,1.4,Illinois,null,null,null,null,null,null,17
0400000US18,17.6,1.1,16.9,1.5,17.9,1.1,Indiana,null,null,null,null,null,null,18
0400000US19,15.8,1.0,15.5,1.0,16.4,1.6,Iowa,null,null,null,null,null,null,19
0400000US20,18.3,1.0,18.1,1.3,18.4,1.4,Kansas,null,null,null,null,null,null,20
0400000US21,16.7,1.3,15.8,1.3,18.1,1.8,Kentucky,null,null,null,null,null,null,21
0400000US22,18.2,1.6,17.5,2.2,18.9,2.0,Louisiana,null,null,null,null,null,null,22
0400000US23,20.6,2.0,22.2,2.2,18.8,2.8,Maine,null,null,null,null,null,null,23
0400000US24,18.9,1.2,17.8,1.7,20.2,1.7,Maryland,null,null,null,null,null,null,24
0400000US25,20.7,1.0,19.9,1.6,21.5,1.4,Massachusetts,null,null,null,null,null,null,25
0400000US26,18.6,0.5,17.8,0.9,19.5,1.1,Michigan,null,null,null,null,null,null,26
0400000US27,16.9,1.0,17.0,1.6,16.9,1.0,Minnesota,null,null,null,null,null,null,27
0400000US28,17.0,2.6,15.6,1.5,19.6,4.0,Mississippi,null,null,null,null,null,null,28
0400000US29,18.4,0.9,19.4,1.6,17.7,1.5,Missouri,null,null,null,null,null,null,29
0400000US30,20.6,2.1,21.8,3.4,19.4,2.9,Montana,null,null,null,null,null,null,30
0400000US31,15.7,1.3,15.0,1.7,16.4,2.0,Nebraska,null,null,null,null,null,null,31
0400000US32,21.6,2.2,21.4,2.3,22.1,3.4,Nevada,null,null,null,null,null,null,32
0400000US33,21.2,3.6,19.7,3.7,22.4,4.3,New Hampshire,null,null,null,null,null,null,33
0400000US34,21.3,1.0,20.9,1.5,21.6,1.1,New Jersey,null,null,null,null,null,null,34
0400000US35,21.2,3.2,20.4,3.0,22.0,4.9,New Mexico,null,null,null,null,null,null,35
0400000US36,23.5,0.7,22.5,1.0,24.6,1.0,New York,null,null,null,null,null,null,36
0400000US37,17.7,0.7,17.2,1.1,18.2,0.9,North Carolina,null,null,null,null,null,null,37
0400000US38,18.0,3.1,18.3,4.1,17.4,5.2,North Dakota,null,null,null,null,null,null,38
0400000US39,17.8,0.7,17.3,0.9,18.2,0.7,Ohio,null,null,null,null,null,null,39
0400000US40,21.9,0.8,20.8,0.8,23.4,1.0,Oklahoma,null,null,null,null,null,null,40
0400000US41,22.9,0.9,23.1,1.5,22.7,1.1,Oregon,null,null,null,null,null,null,41
0400000US42,18.1,0.7,16.9,0.8,19.4,0.8,Pennsylvania,null,null,null,null,null,null,42
0400000US44,20.8,1.5,21.2,2.8,20.5,1.8,Rhode Island,null,null,null,null,null,null,44
0400000US45,18.7,1.4,18.5,1.9,18.8,2.1,South Carolina,null,null,null,null,null,null,45
0400000US46,17.9,2.8,17.6,2.9,18.9,5.0,South Dakota,null,null,null,null,null,null,46
0400000US47,17.9,1.0,17.4,1.6,18.4,1.3,Tennessee,null,null,null,null,null,null,47
0400000US48,20.1,0.6,19.1,0.9,21.1,0.8,Texas,null,null,null,null,null,null,48
0400000US49,17.5,1.1,17.2,1.4,18.0,1.5,Utah,null,null,null,null,null,null,49
0400000US50,21.7,4.0,21.1,4.6,23.6,3.4,Vermont,null,null,null,null,null,null,50
0400000US51,19.1,0.7,18.6,0.9,19.6,0.9,Virginia,null,null,null,null,null,null,51
0400000US53,20.1,0.7,20.1,0.8,20.1,1.0,Washington,null,null,null,null,null,null,53
0400000US54,16.1,1.7,14.7,3.0,16.5,1.1,West Virginia,null,null,null,null,null,null,54
0400000US55,17.7,0.7,18.3,1.0,17.2,0.9,Wisconsin,null,null,null,null,null,null,55
0400000US56,19.0,3.4,17.5,5.5,21.3,3.8,Wyoming,null,null,null,null,null,null,56
0400000US72,38.5,2.5,36.4,3.0,40.1,1.8,Puerto Rico,null,null,null,null,null,null,72
