GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001EA,C23002A_001MA,C23002A_002MA,C23002A_002EA,C23002A_003MA,C23002A_003EA,C23002A_004EA,C23002A_004MA,C23002A_005EA,C23002A_005MA,C23002A_006EA,C23002A_006MA,C23002A_007MA,C23002A_007EA,C23002A_008MA,C23002A_008EA,C23002A_009EA,C23002A_009MA,C23002A_010EA,C23002A_010MA,C23002A_011EA,C23002A_011MA,C23002A_012MA,C23002A_012EA,C23002A_013MA,C23002A_013EA,C23002A_014EA,C23002A_014MA,C23002A_015EA,C23002A_015MA,C23002A_016EA,C23002A_016MA,C23002A_017MA,C23002A_017EA,C23002A_018MA,C23002A_018EA,C23002A_019EA,C23002A_019MA,C23002A_020EA,C23002A_020MA,C23002A_021EA,C23002A_021MA,C23002A_022MA,C23002A_022EA,C23002A_023MA,C23002A_023EA,C23002A_024EA,C23002A_024MA,C23002A_025EA,C23002A_025MA,C23002A_026EA,C23002A_026MA,C23002A_027MA,C23002A_027EA,state
0400000US01,2712192,5754,1315693,3779,1036574,3395,783565,7204,8573,1647,774992,7335,739295,8183,35697,3253,253009,7145,279119,1249,55390,2948,54387,2995,1003,488,223729,3117,1396499,3864,1045669,3623,653213,8825,1242,608,651971,8876,619119,9198,32852,3313,392456,8995,350830,999,40182,2501,39285,2563,897,569,310648,2818,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,385348,2261,206055,1529,173990,1458,142584,3360,10668,1509,131916,3275,123143,3544,8773,1476,31406,2937,32065,346,8018,1250,7622,1224,396,292,24047,1336,179293,1486,148960,1436,108425,2535,994,537,107431,2452,102620,2584,4811,1033,40535,2574,30333,263,5873,970,5796,960,77,100,24460,977,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4413502,17685,2175275,9543,1674900,9244,1314348,11535,10089,1325,1304259,11767,1236066,12001,68193,4791,360552,8356,500375,1509,89540,3973,87004,4012,2536,681,410835,4370,2238227,9843,1659547,9666,1131936,12499,3037,1048,1128899,12365,1069953,12459,58946,4153,527611,10589,578680,2131,70753,4168,68708,3954,2045,668,507927,4593,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1860833,5131,907521,3485,713719,3604,529488,7732,3291,911,526197,7619,498717,8245,27480,3095,184231,7616,193802,944,38306,2655,37618,2694,688,391,155496,2613,953312,3545,713548,3380,472226,7120,624,382,471602,7108,448725,7386,22877,2572,241322,6809,239764,752,29903,2661,28845,2629,1058,488,209861,2741,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18831206,48598,9359948,27180,7636597,25665,6062412,31387,76103,4672,5986309,30861,5651749,30564,334560,11170,1574185,18723,1723351,5740,422729,8231,403612,8255,19117,2299,1300622,9580,9471258,28071,7367195,26506,5018086,30269,10002,1683,5008084,30809,4730479,29497,277605,10499,2349109,24724,2104063,6781,312337,7951,301136,7643,11201,1407,1791726,10669,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3831230,10326,1915391,6424,1592671,6380,1323040,9891,23915,2520,1299125,10025,1246166,9851,52959,3227,269631,7628,322720,1373,84273,3517,81981,3542,2292,616,238447,3518,1915839,5881,1533873,5471,1135199,10312,4166,1042,1131033,10572,1087966,10193,43067,3822,398674,10517,381966,1783,62072,3081,60292,3192,1780,708,319894,3355,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2282669,9486,1102776,6107,871120,5934,709321,6583,6543,1072,702778,6822,664624,7111,38154,3481,161799,5544,231656,1294,60525,3486,58946,3417,1579,583,171131,3821,1179893,5555,880644,5439,661228,7159,884,590,660344,7205,625549,8349,34795,3390,219416,8115,299249,1478,53180,3211,51590,3262,1590,613,246069,3606,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,552587,3357,266729,2157,202576,2129,157912,3213,2267,696,155645,3199,147536,3697,8109,1504,44664,3163,64153,438,13574,1101,13192,1062,382,210,50579,1169,285858,1731,208332,1703,143405,3634,229,264,143176,3644,137087,3789,6089,1504,64927,3750,77526,497,12015,1683,11347,1567,668,398,65511,1697,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252080,3248,124856,2034,110463,1983,97338,2159,1739,381,95599,2125,93031,2388,2568,900,13125,1623,14393,385,5851,1041,5719,1043,132,161,8542,1052,127224,1684,111134,1575,94445,2362,416,290,94029,2344,91204,2317,2825,805,16689,2117,16090,537,5229,915,5049,909,180,256,10861,868,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13302316,26456,6467041,14394,4796624,14304,3740814,20141,33592,2868,3707222,20637,3529601,21662,177621,7749,1055810,16040,1670417,3637,306891,7458,296579,7573,10312,1278,1363526,8326,6835275,15295,4833163,13370,3278349,19260,5356,983,3272993,19505,3115335,19001,157658,7252,1554814,17343,2002112,5079,234437,7523,225835,7350,8602,1138,1767675,8944,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
