GEO_ID,C14007F_001E,C14007F_001M,C14007F_002E,C14007F_002M,C14007F_003E,C14007F_003M,C14007F_004E,C14007F_004M,C14007F_005E,C14007F_005M,C14007F_006E,C14007F_006M,C14007F_007E,C14007F_007M,NAME,C14007F_001EA,C14007F_001MA,C14007F_002MA,C14007F_002EA,C14007F_003MA,C14007F_003EA,C14007F_004EA,C14007F_004MA,C14007F_005EA,C14007F_005MA,C14007F_006EA,C14007F_006MA,C14007F_007EA,C14007F_007MA,state
0400000US01,63744,6399,24307,3034,1652,730,14669,2399,4397,1188,3589,1141,39437,4693,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11074,2260,3057,1249,737,671,828,467,443,380,1049,684,8017,1461,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,415048,19971,133168,9910,11114,2563,58009,4893,34130,3317,29915,3893,281880,13200,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85614,7312,34091,4217,4398,1038,16900,2565,7249,1195,5544,1626,51523,4319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5659792,62868,1816181,26249,184758,8615,750707,14828,413121,11589,467595,11552,3843611,42570,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,211164,11139,64441,5249,5607,1360,30619,3463,16727,2430,11488,1936,146723,8070,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,184119,12212,57113,4862,6305,1672,25905,3405,13102,2223,11801,2077,127006,8949,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16664,3054,6017,1633,684,546,2826,982,1530,641,977,546,10647,2119,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37855,4495,11531,2155,1878,910,5676,1389,2221,662,1756,701,26324,3306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,578265,28957,168807,13450,17778,3179,73238,7650,36180,5496,41611,4365,409458,19489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,259662,17312,87185,8741,7967,1919,47161,5973,20588,2300,11469,2726,172477,11587,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,20489,2976,6432,1375,247,301,2148,753,1564,720,2473,837,14057,2509,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,57326,7217,18358,3662,825,582,8937,1792,4338,1520,4258,1891,38968,4895,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
