GEO_ID,B19001C_001E,B19001C_001M,B19001C_002E,B19001C_002M,B19001C_003E,B19001C_003M,B19001C_004E,B19001C_004M,B19001C_005E,B19001C_005M,B19001C_006E,B19001C_006M,B19001C_007E,B19001C_007M,B19001C_008E,B19001C_008M,B19001C_009E,B19001C_009M,B19001C_010E,B19001C_010M,B19001C_011E,B19001C_011M,B19001C_012E,B19001C_012M,B19001C_013E,B19001C_013M,B19001C_014E,B19001C_014M,B19001C_015E,B19001C_015M,B19001C_016E,B19001C_016M,B19001C_017E,B19001C_017M,NAME,B19001C_001MA,B19001C_001EA,B19001C_002EA,B19001C_002MA,B19001C_003EA,B19001C_003MA,B19001C_004MA,B19001C_004EA,B19001C_005MA,B19001C_005EA,B19001C_006MA,B19001C_006EA,B19001C_007EA,B19001C_007MA,B19001C_008EA,B19001C_008MA,B19001C_009MA,B19001C_009EA,B19001C_010MA,B19001C_010EA,B19001C_011MA,B19001C_011EA,B19001C_012MA,B19001C_012EA,B19001C_013EA,B19001C_013MA,B19001C_014EA,B19001C_014MA,B19001C_015MA,B19001C_015EA,B19001C_016MA,B19001C_016EA,B19001C_017MA,B19001C_017EA,state
0400000US01,9558,1503,978,520,467,331,849,386,353,249,347,290,393,334,302,239,573,414,690,362,539,343,1242,613,1049,480,557,324,313,256,601,392,305,301,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29882,2061,2451,395,1632,315,1834,456,2017,518,1578,459,1138,253,1637,464,1378,560,1855,918,2660,613,2862,792,3786,924,1902,465,875,286,1367,466,910,538,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,87411,3979,15604,1799,6040,992,5495,1051,5359,943,5872,1266,5473,1273,4391,915,4402,858,4194,918,4859,875,7269,1485,9266,1466,4103,964,2556,742,1854,575,674,453,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,6593,1200,981,535,380,350,981,594,316,210,7,13,402,346,556,386,480,357,173,195,334,256,629,362,463,266,308,281,278,300,220,199,85,125,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,103336,4483,7709,1441,6581,1197,4205,966,5900,1440,3841,1057,5745,1161,4923,1195,5342,1301,4318,1100,7657,1486,10004,1557,12569,1366,8068,1477,6253,1391,5533,1051,4688,1246,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,21470,1937,2733,889,1909,734,690,348,832,466,784,480,1490,695,1108,606,852,583,871,444,2675,1069,1365,548,2748,766,1569,727,600,344,356,241,888,351,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,21913,2495,1932,808,1163,670,1068,477,991,541,1815,1019,1371,554,1722,874,879,513,937,440,1536,656,2394,805,1887,552,1802,643,921,538,688,574,807,451,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
