GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001EA,C17001D_001MA,C17001D_002EA,C17001D_002MA,C17001D_003EA,C17001D_003MA,C17001D_004EA,C17001D_004MA,C17001D_005MA,C17001D_005EA,C17001D_006MA,C17001D_006EA,C17001D_007EA,C17001D_007MA,C17001D_008EA,C17001D_008MA,C17001D_009EA,C17001D_009MA,C17001D_010EA,C17001D_010MA,C17001D_011MA,C17001D_011EA,C17001D_012MA,C17001D_012EA,C17001D_013MA,C17001D_013EA,C17001D_014EA,C17001D_014MA,C17001D_015EA,C17001D_015MA,C17001D_016MA,C17001D_016EA,C17001D_017MA,C17001D_017EA,C17001D_018MA,C17001D_018EA,C17001D_019EA,C17001D_019MA,state
0400000US01,65580,3068,10131,2992,5228,1709,1066,655,3703,1052,459,361,4903,1617,613,400,3407,1111,883,644,55449,3844,25493,2036,6265,1124,17741,1611,1487,418,29956,2535,7999,1304,19261,1929,2696,650,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48527,2204,7718,4797,3814,2437,2343,1765,1471,777,0,153,3904,2435,1607,1426,1820,1092,477,327,40809,4559,19094,2432,4058,1692,13127,1133,1909,345,21715,2393,3865,1288,15068,1423,2782,509,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,228244,4873,26026,3591,12950,1848,1175,668,10615,1760,1160,455,13076,2426,762,368,10340,2197,1974,707,202218,5188,92488,3217,20213,1837,63613,2384,8662,643,109730,2922,21573,1720,74446,2466,13711,795,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46993,3229,6338,2135,2881,1430,844,695,2037,986,0,201,3457,1090,808,573,2349,839,300,265,40655,3345,20288,1990,5440,984,13604,1489,1244,400,20367,2011,5439,929,13164,1306,1764,779,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5685508,20635,583716,18764,260033,10553,52835,4269,168960,8005,38238,2736,323683,11417,50837,4594,204375,8440,68471,4145,5101792,23086,2421040,13460,478488,7168,1614965,9799,327587,3863,2680752,15113,453046,7021,1803586,11286,424120,4692,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,175701,4115,16113,3005,7854,1728,1550,561,5375,1287,929,617,8259,1642,1142,667,5609,981,1508,657,159588,4431,73278,3074,18233,1744,49083,2260,5962,872,86310,2897,19500,1634,57220,1909,9590,899,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,160349,3160,15472,3274,6240,1736,1587,845,4446,1216,207,197,9232,2051,1538,725,7317,1715,377,242,144877,4289,69751,2566,13972,1288,49902,1917,5877,435,75126,2637,15049,1281,52767,1959,7310,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38151,1678,4531,1201,1524,627,134,163,1349,627,41,79,3007,931,218,206,2534,833,255,268,33620,2049,16673,1184,4025,654,11166,933,1482,167,16947,1213,3548,520,11352,932,2047,519,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27119,1754,4070,1040,1608,686,144,182,1173,521,291,235,2462,728,0,208,2320,678,142,183,23049,1798,10042,1002,1412,501,8147,715,483,235,13007,1119,1118,445,10724,988,1165,183,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,582172,7779,73005,7330,35779,3944,7878,1719,23762,2915,4139,1095,37226,4465,6308,1458,24581,3011,6337,1412,509167,9360,230190,5724,46387,2923,155331,4440,28472,1663,278977,5920,49444,2628,188489,4415,41044,1970,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
