GEO_ID,B28009A_001E,B28009A_001M,B28009A_002E,B28009A_002M,B28009A_003E,B28009A_003M,B28009A_004E,B28009A_004M,B28009A_005E,B28009A_005M,B28009A_006E,B28009A_006M,NAME,B28009A_001EA,B28009A_001MA,B28009A_002MA,B28009A_002EA,B28009A_003MA,B28009A_003EA,B28009A_004MA,B28009A_004EA,B28009A_005EA,B28009A_005MA,B28009A_006EA,B28009A_006MA,state
0400000US01,3246015,6966,2985842,13282,12111,3342,2763539,17555,210192,11699,260173,11812,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459464,4059,446661,4448,800,313,418836,6511,27025,4525,12803,2132,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5337210,24913,5105552,25986,13833,3149,4771128,26784,320591,18279,231658,12431,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2233706,7462,2057103,9989,6482,2263,1748691,15708,301930,15051,176603,9133,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22722491,68707,21798121,69590,45816,5379,20543973,74802,1208332,30430,924370,23657,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4626075,13279,4462186,15291,13747,2669,4217576,18244,230863,12712,163889,8999,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2643184,12650,2508789,14987,8560,1984,2390211,17430,110018,10109,134395,7806,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,648742,4249,618035,5214,1145,494,588938,6665,27952,4130,30707,4698,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266181,5034,263886,5033,0,208,257395,5123,6491,1545,2295,786,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15493189,33582,14716885,41739,29231,4279,13470865,51592,1216789,36265,776304,25008,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6003739,19712,5681793,23756,11387,2142,5265355,32388,405051,23404,321946,13247,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,339165,4987,327582,4786,854,524,307430,5855,19298,3932,11583,1967,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1519257,8332,1449991,9336,6765,2256,1341342,12237,101884,10199,69266,5905,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8929398,27030,8443043,26799,23812,2970,7961104,28826,458127,16778,486355,14228,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5435199,9023,5048818,15992,21212,3701,4655394,23066,372212,16848,386381,13571,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2745102,5967,2563955,10662,10876,1765,2380731,12021,172348,10455,181147,7550,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2403108,8252,2276450,10892,6440,1522,2112362,12812,157648,9745,126658,5926,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3767253,6227,3419547,14918,9705,2698,3129391,19938,280451,15789,347706,12881,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2828628,8414,2633145,13155,6230,1868,2404335,19443,222580,16132,195483,9524,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1230688,1587,1156676,5222,8552,1710,1068882,8524,79242,6867,74012,4727,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3252788,13381,3112578,16020,5673,1324,2989404,15684,117501,9813,140210,9048,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5205776,16926,4941119,18293,8458,1733,4750927,19201,181734,11436,264657,11911,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7661544,10253,7213313,16568,24644,3280,6772592,20739,416077,16759,448231,13535,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4506246,7378,4296571,9687,17381,2290,4071302,14429,207888,10568,209675,7013,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1690586,4996,1558404,9371,5875,2123,1394271,14325,158258,12269,132182,7956,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4884329,8096,4572743,14729,13651,2507,4179788,21659,379304,16372,311586,12278,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,905284,2591,840582,6506,5319,1862,776124,9306,59139,7454,64702,5296,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1634934,5225,1544094,7890,6535,1604,1458777,10870,78782,7036,90840,5247,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1916635,16659,1836502,17628,3554,965,1685615,18815,147333,11478,80133,7270,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1213254,2963,1168330,4780,3419,919,1111693,7349,53218,6411,44924,3564,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,6006674,22256,5749492,23893,14197,2329,5448904,25716,286391,17208,257182,9768,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1551745,11588,1436742,14340,6438,2277,1292689,17600,137615,11454,115003,9709,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12183900,36466,11382141,40425,29167,3927,10654939,44791,698035,23493,801759,22615,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6903559,17059,6495885,21511,20853,3238,6037995,28928,437037,21456,407674,13870,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,632218,2509,596300,4313,1388,405,548254,5462,46658,4445,35918,3392,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
