GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001MA,B12002I_001EA,B12002I_002EA,B12002I_002MA,B12002I_003EA,B12002I_003MA,B12002I_004MA,B12002I_004EA,B12002I_005EA,B12002I_005MA,B12002I_006MA,B12002I_006EA,B12002I_007EA,B12002I_007MA,B12002I_008EA,B12002I_008MA,B12002I_009MA,B12002I_009EA,B12002I_010MA,B12002I_010EA,B12002I_011MA,B12002I_011EA,B12002I_012MA,B12002I_012EA,B12002I_013EA,B12002I_013MA,state
0400000US01,129499,2010,68714,2214,28178,2690,32003,2655,2203,985,977,677,5353,1071,60785,2387,21091,2303,31578,2829,2098,900,2387,926,3631,1179,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37139,801,19251,745,8389,1173,7711,1077,743,464,56,73,2352,905,17888,706,6850,1323,8457,1032,399,268,570,303,1612,575,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1599353,745,800083,796,369614,6699,329809,7279,16608,2702,14620,2005,69432,4591,799270,968,316095,6115,329562,7999,27931,3268,39118,3122,86564,5223,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,149275,1576,77849,1909,32666,2430,37380,2791,1577,687,723,510,5503,1292,71426,1772,25468,2129,33738,2019,2202,722,2817,863,7201,1627,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11540043,720,5780782,1514,2754280,20302,2497801,20493,114875,6161,81087,4722,332739,11160,5759261,1529,2371959,18855,2425049,20812,197924,8151,289172,8103,475157,12095,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,878254,1345,443943,1520,193395,4781,198831,4837,9617,1773,7223,1506,34877,3208,434311,1489,158232,4670,192364,5889,12721,2152,20091,2190,50903,4539,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,429337,1282,212981,1146,112433,3697,78655,4480,5151,1401,3111,822,13631,2424,216356,1003,99413,3290,74515,3673,7609,1558,9619,1700,25200,2584,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,62078,-555555555,32176,396,13637,1441,14142,1656,1505,757,571,421,2321,723,29902,395,11277,1094,13202,1352,1260,665,908,385,3255,1044,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58132,-555555555,29685,460,17595,1607,8856,1513,1021,543,233,288,1980,678,28447,460,15074,1384,9403,1447,398,266,1214,404,2358,752,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4278849,1797,2092270,2551,824366,11872,966882,16320,54532,4979,34120,3860,212370,10626,2186579,2535,700053,12029,917253,13674,86422,5979,167316,6460,315535,10983,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,687875,3585,363427,3796,154323,6264,177053,5866,7977,1791,3340,1265,20734,2783,324448,3591,115408,4948,155226,5854,14922,2326,12853,2480,26039,2714,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,100777,-555555555,51799,300,25757,1719,21062,1910,448,365,575,376,3957,1120,48978,299,19121,1543,21185,2008,1353,724,2159,592,5160,1224,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,144994,1157,74898,1643,35097,2582,31359,2508,520,413,1837,910,6085,1847,70096,1514,26701,2143,33788,2420,1257,648,1793,838,6557,1417,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1612451,1891,827535,2533,385535,7338,365078,8129,17899,2449,12254,2067,46769,3813,784916,2108,327441,6787,346842,8051,23071,2861,34162,2333,53400,3856,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,314607,2052,162584,2593,77806,3633,68909,3825,2829,971,1164,599,11876,1838,152023,2211,60409,2969,64452,3099,3615,1059,6933,1319,16614,2185,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,125796,1842,65389,1889,28988,2162,30485,2457,1515,712,547,332,3854,1070,60407,1662,24705,1915,25387,2182,2325,728,2280,716,5710,1390,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,234151,1530,121570,1814,52712,2846,56519,2750,2861,769,1101,490,8377,1449,112581,1511,37537,2418,56348,2754,4174,1004,3743,717,10779,1683,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,103219,2476,58098,2333,26234,2285,25423,1878,1845,601,1292,639,3304,872,45121,2068,16876,1832,20627,1812,1125,597,1191,635,5302,1108,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,179915,2375,96237,2719,43171,3153,40882,3090,2038,697,2663,941,7483,1658,83678,2574,30458,2515,36659,2498,3482,1046,4515,916,8564,1785,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,15501,1165,8427,1249,5086,1143,2089,626,0,175,0,175,1252,685,7074,657,2064,640,3264,615,204,276,413,287,1129,539,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,436060,1145,226964,1643,103710,4216,103229,4849,5470,1392,3180,959,11375,1915,209096,1266,80099,3554,95270,3989,9026,1719,6563,1381,18138,2362,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,600587,705,295883,822,159277,4083,101767,4607,9347,2139,3446,855,22046,2802,304704,688,147876,4030,92661,4391,16987,2243,10768,2108,36412,3136,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,352443,1674,179939,1613,85329,2553,73804,2754,2446,728,2863,827,15497,1676,172504,1901,72386,3013,72442,2880,3456,994,8192,1087,16028,1712,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,200608,1930,106186,2335,52175,2739,43861,2908,1580,581,1172,591,7398,1223,94422,1618,41805,2177,39945,2254,2697,860,2865,955,7110,1271,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,59681,2991,33074,2525,16473,2198,13793,1735,507,298,755,419,1546,664,26607,1589,11225,1867,12315,1452,564,295,878,587,1625,659,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
