GEO_ID,B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,NAME,B18101I_001EA,B18101I_001MA,B18101I_002MA,B18101I_002EA,B18101I_003EA,B18101I_003MA,B18101I_004MA,B18101I_004EA,B18101I_005MA,B18101I_005EA,B18101I_006EA,B18101I_006MA,B18101I_007EA,B18101I_007MA,B18101I_008EA,B18101I_008MA,B18101I_009EA,B18101I_009MA,B18101I_010MA,B18101I_010EA,state
0400000US01,198665,2218,81573,2066,1896,644,79677,2169,108914,2020,9418,1655,99496,2400,8178,1498,4354,1222,3824,1061,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48224,1139,17341,17,526,383,16815,385,28264,1433,2834,1027,25430,1509,2619,770,1394,843,1225,508,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2160825,2666,721455,368,28227,3580,693228,3539,1291401,2726,116003,6011,1175398,6008,147969,1022,56198,3131,91771,3139,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,222081,1473,88102,1443,3373,1002,84729,1419,125597,1795,10085,1788,115512,2164,8382,1521,2544,858,5838,1342,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15315902,5173,4707725,985,157388,8852,4550337,8995,9523995,5160,686301,16974,8837694,18260,1084182,2184,407548,8453,676634,8573,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1188460,1726,393365,560,18650,2468,374715,2516,716010,2243,70138,5339,645872,5467,79085,1389,34180,2032,44905,2424,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,572394,858,178474,159,11664,1873,166810,1860,358914,1150,34686,3321,324228,3252,35006,906,11906,1630,23100,1651,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88756,275,32087,110,773,495,31314,495,52417,589,3002,952,49415,951,4252,587,827,417,3425,696,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75470,400,20703,31,1538,955,19165,958,50361,395,4877,1300,45484,1355,4406,72,990,449,3416,451,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5319667,2875,1306119,923,51532,5099,1254587,5325,3382609,3597,262488,12706,3120121,12734,630939,2610,216470,7829,414469,8184,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,982805,3529,366571,2136,10001,2476,356570,3162,580504,3693,31800,3593,548704,4767,35730,2303,11675,1978,24055,2074,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140968,1383,55868,144,1266,529,54602,549,77441,1420,6265,1331,71176,1904,7659,383,2458,614,5201,701,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,210231,923,81298,534,4856,1493,76442,1621,120587,1435,13796,2578,106791,2907,8346,1280,2546,933,5800,1274,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2187539,2701,713463,1149,20173,2521,693290,2795,1341708,3197,77605,4205,1264103,5372,132368,2044,43425,2825,88943,2899,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,456826,1754,173241,1524,8448,1645,164793,1908,264020,2343,23541,2831,240479,3400,19565,1518,6367,1017,13198,1644,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
