GEO_ID,B13002G_001E,B13002G_001M,B13002G_002E,B13002G_002M,B13002G_003E,B13002G_003M,B13002G_004E,B13002G_004M,B13002G_005E,B13002G_005M,B13002G_006E,B13002G_006M,B13002G_007E,B13002G_007M,NAME,B13002G_001EA,B13002G_001MA,B13002G_002EA,B13002G_002MA,B13002G_003EA,B13002G_003MA,B13002G_004EA,B13002G_004MA,B13002G_005MA,B13002G_005EA,B13002G_006MA,B13002G_006EA,B13002G_007EA,B13002G_007MA,state
0400000US01,22577,2874,863,561,470,340,393,405,21714,2730,5713,1072,16001,2666,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13748,2021,812,588,568,536,244,249,12936,1907,5331,1215,7605,1396,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,61929,4101,4300,1175,1981,776,2319,871,57629,3881,17251,2035,40378,3617,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16003,2047,1246,606,676,375,570,424,14757,2016,5775,1114,8982,1607,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,463016,12941,19357,2062,11781,1762,7576,1227,443659,12417,136372,6281,307287,10814,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47765,3642,2510,971,2159,981,351,305,45255,3466,15494,1978,29761,2826,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,27167,3299,511,358,366,305,145,184,26656,3282,5759,1286,20897,3208,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5998,1518,307,265,163,170,144,217,5691,1504,999,467,4692,1310,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6112,1477,139,124,53,75,86,103,5973,1481,1539,697,4434,1188,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,125223,7677,5340,1225,2976,930,2364,926,119883,7346,38221,3605,81662,6128,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,69134,5537,4433,1345,2741,934,1692,803,64701,5685,19481,2823,45220,4529,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,76989,4766,3970,983,2455,713,1515,635,73019,4618,24302,2233,48717,3802,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11676,1723,420,404,182,313,238,256,11256,1708,4228,1226,7028,1480,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,78904,4593,3397,1012,2102,805,1295,515,75507,4574,22660,2421,52847,3908,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40551,3549,1974,800,759,346,1215,729,38577,3492,10056,1678,28521,3243,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15628,1796,1326,662,528,436,798,442,14302,1746,3495,926,10807,1485,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22857,2594,1138,518,592,379,546,360,21719,2580,5994,1556,15725,1948,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20770,2981,1006,455,365,300,641,327,19764,2959,6949,1451,12815,2109,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19226,2458,580,289,42,78,538,278,18646,2458,5276,1317,13370,2352,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7899,1456,233,181,128,121,105,134,7666,1426,1215,609,6451,1242,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,48309,4586,2534,807,1267,461,1267,621,45775,4289,14909,1860,30866,3813,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,51550,4462,1754,652,798,425,956,491,49796,4277,13866,1937,35930,3705,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,68711,4647,3768,1062,1513,448,2255,901,64943,4437,16604,2086,48339,3848,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,36386,3104,1309,627,703,406,606,391,35077,2970,9826,1755,25251,2544,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8204,2224,268,233,147,148,121,176,7936,2225,2278,860,5658,1724,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,32456,3462,1548,789,1132,735,416,282,30908,3325,9628,1396,21280,2992,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,9427,1439,301,211,199,170,102,111,9126,1436,2422,693,6704,1435,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,11162,1425,748,477,540,366,208,307,10414,1386,2774,720,7640,1307,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,31728,3091,1294,447,563,270,731,413,30434,3050,10000,1623,20434,2732,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5714,1262,675,488,359,355,316,336,5039,1128,1322,482,3717,1083,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,53501,3930,2063,646,1480,592,583,262,51438,3816,16413,1875,35025,3482,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,14760,1914,906,381,216,199,690,355,13854,1935,4277,925,9577,1586,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,150114,7378,5758,897,3577,847,2181,618,144356,7264,41067,3015,103289,6768,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,62075,4876,4264,1276,1419,591,2845,1096,57811,4750,17567,2132,40244,4157,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2874,790,94,110,7,11,87,109,2780,785,808,363,1972,687,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,76421,4967,3888,902,1770,804,2118,678,72533,4797,17852,2061,54681,4203,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,73574,3458,4691,963,2399,650,2292,712,68883,3590,25383,2160,43500,2740,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,49649,4121,2050,793,694,453,1356,703,47599,4094,15739,2579,31860,3611,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,72383,4641,4504,1352,2132,854,2372,956,67879,4670,19016,2460,48863,4175,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
