GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001EA,C25074_001MA,C25074_002EA,C25074_002MA,C25074_003EA,C25074_003MA,C25074_004EA,C25074_004MA,C25074_005MA,C25074_005EA,C25074_006EA,C25074_006MA,C25074_007EA,C25074_007MA,C25074_008EA,C25074_008MA,C25074_009MA,C25074_009EA,C25074_010EA,C25074_010MA,C25074_011EA,C25074_011MA,C25074_012EA,C25074_012MA,C25074_013MA,C25074_013EA,C25074_014MA,C25074_014EA,C25074_015EA,C25074_015MA,C25074_016EA,C25074_016MA,C25074_017EA,C25074_017MA,C25074_018MA,C25074_018EA,C25074_019MA,C25074_019EA,C25074_020MA,C25074_020EA,C25074_021EA,C25074_021MA,C25074_022EA,C25074_022MA,C25074_023MA,C25074_023EA,C25074_024MA,C25074_024EA,C25074_025EA,C25074_025MA,state
0400000US01,588466,10414,100278,5241,7388,1332,61766,4763,31124,2746,119705,5465,17021,1786,88702,5215,13982,1924,125867,5868,44567,3173,67090,4528,14210,2116,84611,5652,58358,4249,17459,2971,8794,1567,79275,4233,67368,3935,4208,1077,7699,1583,78730,4856,71703,4525,1041,603,5986,1344,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,91397,3639,5956,1352,6,11,4275,1213,1675,577,8225,1396,492,274,7054,1272,679,255,16342,2067,2866,877,12489,2085,987,432,12642,1710,5008,1175,6770,1402,864,405,19786,2132,12380,1767,5895,1353,1511,629,28446,2201,24637,2201,1915,705,1894,457,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,900651,12842,99582,5566,3304,885,61486,4098,34792,3233,119178,5587,8495,1508,103358,5177,7325,1308,178270,6507,29187,2656,141888,5735,7195,1101,153996,5946,80896,4527,67134,4360,5966,1433,167126,6808,136287,5987,25849,2895,4990,1190,182499,6619,174651,6604,4074,1206,3774,904,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,400683,9039,58268,3460,2909,785,39153,2681,16206,2198,75719,4526,12616,1771,55520,4248,7583,1230,98243,4394,37865,3381,51880,3506,8498,1471,61603,4910,49020,4213,8233,1557,4350,1017,59118,4415,51676,4263,2642,995,4800,1025,47732,4014,43463,3863,883,536,3386,975,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5880007,28546,447352,12837,11398,1849,296752,8867,139202,7342,721784,12785,68850,4485,624310,12634,28624,2792,941234,14062,84095,5098,825387,13284,31752,2829,802126,13612,197140,6438,579287,12187,25699,2556,1043714,14644,510413,11922,507019,11088,26282,2493,1923797,21366,1630119,18739,253804,9756,39874,2567,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,744383,11664,66035,4491,5058,1146,44138,3443,16839,2213,82939,5054,9401,1519,69852,4860,3686,750,129911,6111,16665,2194,108387,5797,4859,1053,126377,5630,41654,3522,80165,4394,4558,1122,148168,6363,93466,5168,50722,4570,3980,1042,190953,6720,173458,6642,13333,1777,4162,1179,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,458528,7656,48161,4198,4129,1101,32799,3322,11233,1592,63952,4671,9973,1737,51776,4459,2203,743,87558,4369,14859,2009,70073,4126,2626,616,72697,3826,29523,2914,39235,3261,3939,1279,79575,4584,53801,3809,22053,2466,3721,1182,106585,5275,96837,5026,5461,1430,4287,937,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,103989,4386,13861,1852,636,380,5687,1357,7538,1486,12919,1766,1559,644,10691,1563,669,367,23068,2781,3586,1133,18560,2438,922,723,13914,2076,5703,1385,7713,1476,498,231,17629,2764,14573,2643,2590,811,466,273,22598,2658,21761,2585,105,115,732,503,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,162670,3861,22788,2885,2098,879,13544,2016,7146,1562,18322,2049,3570,855,13876,1838,876,453,19461,2105,3588,1048,15366,1807,507,346,14677,1979,4655,1195,9553,1467,469,217,22853,2484,11086,2082,11423,1515,344,258,64569,3493,54384,3263,9245,1512,940,372,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2679777,21534,301575,9736,13673,2104,189690,7425,98212,6294,361049,9782,26902,2830,313748,8884,20399,2396,555173,12626,69201,4211,463493,11872,22479,2715,453783,12129,167135,7354,271671,9652,14977,2218,491630,11831,340547,10371,136371,6840,14712,2017,516567,12991,469828,12582,30558,2870,16181,2342,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
