GEO_ID,B19215_001E,B19215_001M,B19215_002E,B19215_002M,B19215_003E,B19215_003M,B19215_004E,B19215_004M,B19215_005E,B19215_005M,B19215_006E,B19215_006M,B19215_007E,B19215_007M,B19215_008E,B19215_008M,B19215_009E,B19215_009M,B19215_010E,B19215_010M,B19215_011E,B19215_011M,B19215_012E,B19215_012M,B19215_013E,B19215_013M,B19215_014E,B19215_014M,B19215_015E,B19215_015M,NAME,B19215_001EA,B19215_001MA,B19215_002EA,B19215_002MA,B19215_003MA,B19215_003EA,B19215_004MA,B19215_004EA,B19215_005MA,B19215_005EA,B19215_006MA,B19215_006EA,B19215_007EA,B19215_007MA,B19215_008EA,B19215_008MA,B19215_009MA,B19215_009EA,B19215_010MA,B19215_010EA,B19215_011MA,B19215_011EA,B19215_012EA,B19215_012MA,B19215_013EA,B19215_013MA,B19215_014MA,B19215_014EA,B19215_015MA,B19215_015EA,state
0400000US38,35233,1925,41167,1805,36191,2287,38932,4176,25429,3806,64281,12436,64544,13020,47375,43487,28812,2658,25491,2263,30544,2826,22340,1991,53874,8199,57541,8000,36014,6736,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,32007,279,37691,911,32475,733,35702,914,27872,1085,61015,1598,61479,1730,57134,3369,27812,492,25233,414,29376,1147,23031,381,53761,1566,53958,1824,52528,4607,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,28870,751,35117,1334,30438,983,31716,1164,26568,1241,55872,4413,57461,4485,47681,9956,24840,600,22808,678,25858,1013,21056,635,43877,2518,43330,2765,47644,5751,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,36665,801,41164,1370,32496,2157,35648,1970,28215,1901,64881,4402,67833,4965,49745,8013,32901,1223,27983,1038,32051,1154,24171,883,60351,4008,62206,3977,46172,8642,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,32044,329,39540,971,33677,977,37989,1243,27101,701,68104,2363,70603,2767,51609,5967,27348,428,24275,436,30273,681,21859,337,62171,2185,64194,3068,51496,3824,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,34234,2619,42981,5217,37176,4489,41584,3720,24583,4164,74456,9684,75662,14873,73737,13828,28195,1805,25040,1886,32899,5303,21518,1352,72367,13029,76417,13249,68516,27770,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,29644,843,33670,2148,30318,826,31455,932,23579,2512,56813,4219,57885,4394,45078,13245,25861,692,23836,637,27104,1364,21082,856,50716,3521,52178,4183,37083,11167,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,32347,1167,39342,2980,35171,2003,35496,1957,33073,5283,56948,4277,57462,5403,48882,23314,27872,1386,25407,1767,28757,1961,23033,1620,53575,6872,53611,9276,53503,15695,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,30490,537,34322,1344,30111,1054,31500,943,25186,1187,59773,3043,60462,3255,53182,10393,27266,694,24392,621,28804,1411,20754,693,51768,4209,53831,4251,40036,5974,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,36529,455,41684,576,36145,624,40217,702,25230,852,68942,2721,69997,2666,54910,8575,31885,443,28928,668,35785,735,22523,457,58181,2011,58945,2050,49561,4941,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,38344,2010,43914,2802,38911,2312,42045,2330,29566,2970,62004,4826,62655,5061,56464,15069,32608,2040,28772,1535,34227,3027,23542,1263,58964,4355,58407,5451,61158,9325,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,34754,2360,40006,3759,31734,2363,33509,3845,26654,4751,68862,7627,66891,7939,76502,16424,31597,1410,28201,2010,31550,2981,24982,2807,61050,5566,61710,4509,49664,18187,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,43210,937,50110,1185,43500,1785,47138,1542,32688,2795,80635,2778,81138,3059,74341,7064,38345,1340,34194,1056,42013,1372,27315,1303,67814,4469,68514,5223,65448,4819,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,44213,1031,50949,1079,41513,1132,46582,1814,31849,1670,77382,2516,79414,3200,55428,4709,38978,1034,32238,837,40340,1178,26137,922,71056,3307,73749,3825,56325,7088,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,24084,808,29229,2015,26791,1771,28601,3108,24928,1846,40200,4652,42395,5997,38390,4747,21410,713,20017,703,20770,1733,19659,730,40152,5663,40307,5544,35991,21683,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,35115,626,40407,680,35209,933,39746,1119,26260,871,66131,2838,67379,2954,55363,7914,30586,673,26340,527,31977,916,22573,670,61082,2763,61392,2974,54805,10609,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,33472,2389,40834,4572,35397,3824,38817,5236,28672,2517,70192,13983,70223,16643,70160,38438,29229,2901,25978,1915,31468,3721,23436,1237,53837,14056,51825,19090,59960,11717,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,11516,306,12520,738,11576,656,12076,1193,11066,816,23164,4755,24220,5551,21622,5621,10959,311,10499,323,11372,710,10055,383,19179,2913,19699,3299,17551,4785,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
