GEO_ID,C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,NAME,C27001B_001MA,C27001B_001EA,C27001B_002MA,C27001B_002EA,C27001B_003EA,C27001B_003MA,C27001B_004EA,C27001B_004MA,C27001B_005EA,C27001B_005MA,C27001B_006MA,C27001B_006EA,C27001B_007MA,C27001B_007EA,C27001B_008EA,C27001B_008MA,C27001B_009EA,C27001B_009MA,C27001B_010EA,C27001B_010MA,state
0400000US01,1274268,6970,346424,5266,335276,5330,11148,2710,777564,4951,651842,8591,125722,6830,150280,2281,149460,2356,820,535,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19201,2051,4131,1381,3796,1366,335,351,13402,1440,11402,1518,2000,675,1668,488,1668,488,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,294922,7127,84216,5031,78446,5192,5770,2327,183469,4172,163957,4475,19512,3026,27237,1387,26952,1377,285,260,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,443533,5263,132737,3931,127618,3886,5119,1589,263904,3513,235875,4293,28029,3231,46892,1783,46855,1785,37,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2188462,19404,507031,11200,492924,11689,14107,2700,1406419,11010,1298709,11409,107710,7058,275012,2701,271974,2774,3038,1101,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219994,6277,60638,3394,59445,3359,1193,837,139485,4059,125669,4208,13816,3215,19871,972,18916,1094,955,678,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,370531,7314,97509,3854,93022,3939,4487,1276,234169,5023,211835,5515,22334,3531,38853,1076,38295,1105,558,341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,204311,3825,53621,2452,51998,2551,1623,806,126882,2249,119124,3016,7758,1793,23808,537,23666,570,142,176,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,312220,3129,71785,2219,71321,2297,464,403,194658,1662,183974,2452,10684,2250,45777,850,45634,876,143,156,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3293756,19074,925118,12271,856269,13091,68849,7097,2012591,13042,1585115,17209,427476,14831,356047,4554,348383,5123,7664,1699,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
