GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001MA,C01001I_001EA,C01001I_002EA,C01001I_002MA,C01001I_003MA,C01001I_003EA,C01001I_004EA,C01001I_004MA,C01001I_005MA,C01001I_005EA,C01001I_006MA,C01001I_006EA,C01001I_007MA,C01001I_007EA,C01001I_008MA,C01001I_008EA,C01001I_009EA,C01001I_009MA,state
0400000US01,201970,2353,106619,3089,42440,2546,60204,1444,3975,1220,95351,3072,39170,2311,51978,2093,4203,960,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,51712,110,25365,1095,7537,1008,16734,534,1094,450,26347,1060,9804,1006,15018,616,1525,440,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2202173,-555555555,1107988,1361,368425,1320,673088,556,66475,477,1094185,1361,354320,1323,657240,594,82625,621,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,223764,1357,115421,2268,44940,1759,66445,1670,4036,1118,108343,2120,43306,1532,60627,1657,4410,869,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15477306,-555555555,7788547,1902,2404255,1626,4908069,1283,476223,1063,7688759,1900,2311439,1580,4752632,1049,624688,995,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1206724,-555555555,612461,2001,201391,1803,375336,1218,35734,618,594263,2000,192858,1908,356676,1051,44729,1029,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,578833,-555555555,289432,1578,91984,1490,182091,631,15357,447,289401,1577,86967,1489,181863,740,20571,650,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,89540,-555555555,46572,795,16916,794,27630,453,2026,453,42968,795,15251,794,25406,298,2311,298,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,76526,-555555555,38947,460,10668,460,26553,-555555555,1726,-555555555,37579,460,10088,460,24781,-555555555,2710,-555555555,District of Columbia,*****,null,null,null,null,null,null,*****,*****,null,null,null,null,null,*****,null,null,*****,11
0400000US12,5370860,461,2649103,3197,666153,2626,1718333,2124,264617,1387,2721757,3201,642090,2633,1704666,1769,375001,1909,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
