GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001MA,C17010H_001EA,C17010H_002EA,C17010H_002MA,C17010H_003MA,C17010H_003EA,C17010H_004MA,C17010H_004EA,C17010H_005EA,C17010H_005MA,C17010H_006EA,C17010H_006MA,C17010H_007EA,C17010H_007MA,C17010H_008EA,C17010H_008MA,C17010H_009MA,C17010H_009EA,C17010H_010MA,C17010H_010EA,C17010H_011EA,C17010H_011MA,C17010H_012EA,C17010H_012MA,C17010H_013EA,C17010H_013MA,C17010H_014MA,C17010H_014EA,C17010H_015MA,C17010H_015EA,C17010H_016EA,C17010H_016MA,C17010H_017EA,C17010H_017MA,state
0400000US01,839293,9214,65540,3669,27947,1981,14078,1830,37593,3019,4196,970,2229,668,33397,2831,26638,2639,773753,9409,651389,9521,227771,6145,122364,5691,41097,3239,19287,2259,81267,4288,42427,3406,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,114278,3225,5035,922,2775,632,1374,538,2260,663,689,503,667,501,1571,522,1501,511,109243,3370,90261,3432,38299,2401,18982,2187,7204,1473,4130,1106,11778,1564,7323,1380,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1015892,10229,62904,3893,34393,2965,12174,1900,28511,2832,6102,1405,4288,1366,22409,2468,17501,2232,952988,9921,789222,10218,237170,6554,163766,6001,52778,3694,25887,2788,110988,4901,54539,4208,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,575747,8953,50992,3550,22469,2379,12872,1792,28523,2680,5911,1342,4283,1171,22612,2284,19247,2160,524755,9324,434385,8891,160336,6442,90370,5221,29335,3048,16238,2331,61035,4151,31646,3050,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3791272,15793,194225,7180,94848,5100,38916,3216,99377,4834,23934,2808,14417,2141,75443,4206,56700,3789,3597047,16923,2936561,19419,1034222,14138,660486,11166,217640,7984,101661,6021,442846,8937,196933,6515,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,999796,8970,47196,3092,22256,2301,9875,1625,24940,2461,5887,1327,4105,1089,19053,2218,14978,2198,952600,9487,795208,10530,299729,6972,157392,6194,55030,3569,30193,2996,102362,4973,53868,3363,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,624808,6204,20970,2436,9075,1483,3798,1012,11895,1896,2155,878,1321,647,9740,1691,7766,1539,603838,5978,497276,7422,176135,4951,106562,4888,34270,2873,15095,2058,72292,3886,32386,2871,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159378,4061,9838,1654,5393,1213,2006,770,4445,1077,883,455,742,434,3562,959,3126,943,149540,4075,124518,3887,37726,2705,25022,2532,8753,1372,4733,1002,16269,2034,8881,1503,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44749,2071,651,356,390,284,245,221,261,221,42,74,42,74,219,209,219,209,44098,2110,40308,2112,16087,1605,3790,941,1121,485,747,363,2669,794,1633,513,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2916722,18217,184528,7391,94124,5496,32019,3378,90404,5039,17971,2335,12778,1974,72433,5180,59276,4914,2732194,19036,2253519,18184,620349,11996,478675,13004,154370,6859,72733,4931,324305,9237,148880,6516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
