GEO_ID,B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,NAME,B15012_001MA,B15012_001EA,B15012_002MA,B15012_002EA,B15012_003EA,B15012_003MA,B15012_004MA,B15012_004EA,B15012_005EA,B15012_005MA,B15012_006MA,B15012_006EA,B15012_007MA,B15012_007EA,B15012_008EA,B15012_008MA,B15012_009EA,B15012_009MA,B15012_010EA,B15012_010MA,B15012_011EA,B15012_011MA,B15012_012MA,B15012_012EA,B15012_013MA,B15012_013EA,B15012_014EA,B15012_014MA,B15012_015EA,B15012_015MA,B15012_016EA,B15012_016MA,state
0400000US01,903138,14433,35298,3061,50803,4156,25843,2189,38770,3157,42908,3109,67785,3814,4357,893,98075,4634,199860,6782,151671,6181,29413,2694,44994,3865,26479,2611,26323,2383,60559,3620,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,150708,6437,4613,1071,17449,2110,8589,1433,6598,1123,10925,1850,10947,1671,1266,590,20277,2486,19561,2256,17013,1931,6341,1296,9268,1460,3620,1019,2958,757,11283,1736,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1478688,20105,66801,4605,81845,4848,41355,3253,65076,4352,94874,5060,120310,5102,13576,2170,146689,6606,318148,8671,206385,6731,54439,2912,61606,4337,52677,3858,57810,4167,97097,4890,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,507048,12146,23263,2980,35538,4156,16471,2053,24075,2734,24894,2471,26006,2514,3331,1100,53791,3921,102490,5172,90056,5475,17729,2403,26793,2366,14003,2046,15515,1859,33093,2881,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9617244,50364,545068,13458,610344,13226,315603,8982,499496,11481,959188,14561,941497,13550,90107,4777,774108,14638,1706176,21286,613030,13005,504105,10031,550694,9985,570661,13111,422947,10808,514220,11293,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1720238,17778,84913,3956,127357,5705,67024,3634,89780,3855,147540,6152,143203,5384,16157,1597,144350,6118,322939,9831,160991,5250,82516,4519,81805,4964,71461,3477,81064,4195,99138,4825,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1042266,13286,43317,3164,59264,4010,33368,2858,59327,3795,99648,4841,77055,4350,6346,1232,93004,4942,200564,6137,106034,4969,60822,3381,61786,3732,46098,3464,39201,3255,56432,4169,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,223849,7295,12786,1726,14494,1730,7233,1254,8478,1954,15329,2021,18017,2247,2614,630,20562,2239,49362,3433,31803,2519,7913,1268,10486,1547,6198,1319,4976,1106,13598,1868,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,318206,7608,12522,1861,18323,2101,9892,1874,17287,1980,77438,4415,14485,1961,5658,1179,13951,1916,40267,3161,13161,2248,25495,2052,24917,2409,13443,1984,17546,1833,13821,1930,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4747548,39121,187170,7998,233053,7434,130370,6819,227174,8926,351592,10118,366402,9721,34870,3256,505356,13288,1119765,23105,604324,13601,166485,6729,203806,7772,157565,7489,177448,7662,282168,11384,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
