GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001EA,B10056_001MA,B10056_002EA,B10056_002MA,B10056_003MA,B10056_003EA,B10056_004MA,B10056_004EA,B10056_005MA,B10056_005EA,B10056_006EA,B10056_006MA,B10056_007EA,B10056_007MA,B10056_008MA,B10056_008EA,B10056_009MA,B10056_009EA,B10056_010EA,B10056_010MA,B10056_011MA,B10056_011EA,state
0400000US01,117353,6332,38013,3419,20929,2507,8506,1791,12423,1855,17084,2315,79340,4185,39562,2863,23157,2492,16405,1798,39778,3000,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16621,1949,6534,1140,2581,608,990,417,1591,436,3953,899,10087,1203,3707,841,2042,656,1665,484,6380,1021,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171855,7768,62971,4555,22167,2468,11837,1807,10330,1690,40804,3851,108884,4548,37613,2805,23378,2639,14235,1684,71271,4061,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,67675,5900,25815,2678,12648,1872,7594,1483,5054,1058,13167,1897,41860,3819,21028,2669,13599,2310,7429,1330,20832,2459,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1145240,21255,439365,9782,90681,6079,42298,4307,48383,3801,348684,8566,705875,13221,154372,6004,84528,5181,69844,4021,551503,12197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99909,6449,39817,3921,14034,2256,8240,1881,5794,1046,25783,3122,60092,3619,18685,1788,10028,1461,8657,1468,41407,3283,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67363,5014,22236,2272,5904,1316,2822,860,3082,950,16332,2134,45127,3545,11967,1904,7087,1406,4880,1071,33160,3183,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22933,3243,7996,1606,2970,873,1381,591,1589,614,5026,1340,14937,1970,5346,1110,3489,1003,1857,632,9591,1706,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9481,1928,2167,716,862,497,475,363,387,314,1305,471,7314,1638,2534,829,1124,544,1410,650,4780,1164,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503382,14735,171259,6703,52607,4556,24425,2837,28182,3262,118652,6477,332123,9811,96534,6042,55231,4899,41303,3921,235589,9121,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
