GEO_ID,C16002_001E,C16002_001M,C16002_002E,C16002_002M,C16002_003E,C16002_003M,C16002_004E,C16002_004M,C16002_005E,C16002_005M,C16002_006E,C16002_006M,C16002_007E,C16002_007M,C16002_008E,C16002_008M,C16002_009E,C16002_009M,C16002_010E,C16002_010M,C16002_011E,C16002_011M,C16002_012E,C16002_012M,C16002_013E,C16002_013M,C16002_014E,C16002_014M,NAME,C16002_001MA,C16002_001EA,C16002_002EA,C16002_002MA,C16002_003EA,C16002_003MA,C16002_004EA,C16002_004MA,C16002_005MA,C16002_005EA,C16002_006MA,C16002_006EA,C16002_007MA,C16002_007EA,C16002_008EA,C16002_008MA,C16002_009EA,C16002_009MA,C16002_010MA,C16002_010EA,C16002_011MA,C16002_011EA,C16002_012MA,C16002_012EA,C16002_013EA,C16002_013MA,C16002_014EA,C16002_014MA,state
0400000US01,1841665,12421,1740274,11973,55082,3264,12019,1918,43063,3148,21551,2068,2269,804,19282,2042,18759,1733,3541,908,15218,1768,5999,1400,495,418,5504,1303,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,250741,3074,203821,3392,10814,1673,1424,750,9390,1518,7915,1417,558,400,7357,1366,14074,1197,2620,625,11454,1255,14117,1594,605,268,13512,1575,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2552972,11005,1845876,12664,505707,8625,73950,5082,431757,9706,70023,4097,5951,1091,64072,3803,60119,2478,11442,1477,48677,2663,71247,3589,11734,1344,59513,3264,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1153082,8560,1069277,8702,55464,2932,12108,2116,43356,3201,11454,1889,788,570,10666,1805,14010,1726,4471,1207,9539,1510,2877,1011,261,224,2616,945,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13005097,17539,7267604,22038,3365758,17218,653537,11949,2712221,17877,767977,12156,116492,5566,651485,11127,1449961,11467,376465,8888,1073496,11316,153797,6804,25068,2842,128729,5168,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2139207,8774,1756787,10949,246351,6290,37429,3333,208922,5397,66697,4261,5817,1254,60880,4133,45325,3030,10382,1814,34943,2821,24047,2694,3147,945,20900,2607,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1356762,6513,1027953,8742,165622,4218,44051,3110,121571,4242,108800,5669,18012,2153,90788,5060,35401,2310,7715,1394,27686,2152,18986,2306,2802,872,16184,2141,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,357937,4266,305831,4789,24542,1848,4970,1337,19572,2033,13553,1883,2045,770,11508,1688,10305,1258,1487,410,8818,1244,3706,1057,72,120,3634,1046,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281475,3302,227152,4367,23988,1963,5605,1296,18383,1908,17094,1881,1341,618,15753,1816,6751,1103,1694,717,5057,905,6490,1253,1495,617,4995,1069,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7689964,22835,5440649,23736,1585228,15396,419532,10514,1165696,15188,462081,11768,77823,4597,384258,10408,139648,4926,27902,2793,111746,4697,62358,3952,8736,1818,53622,3513,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3745074,16431,3211528,16696,281390,7063,60652,4287,220738,7726,115439,5601,13017,2081,102422,5577,95740,4649,23959,2800,71781,4157,40977,3749,6665,1661,34312,3726,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,458078,4221,309754,6158,15460,2231,1246,581,14214,2005,8513,1444,548,316,7965,1429,119376,4376,23379,2323,95997,3977,4975,1115,103,139,4872,1115,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,625135,5980,548098,6323,51853,3183,10208,1714,41645,2965,11627,1589,939,498,10688,1537,9057,1441,994,586,8063,1335,4500,1294,1017,668,3483,1116,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4808672,14430,3715108,16031,561445,7999,105925,4985,455520,8273,324574,8524,63349,3691,261225,7156,152052,4611,34066,2715,117986,4665,55493,4119,11677,2024,43816,3524,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2557299,10669,2325561,11464,121018,3950,24684,2941,96334,4140,61150,3812,7896,1571,53254,3455,37152,2941,8405,1509,28747,2600,12418,2090,2723,1158,9695,1839,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1257505,6773,1153248,7022,47662,2604,11763,1861,35899,2136,25704,2593,3590,1124,22114,2300,22017,1962,6092,1388,15925,1615,8874,1509,1918,952,6956,1332,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1128983,6821,989707,8077,84155,3543,17264,2286,66891,3222,23235,2180,2983,926,20252,2117,23889,2232,5645,1194,18244,2041,7997,1384,1405,693,6592,1275,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1725034,10346,1616323,9716,50256,2977,11171,1805,39085,2827,31661,3057,4767,1347,26894,2853,18233,1779,4172,1008,14061,1739,8561,1294,1282,678,7279,1327,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737123,11255,1551058,11037,77943,3492,23568,2443,54375,3082,80640,4142,5832,1226,74808,3961,21245,1461,5526,988,15719,1409,6237,1384,874,522,5363,1313,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,540959,6050,494473,6061,6405,1007,646,476,5759,934,32262,2327,2738,759,29524,2179,4649,813,684,275,3965,767,3170,890,508,357,2662,828,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2207343,8135,1781361,8931,164342,4811,33422,2952,130920,4992,117293,5128,12310,1916,104983,4579,91465,3823,20239,2055,71226,3387,52882,3775,5427,1315,47455,3642,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2604954,9148,1933914,11925,236649,4843,60945,4299,175704,4951,280496,8699,57713,4139,222783,8236,114027,3643,33434,2325,80593,3083,39868,2793,7969,1616,31899,2523,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3930017,12926,3521557,13829,124591,4478,16526,1808,108065,4881,136834,5029,15970,2198,120864,4416,72135,2821,14889,1633,57246,2699,74900,4175,15745,2378,59155,3387,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
