GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001EA,C23002I_001MA,C23002I_002EA,C23002I_002MA,C23002I_003MA,C23002I_003EA,C23002I_004MA,C23002I_004EA,C23002I_005MA,C23002I_005EA,C23002I_006EA,C23002I_006MA,C23002I_007EA,C23002I_007MA,C23002I_008EA,C23002I_008MA,C23002I_009EA,C23002I_009MA,C23002I_010EA,C23002I_010MA,C23002I_011MA,C23002I_011EA,C23002I_012EA,C23002I_012MA,C23002I_013MA,C23002I_013EA,C23002I_014MA,C23002I_014EA,C23002I_015MA,C23002I_015EA,C23002I_016MA,C23002I_016EA,C23002I_017EA,C23002I_017MA,C23002I_018EA,C23002I_018MA,C23002I_019EA,C23002I_019MA,C23002I_020EA,C23002I_020MA,C23002I_021MA,C23002I_021EA,C23002I_022MA,C23002I_022EA,C23002I_023EA,C23002I_023MA,C23002I_024EA,C23002I_024MA,C23002I_025EA,C23002I_025MA,C23002I_026MA,C23002I_026EA,C23002I_027MA,C23002I_027EA,state
0400000US01,125755,1954,66710,2120,62735,1681,50330,1976,452,335,49878,1961,47831,1952,2047,890,12405,1845,3975,1220,1269,500,1179,479,90,101,2706,1088,59045,2355,54842,2326,28796,2426,69,119,28727,2433,27340,2502,1387,526,26046,2181,4203,960,398,333,398,333,0,200,3805,903,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35874,541,18590,572,17496,619,14505,917,2550,895,11955,1226,11041,1119,914,738,2991,840,1094,450,134,173,48,84,86,148,960,460,17284,593,15759,804,11432,1181,374,390,11058,1190,10458,1193,600,418,4327,1246,1525,440,435,381,435,381,0,153,1090,419,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1560553,2730,780866,1975,714391,2067,556976,6647,2657,744,554319,6519,522613,6922,31706,3100,157415,6651,66475,477,15696,1906,15097,1969,599,393,50779,2058,779687,2095,697062,2084,454903,8188,1792,948,453111,8167,421073,8196,32038,3249,242159,8169,82625,621,10145,1518,10053,1525,92,112,72480,1579,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,143793,1579,75240,1887,71204,1961,58399,2246,437,384,57962,2280,54993,2042,2969,979,12805,1809,4036,1118,1811,926,1745,936,66,99,2225,748,68553,2008,64143,2140,41592,2533,101,196,41491,2587,39334,2613,2157,916,22551,2551,4410,869,840,459,840,459,0,201,3570,791,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11284723,7924,5654659,5191,5178436,5465,4135715,13166,22308,2972,4113407,13262,3853995,15928,259412,9773,1042721,13873,476223,1063,99557,4275,93925,3883,5632,1413,376666,4314,5630064,5016,5005376,4984,3234500,22268,3974,1256,3230526,22387,2996063,21559,234463,8348,1770876,22469,624688,995,72956,4162,69822,3970,3134,904,551732,4199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,857653,2264,432540,2110,396806,2154,322227,4637,3925,1066,318302,4807,303052,5115,15250,2098,74579,4617,35734,618,6968,1205,6771,1179,197,180,28766,1347,425113,1849,380384,1755,257007,5554,1005,664,256002,5595,243048,5587,12954,2080,123377,5607,44729,1029,5775,1126,5646,1131,129,125,38954,1385,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,417972,1499,207357,1082,192000,1099,146372,3046,494,440,145878,3092,131180,3494,14698,2682,45628,3164,15357,447,4250,1074,4250,1074,0,207,11107,1092,210615,1301,190044,1337,128664,3893,0,207,128664,3893,114611,3992,14053,1761,61380,4107,20571,650,2938,869,2903,878,35,59,17633,1079,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,60984,423,31461,323,29435,545,23043,1422,78,107,22965,1412,21880,1545,1085,779,6392,1427,2026,453,591,430,591,430,0,198,1435,421,29523,441,27212,532,14270,1757,0,198,14270,1757,13415,1590,855,667,12942,1937,2311,298,222,213,222,213,0,198,2089,346,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57026,590,28938,496,27212,496,22637,828,695,351,21942,915,21452,1069,490,374,4575,915,1726,-555555555,563,347,563,347,0,208,1163,347,28088,421,25378,421,19447,1230,135,154,19312,1288,18044,1249,1268,736,5931,1350,2710,-555555555,884,408,709,427,175,193,1826,408,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,4208756,3993,2056631,3400,1792014,3704,1440000,9765,7770,1743,1432230,10084,1364197,11492,68033,5134,352014,9639,264617,1387,56106,3570,53839,3536,2267,704,208511,3676,2152125,3573,1777124,3847,1205643,13078,2221,760,1203422,13169,1128106,13194,75316,4726,571481,12423,375001,1909,38812,3065,37384,3093,1428,551,336189,3722,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
