GEO_ID,C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,NAME,C16009_001EA,C16009_001MA,C16009_002MA,C16009_002EA,C16009_003MA,C16009_003EA,C16009_004EA,C16009_004MA,C16009_005EA,C16009_005MA,C16009_006EA,C16009_006MA,C16009_007EA,C16009_007MA,C16009_008MA,C16009_008EA,C16009_009EA,C16009_009MA,C16009_010EA,C16009_010MA,C16009_011EA,C16009_011MA,C16009_012EA,C16009_012MA,C16009_013MA,C16009_013EA,state
0400000US01,4469790,3419,722575,23084,661278,21870,46610,6205,4216,1335,6365,2396,4106,2051,3747215,23172,3579610,24546,91467,7486,33387,4276,34927,3951,7824,2554,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,669346,1248,72077,6217,55224,4668,1146,603,1435,970,6230,3925,8042,1242,597269,6289,507890,7162,17701,2691,13641,2668,33797,3505,24240,3568,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6430734,3608,920672,24897,558811,16494,275852,16217,14217,2863,17764,2829,54028,6426,5510062,24898,4112509,25516,1066392,22237,108683,6823,113500,6052,108978,7905,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2733064,3336,433509,15225,389511,14659,32912,4771,3119,1914,6066,2313,1901,1349,2299555,15069,2138293,15498,116668,6824,15918,2885,25038,4148,3638,1714,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36371531,7932,4705518,65430,2153865,36076,1859836,42231,200277,13411,420507,14456,71033,8291,31666013,66889,17970422,66548,8683562,67771,1479921,31873,3233068,28673,299040,18307,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5156992,3074,520984,15362,398853,14351,90789,9699,10040,2211,10735,2414,10567,3678,4636008,15671,3883146,22167,509753,15550,106818,7620,91952,6159,44339,5677,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3301817,1677,309374,16756,190029,11200,87762,8688,17377,3459,9663,2532,4543,1472,2992443,16894,2367395,15927,317037,10208,199086,11247,73959,5183,34966,5276,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882218,777,113431,8162,93207,6497,13013,3449,2448,1295,4132,2404,631,540,768787,8138,665352,8812,51788,4243,25098,3720,19012,2616,7537,2590,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,615699,522,98518,6678,85708,6806,5879,1919,2646,968,2346,711,1939,837,517181,6616,421054,8422,52777,3171,23719,3113,8639,1810,10992,3120,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19459075,6222,2648424,51932,1682333,40628,736005,27945,168142,15980,38496,5125,23448,4038,16810651,53155,11957900,54281,3539226,30670,915111,28494,291775,11207,106639,8156,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
