GEO_ID,B14007_001E,B14007_001M,B14007_002E,B14007_002M,B14007_003E,B14007_003M,B14007_004E,B14007_004M,B14007_005E,B14007_005M,B14007_006E,B14007_006M,B14007_007E,B14007_007M,B14007_008E,B14007_008M,B14007_009E,B14007_009M,B14007_010E,B14007_010M,B14007_011E,B14007_011M,B14007_012E,B14007_012M,B14007_013E,B14007_013M,B14007_014E,B14007_014M,B14007_015E,B14007_015M,B14007_016E,B14007_016M,B14007_017E,B14007_017M,B14007_018E,B14007_018M,B14007_019E,B14007_019M,NAME,B14007_001EA,B14007_001MA,B14007_002EA,B14007_002MA,B14007_003MA,B14007_003EA,B14007_004MA,B14007_004EA,B14007_005MA,B14007_005EA,B14007_006EA,B14007_006MA,B14007_007EA,B14007_007MA,B14007_008MA,B14007_008EA,B14007_009MA,B14007_009EA,B14007_010MA,B14007_010EA,B14007_011EA,B14007_011MA,B14007_012EA,B14007_012MA,B14007_013MA,B14007_013EA,B14007_014MA,B14007_014EA,B14007_015MA,B14007_015EA,B14007_016EA,B14007_016MA,B14007_017EA,B14007_017MA,B14007_018MA,B14007_018EA,B14007_019MA,B14007_019EA,state
0400000US01,4705034,4688,1188014,11304,63400,4474,59093,3574,57298,4130,62493,4714,66074,5121,57603,4989,70070,4783,60479,3871,61860,4443,61787,4206,67211,4657,60020,4003,61512,3631,69005,4948,261639,8484,48470,3630,3517020,10842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,707412,1887,186461,3830,9307,1518,11597,1676,9969,1722,9931,1208,11054,1387,10528,1456,8978,1214,9189,1063,10996,1377,10055,1452,10083,1295,10609,1463,8769,1333,10953,1775,35247,2994,9196,1425,520951,3653,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6765158,5521,1757544,11972,88736,4909,81544,4733,78747,5048,86871,4715,96210,4838,97084,6141,95346,5525,98963,4378,93941,4754,91586,4698,90892,4831,97954,4949,88104,4161,106642,5585,384659,10771,80265,5199,5007614,13082,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2893428,4025,743696,8941,47292,3470,41214,3611,36956,3314,38244,3328,45736,3681,40848,3390,40835,3006,37115,2893,37242,3107,40329,2996,39482,2976,38108,2800,42314,2800,41388,3149,148402,6579,28191,2919,2149732,8279,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38099421,11005,10455915,31881,599565,11954,526390,12529,458516,10764,477651,13570,486347,11075,491170,10374,525302,11956,513677,12243,500330,10875,518108,12262,509582,10867,505800,10417,527106,10658,586327,13193,2699808,25038,530236,15131,27643506,30276,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5408451,4511,1394563,11764,83333,3934,69643,4025,66695,4679,63181,3786,74489,4053,75793,3819,72518,3630,75803,3663,66793,4210,75425,4500,73566,4663,74312,4054,70367,4024,75003,3915,300066,10676,77576,3807,4013888,12422,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3481238,2850,898609,10169,53459,3243,35155,3581,40125,3132,37650,2985,39915,3354,42164,3047,42846,2876,44239,2965,43728,3169,48249,3725,47445,3277,48972,3275,47204,3175,52262,3860,216701,8115,58495,4522,2582629,9641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,929575,2315,233046,4377,13536,1715,12247,2062,12918,1856,9700,1603,10411,1494,11150,1736,10783,1794,12478,1597,11796,1786,13900,2107,9825,1511,10929,1462,12882,2037,11506,1835,55239,3847,13746,1857,696529,4639,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,666887,1941,167649,5063,13119,1954,9551,1555,5133,1064,8647,1518,6053,1227,8269,1306,4819,1301,5492,1295,5305,1363,4859,1112,5694,1144,5612,1070,4896,1427,6015,1424,50096,3129,24089,2444,499238,4779,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20313711,9981,4770596,23776,288668,9771,227092,8236,221540,8821,236247,9142,243631,9086,235798,8380,235027,8534,240336,7559,231583,8892,246156,8769,236156,8069,244790,7147,241554,8716,268518,9290,1120457,21826,253043,9453,15543115,24757,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
