B25006_001M,B25006_002E,B25006_002M,B25006_003E,B25006_003M,B25006_004E,B25006_004M,B25006_005E,B25006_005M,B25006_006E,B25006_006M,B25006_007E,B25006_007M,B25006_008E,B25006_008M,B25006_009E,B25006_009M,B25006_010E,B25006_010M,GEO_ID,B25006_001E,B25006_001MA,B25006_002EA,B25006_002MA,B25006_003EA,B25006_003MA,B25006_004EA,B25006_004MA,B25006_005MA,B25006_005EA,B25006_006MA,B25006_006EA,B25006_007MA,B25006_007EA,B25006_008EA,B25006_008MA,B25006_009EA,B25006_009MA,B25006_010MA,B25006_010EA,NAME,B25006_001EA,state
12421,1283039,9632,487336,7317,9558,1503,20968,1578,196,159,16916,2232,23652,2477,1737,644,21915,2487,0400000US01,1841665,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,01
3074,181774,3200,7086,1039,29882,2061,11826,1151,1995,554,4391,962,13787,1801,292,233,13495,1808,0400000US02,250741,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,02
11005,2104338,11676,104848,4216,87411,3979,76277,3171,3565,920,113157,6114,63376,3826,12869,1889,50507,3505,0400000US04,2552972,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,04
8560,907964,7326,174312,3975,6593,1200,15308,1353,2127,545,23264,2486,23514,2482,1615,846,21899,2306,0400000US05,1153082,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,05
17539,8372857,23711,811762,10103,103336,4483,1808321,12479,41521,2778,1435380,15156,431920,11431,79022,4325,352898,10303,0400000US06,13005097,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,06
8774,1864952,9353,78741,2783,21470,1937,55713,2851,1527,741,64563,3794,52241,3702,7628,1377,44613,3441,0400000US08,2139207,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,08
6513,1083145,7443,130883,3779,3998,1080,54315,2463,0,207,58004,3780,26417,2531,4474,1054,21943,2363,0400000US09,1356762,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,09
4266,261482,4251,73449,2963,1168,405,12713,858,0,198,3950,846,5175,1104,531,308,4644,1075,0400000US10,357937,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,10
3302,128669,2932,123860,2991,574,294,11194,971,101,132,9882,1561,7195,1631,606,310,6589,1620,0400000US11,281475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,11
22835,6130945,21038,1054149,12232,21913,2495,179863,4406,2912,935,166072,7728,134110,6460,22712,2328,111398,5912,0400000US12,7689964,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,12
