GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001MA,B15002A_001EA,B15002A_002MA,B15002A_002EA,B15002A_003MA,B15002A_003EA,B15002A_004EA,B15002A_004MA,B15002A_005EA,B15002A_005MA,B15002A_006MA,B15002A_006EA,B15002A_007MA,B15002A_007EA,B15002A_008MA,B15002A_008EA,B15002A_009EA,B15002A_009MA,B15002A_010EA,B15002A_010MA,B15002A_011MA,B15002A_011EA,B15002A_012MA,B15002A_012EA,B15002A_013MA,B15002A_013EA,B15002A_014EA,B15002A_014MA,B15002A_015EA,B15002A_015MA,B15002A_016MA,B15002A_016EA,B15002A_017MA,B15002A_017EA,B15002A_018MA,B15002A_018EA,B15002A_019EA,B15002A_019MA,state
0400000US01,2342850,4765,1129521,3263,43977,3745,97144,6160,273909,8414,69431,4354,240300,7037,81091,4085,201592,5916,122077,5036,1213329,3020,41531,2946,94469,5088,296486,7516,65989,4054,255564,6586,115954,5394,216342,7147,126994,4620,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,334466,1846,176873,1289,1699,455,6825,1662,41001,2969,11431,1594,45996,3101,15398,2188,32840,2309,21683,1995,157593,1101,2106,812,5179,1181,25110,2069,7724,1489,41564,3327,14975,1832,36861,2573,24074,2162,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3800035,12912,1856826,7119,93075,5470,128965,5715,355660,9135,85986,4824,459776,9668,155916,6335,358668,8978,218780,7417,1943209,7174,81275,4737,121445,6608,396009,10011,62262,4329,509592,9053,182318,7744,373720,8183,216588,6569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1600041,4518,773845,3108,32425,3018,62460,4373,225261,7220,57113,3919,165027,4823,44984,3012,123157,4875,63418,3666,826196,2815,28200,2529,57697,3581,219827,7611,47654,3708,189492,6782,70792,4184,134421,4523,78113,3882,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16205852,38064,8003959,21733,559395,12718,573733,13951,1449434,19320,227487,7257,1779149,21298,596725,13071,1725951,19919,1092085,16165,8201893,22707,606455,14077,496363,11506,1491918,18191,155107,6613,1889329,20251,729495,14025,1742038,21416,1091188,14920,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3293204,7943,1636220,5169,45712,3757,78042,5315,277614,8848,77600,4895,341905,9562,122547,4644,439786,8338,253014,6821,1656984,4610,40211,3428,69203,4404,284938,7984,46878,2811,348136,7984,148620,5808,456228,8316,262770,6442,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1965707,6833,940218,4121,27963,2333,49349,4113,224326,8264,32924,2724,154246,5363,67049,5047,216836,6178,167525,4822,1025489,4191,29046,2669,41636,2923,233952,6190,22919,2543,167173,5824,98272,5018,237591,6322,194900,5496,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,486639,2505,232981,1526,9031,1889,15938,2387,65910,3608,9119,1436,42586,2648,14299,1941,45539,2980,30559,2402,253658,1382,7813,1729,11008,1650,70430,3656,6866,1259,49365,3146,24666,2239,47879,3160,35631,2442,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,218184,3008,109594,1827,1434,942,1235,514,2455,928,1382,706,6209,1286,1501,598,34932,2521,60446,2975,108590,1622,1454,785,681,375,2568,873,285,297,4161,997,1683,600,37093,2692,60665,2886,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11774810,21683,5680212,11313,249893,11246,368300,10770,1355600,21545,272460,9331,1131289,16323,505720,11011,1119467,18325,677483,11125,6094598,13393,241676,9621,349473,12461,1521739,21730,216446,8646,1220351,18028,668545,14285,1224097,19862,652271,11516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
