GEO_ID,B24031_001E,B24031_001M,B24031_002E,B24031_002M,B24031_003E,B24031_003M,B24031_004E,B24031_004M,B24031_005E,B24031_005M,B24031_006E,B24031_006M,B24031_007E,B24031_007M,B24031_008E,B24031_008M,B24031_009E,B24031_009M,B24031_010E,B24031_010M,B24031_011E,B24031_011M,B24031_012E,B24031_012M,B24031_013E,B24031_013M,B24031_014E,B24031_014M,B24031_015E,B24031_015M,B24031_016E,B24031_016M,B24031_017E,B24031_017M,B24031_018E,B24031_018M,B24031_019E,B24031_019M,B24031_020E,B24031_020M,B24031_021E,B24031_021M,B24031_022E,B24031_022M,B24031_023E,B24031_023M,B24031_024E,B24031_024M,B24031_025E,B24031_025M,B24031_026E,B24031_026M,B24031_027E,B24031_027M,NAME,B24031_001EA,B24031_001MA,B24031_002MA,B24031_002EA,B24031_003MA,B24031_003EA,B24031_004EA,B24031_004MA,B24031_005EA,B24031_005MA,B24031_006EA,B24031_006MA,B24031_007MA,B24031_007EA,B24031_008MA,B24031_008EA,B24031_009EA,B24031_009MA,B24031_010EA,B24031_010MA,B24031_011EA,B24031_011MA,B24031_012MA,B24031_012EA,B24031_013MA,B24031_013EA,B24031_014EA,B24031_014MA,B24031_015EA,B24031_015MA,B24031_016EA,B24031_016MA,B24031_017EA,B24031_017MA,B24031_018MA,B24031_018EA,B24031_019EA,B24031_019MA,B24031_020EA,B24031_020MA,B24031_021EA,B24031_021MA,B24031_022EA,B24031_022MA,B24031_023MA,B24031_023EA,B24031_024MA,B24031_024EA,B24031_025MA,B24031_025EA,B24031_026MA,B24031_026EA,B24031_027EA,B24031_027MA,state
0400000US01,32267,257,39269,4589,30290,6780,58531,5410,35046,2065,38570,1454,41607,2064,21373,678,47519,3044,42374,2899,66064,6705,42249,4580,41167,1506,44314,4015,32459,5980,39179,3308,56989,2860,55470,12690,23327,1610,34173,1778,39339,1351,31329,628,13821,1148,16963,1837,13251,1146,25725,1843,50597,1264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41926,792,81985,8831,35869,11727,100962,2511,50758,3019,35365,7198,50701,12082,25758,2145,50006,6247,46233,5736,85928,6886,56965,10311,45329,7204,45045,27212,45350,4975,55547,4665,63871,6822,55915,36646,30055,9534,43161,3425,43101,5271,43189,3646,20724,2307,16499,6704,21340,2246,33559,4314,61460,3437,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,34759,551,35156,3377,27956,3390,59107,6041,36150,723,49654,3078,43969,3467,24829,843,41098,1127,37085,1660,66075,6158,40938,3297,48642,2068,50946,847,40503,2369,38437,1548,57446,3553,60708,13877,25656,675,35905,589,35162,939,36523,815,17817,865,24303,2157,16756,579,24230,1977,50055,1861,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31663,314,35103,4325,31102,1699,56666,6205,32237,1156,35442,812,40397,2476,24559,1361,46269,2362,43681,3669,60307,7636,37710,4769,38075,3414,42020,1882,30555,3413,35062,2091,49342,3387,90214,19420,22515,2429,32991,1450,36181,1160,31109,969,14479,1110,16648,3491,14031,1297,24464,1834,40606,1546,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38170,307,22864,999,22056,318,68967,5352,40952,341,47439,678,42392,1318,25216,370,41358,427,36799,416,82500,4292,69031,3904,57079,1183,65501,1194,44654,1912,51834,370,75634,829,77835,8402,27436,672,40999,248,42253,483,40333,304,20678,194,26060,596,19540,433,24170,723,62799,1607,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40330,220,44087,5809,30482,1819,74153,3948,41580,599,51815,938,48958,1618,25500,835,50758,1029,45892,2160,70901,5378,58582,5345,53106,2104,59370,3903,45358,3940,51765,777,70112,2345,73158,20226,27785,1619,38092,1101,38667,1487,37549,1342,20184,473,22028,906,19248,963,29795,2313,59888,2040,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,45234,533,36621,9066,26991,9260,56042,106163,46809,1692,61577,1551,54851,3731,25900,1360,45747,2397,40113,3668,82289,7814,57236,5100,76808,1426,85249,4112,47278,4705,51756,1192,70592,3259,83929,25727,29396,2312,43959,1665,50430,1459,41454,742,19024,1522,23623,4007,17069,1001,31403,1577,67500,3297,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40347,821,31886,9490,31337,9509,41198,19099,42177,3019,55088,7190,40786,4082,22301,3020,50118,3811,45625,5047,82842,21021,32160,21323,60163,4907,62058,5380,36257,5908,48964,3667,63595,10398,-666666666,-222222222,26983,2669,43331,3062,48458,3248,41303,2187,16659,1657,20189,6091,15984,2010,26734,2915,46648,2711,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60252,1635,7159,72524,7026,58216,-666666666,-222222222,40624,3879,54259,17152,53772,13201,23215,3168,41364,5832,40148,7904,91390,38500,77529,9389,70519,4445,82454,14430,54503,16194,75402,3340,82184,4158,51813,52772,31599,3133,46390,4581,50380,7026,42430,5357,29372,2969,31984,10002,28273,2967,52993,4008,86660,6837,District of Columbia,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,31797,138,22251,1450,21510,1174,55747,15988,32589,991,40835,662,41250,815,22479,373,38227,1695,35995,890,55530,5210,42432,2416,44546,1368,50726,645,35787,695,36305,568,52027,507,65066,5600,24914,627,35924,412,36777,630,35424,537,20699,275,23850,908,19792,478,22180,435,47387,1086,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
