B13014_019E,B13014_019M,B13014_020E,B13014_020M,B13014_021E,B13014_021M,B13014_022E,B13014_022M,B13014_023E,B13014_023M,B13014_024E,B13014_024M,B13014_025E,B13014_025M,B13014_026E,B13014_026M,B13014_027E,B13014_027M,GEO_ID,B13014_001E,B13014_001M,B13014_002E,B13014_002M,B13014_003E,B13014_003M,B13014_004E,B13014_004M,B13014_005E,B13014_005M,B13014_006E,B13014_006M,B13014_007E,B13014_007M,B13014_008E,B13014_008M,B13014_009E,B13014_009M,B13014_010E,B13014_010M,B13014_011E,B13014_011M,B13014_012E,B13014_012M,B13014_013E,B13014_013M,B13014_014E,B13014_014M,B13014_015E,B13014_015M,B13014_016E,B13014_016M,B13014_017E,B13014_017M,B13014_018E,B13014_018M,B13014_019EA,B13014_019MA,B13014_020MA,B13014_020EA,B13014_021MA,B13014_021EA,B13014_022MA,B13014_022EA,B13014_023MA,B13014_023EA,B13014_024EA,B13014_024MA,B13014_025EA,B13014_025MA,B13014_026MA,B13014_026EA,B13014_027EA,B13014_027MA,NAME,B13014_001EA,B13014_001MA,B13014_002EA,B13014_002MA,B13014_003EA,B13014_003MA,B13014_004MA,B13014_004EA,B13014_005MA,B13014_005EA,B13014_006EA,B13014_006MA,B13014_007EA,B13014_007MA,B13014_008EA,B13014_008MA,B13014_009MA,B13014_009EA,B13014_010MA,B13014_010EA,B13014_011EA,B13014_011MA,B13014_012EA,B13014_012MA,B13014_013EA,B13014_013MA,B13014_014EA,B13014_014MA,B13014_015MA,B13014_015EA,B13014_016MA,B13014_016EA,B13014_017EA,B13014_017MA,B13014_018EA,B13014_018MA,state
149914,5951,102714,5642,57570,4469,637158,9150,151020,5244,159684,7296,228483,7077,70725,4573,27246,3093,0400000US01,1145988,4391,59028,3589,33729,3048,2631,808,6941,1502,11066,1870,9159,1739,3932,1057,25299,2919,5747,1749,9615,1723,7115,1382,1997,996,825,575,1086960,5179,449802,8591,40777,3462,98827,4848,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
28553,2869,18703,2168,10193,1500,85896,3598,20208,1837,19851,1955,30922,3107,10066,1689,4849,1273,0400000US02,171451,2009,9961,1681,7877,1630,646,537,1748,707,3132,1020,1718,697,633,274,2084,578,222,150,939,334,895,445,28,34,0,153,161490,2492,75594,3500,4194,998,13951,1697,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
205361,8377,135976,5550,78008,4036,897605,10668,222889,5277,205977,7673,306343,8395,119694,6762,42702,3131,0400000US04,1604017,4106,88721,4401,56007,3425,6746,1285,9782,1670,17135,2487,14738,2197,7606,1138,32714,3184,5876,1269,12021,2176,11336,1819,2747,1101,734,394,1515296,5823,617691,11586,79574,5006,118772,5988,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
97440,4845,59620,4268,34620,3131,347971,8349,85666,3595,87333,4865,121620,6223,38958,4220,14394,2315,0400000US05,686960,3783,41016,3623,25275,2851,1107,517,7241,1805,7525,1700,5471,1152,3931,1271,15741,2320,3616,1266,5505,1282,5528,1353,903,674,189,264,645944,4920,297973,7178,28493,2932,77800,4280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1043806,17683,926872,16282,580341,10285,5364435,26971,1181915,13145,1058992,17380,1820019,23022,952125,16143,351384,7902,0400000US06,9686735,9041,468957,11405,318341,8345,37505,3691,57047,4326,89084,5161,82304,5103,52401,3990,150616,7666,29467,3791,50925,4356,51508,3947,14425,1925,4291,1210,9217778,16145,3853343,28690,589626,10827,712698,14778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
162041,5431,177895,5516,99436,4060,702391,9155,152727,5336,130139,5915,212754,6866,151491,5956,55280,3135,0400000US08,1356158,4236,70949,3869,52458,3438,3111,1094,9166,1967,13599,2044,16331,1914,10251,1461,18491,2377,3062,1091,6486,1396,6865,1616,1327,656,751,475,1285209,5420,582818,8786,46685,3868,96761,4758,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
71744,4460,85321,3788,78354,3387,490337,6495,99251,3468,103576,7062,156888,7071,90915,5447,39707,3371,0400000US09,827282,2752,33995,3315,23763,2377,1722,834,3049,921,5181,1131,7075,1215,6736,1142,10232,2029,2115,900,4042,1150,2914,963,844,460,317,265,793287,4223,302950,6553,15775,1756,51756,4313,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
21785,2317,17843,2017,15870,2012,130156,3784,25164,1916,36028,3454,42251,3069,17093,2556,9620,1720,0400000US10,218233,1553,9580,1613,6113,1293,940,531,1386,731,1426,606,1314,597,1047,442,3467,1027,823,607,1149,630,1441,764,54,72,0,198,208653,2055,78497,3540,6563,1416,16436,1934,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
5949,1127,12232,1880,23523,1952,149709,3193,13954,1406,22609,3153,34576,3222,41946,3521,36624,3018,0400000US11,209245,1099,9007,1357,5198,1055,94,157,690,529,434,349,1200,488,2780,683,3809,1150,1066,685,1214,537,643,474,538,346,348,257,200238,1776,50529,3033,3971,1093,4854,1146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
560914,14730,444696,12505,224051,7850,2655963,21648,583857,10855,612712,13748,906236,17614,407416,14500,145742,7554,0400000US12,4660956,9532,231116,8894,139974,6819,10976,2175,28809,3705,42400,3919,36685,3479,21104,2484,91142,6996,15322,2117,31996,3922,33021,4064,9010,2057,1793,746,4429840,13364,1773877,22823,148306,8242,395910,11472,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
