GEO_ID,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,NAME,B03002_001MA,B03002_001EA,B03002_002MA,B03002_002EA,B03002_003EA,B03002_003MA,B03002_004EA,B03002_004MA,B03002_005MA,B03002_005EA,B03002_006MA,B03002_006EA,B03002_007MA,B03002_007EA,B03002_008EA,B03002_008MA,B03002_009EA,B03002_009MA,B03002_010EA,B03002_010MA,B03002_011MA,B03002_011EA,B03002_012MA,B03002_012EA,B03002_013MA,B03002_013EA,B03002_014MA,B03002_014EA,B03002_015EA,B03002_015MA,B03002_016EA,B03002_016MA,B03002_017MA,B03002_017EA,B03002_018MA,B03002_018EA,B03002_019MA,B03002_019EA,B03002_020EA,B03002_020MA,B03002_021EA,B03002_021MA,state
0400000US01,4874747,-555555555,4672777,2353,3191450,2158,1302295,6305,22209,2353,65494,2691,1432,772,8106,3642,81791,6172,2182,978,79609,6237,201970,2353,121268,6660,5172,1957,2972,1700,1414,884,149,285,59202,5790,11793,3085,7262,2208,4531,1861,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,688083,110,448081,1095,21192,1803,105146,3312,48569,2031,8699,620,1210,973,55186,4674,774,631,54412,4566,51712,110,26775,2965,915,485,4802,2770,816,586,131,161,10069,1944,8204,1997,2921,1167,5283,1889,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,4814097,-555555555,3836639,4499,290379,6061,274496,5403,225810,4694,14951,2047,12312,4550,159510,9473,6986,2909,152524,9154,2202173,-555555555,1605778,24973,17276,3507,43478,6612,6707,1608,1502,832,420541,20297,106891,8482,47881,6340,59010,6834,Arizona,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,2780515,1357,2173307,2415,455500,5114,16901,2031,46583,3182,8220,1846,7629,3410,72375,4685,844,408,71531,4670,223764,1357,120000,6585,2867,1105,2209,939,1302,774,331,407,84261,6854,12794,2592,5837,1992,6957,2313,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,24059347,-555555555,14616636,7788,2164239,16842,147880,6486,5679986,18800,137520,4791,107223,9425,1205863,27793,59147,5133,1146716,27239,15477306,-555555555,8565133,67715,107678,9806,165979,10715,85319,7130,16403,3184,5804580,64663,732214,24851,348557,16293,383657,17909,California,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,4400430,-555555555,3822055,2897,219500,5708,32102,3053,176176,4233,7137,1301,11528,2806,131932,6486,4440,1461,127492,6687,1206724,-555555555,898440,13286,9936,2081,24690,3660,3075,1020,1263,968,207661,11597,61659,6985,27419,3969,34240,5472,Colorado,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,3009351,-555555555,2393694,3077,354320,6030,7486,1570,162564,2958,137,140,13505,3611,77645,6759,4655,1500,72990,6474,578833,-555555555,329319,11553,26258,4535,3782,1707,1360,769,388,377,177868,11607,39858,4649,21230,4212,18628,3459,Connecticut,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,872399,-555555555,597917,735,206690,3260,2344,713,38404,1578,244,214,1545,757,25255,3559,626,551,24629,3555,89540,-555555555,64167,3976,3666,1296,385,422,526,352,0,198,16827,3381,3969,1441,1535,687,2434,1234,Delaware,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,617446,-555555555,253416,1470,314705,2755,1574,428,28056,1492,217,184,3746,2029,15732,2673,388,431,15344,2634,76526,-555555555,31120,4154,3515,1400,116,145,443,466,85,148,36370,4357,4877,1555,2398,1097,2479,1210,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,15613540,461,11288419,8183,3224452,14150,42654,4004,578136,7187,11076,3072,78348,9051,390455,17096,25634,5759,364821,16026,5370860,461,4479896,30854,170056,14599,20981,6068,9951,2761,2861,1832,523684,26684,163431,13310,62879,6320,100552,11099,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
