GEO_ID,B17016_001E,B17016_001M,B17016_002E,B17016_002M,B17016_003E,B17016_003M,B17016_004E,B17016_004M,B17016_005E,B17016_005M,B17016_006E,B17016_006M,B17016_007E,B17016_007M,B17016_008E,B17016_008M,B17016_009E,B17016_009M,B17016_010E,B17016_010M,B17016_011E,B17016_011M,B17016_012E,B17016_012M,B17016_013E,B17016_013M,B17016_014E,B17016_014M,B17016_015E,B17016_015M,B17016_016E,B17016_016M,B17016_017E,B17016_017M,B17016_018E,B17016_018M,B17016_019E,B17016_019M,B17016_020E,B17016_020M,B17016_021E,B17016_021M,B17016_022E,B17016_022M,B17016_023E,B17016_023M,B17016_024E,B17016_024M,B17016_025E,B17016_025M,B17016_026E,B17016_026M,B17016_027E,B17016_027M,B17016_028E,B17016_028M,B17016_029E,B17016_029M,B17016_030E,B17016_030M,B17016_031E,B17016_031M,B17016_032E,B17016_032M,B17016_033E,B17016_033M,B17016_034E,B17016_034M,B17016_035E,B17016_035M,B17016_036E,B17016_036M,B17016_037E,B17016_037M,B17016_038E,B17016_038M,B17016_039E,B17016_039M,B17016_040E,B17016_040M,B17016_041E,B17016_041M,B17016_042E,B17016_042M,B17016_043E,B17016_043M,B17016_044E,B17016_044M,B17016_045E,B17016_045M,B17016_046E,B17016_046M,B17016_047E,B17016_047M,NAME,B17016_001MA,B17016_001EA,B17016_002MA,B17016_002EA,B17016_003MA,B17016_003EA,B17016_004MA,B17016_004EA,B17016_005MA,B17016_005EA,B17016_006MA,B17016_006EA,B17016_007MA,B17016_007EA,B17016_008MA,B17016_008EA,B17016_009MA,B17016_009EA,B17016_010MA,B17016_010EA,B17016_011MA,B17016_011EA,B17016_012EA,B17016_012MA,B17016_013EA,B17016_013MA,B17016_014MA,B17016_014EA,B17016_015MA,B17016_015EA,B17016_016MA,B17016_016EA,B17016_017MA,B17016_017EA,B17016_018MA,B17016_018EA,B17016_019MA,B17016_019EA,B17016_020MA,B17016_020EA,B17016_021MA,B17016_021EA,B17016_022EA,B17016_022MA,B17016_023EA,B17016_023MA,B17016_024MA,B17016_024EA,B17016_025MA,B17016_025EA,B17016_026MA,B17016_026EA,B17016_027MA,B17016_027EA,B17016_028MA,B17016_028EA,B17016_029EA,B17016_029MA,B17016_030MA,B17016_030EA,B17016_031MA,B17016_031EA,B17016_032EA,B17016_032MA,B17016_033EA,B17016_033MA,B17016_034EA,B17016_034MA,B17016_035MA,B17016_035EA,B17016_036MA,B17016_036EA,B17016_037MA,B17016_037EA,B17016_038MA,B17016_038EA,B17016_039MA,B17016_039EA,B17016_040MA,B17016_040EA,B17016_041MA,B17016_041EA,B17016_042EA,B17016_042MA,B17016_043EA,B17016_043MA,B17016_044EA,B17016_044MA,B17016_045EA,B17016_045MA,B17016_046EA,B17016_046MA,B17016_047EA,B17016_047MA,state
0400000US01,1203689,13513,154370,6386,46628,2879,7721,1444,193,149,970,460,6558,1363,9701,1683,1161,614,3122,937,5418,1450,29206,2331,3792,910,3419,974,21995,2157,107742,5689,12997,1904,2352,1005,3261,1037,7384,1343,94745,5195,16394,2313,31388,3575,46963,3599,1049319,13531,810346,11402,438119,9848,244617,8766,76355,4438,117147,5288,114903,5209,60109,3515,23325,2398,31469,2273,257324,5995,75897,4389,24539,2191,156888,5069,238973,8210,64559,3977,39534,3394,8122,1504,16903,1907,174414,6972,96162,5487,23235,2358,55017,3201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5212,876,424,311,34,38,32,35,358,319,1998,672,197,204,682,342,1119,570,2790,615,238,207,932,464,1620,437,7176,1230,2056,670,151,122,1433,640,472,140,5120,1123,885,748,2098,464,2137,660,155013,3917,118613,4050,61713,3654,33041,2521,15338,1801,13334,1747,28485,2270,12949,1671,8938,1279,6598,1101,28415,2464,12526,1931,3228,702,12661,1557,36400,2549,12946,1688,7156,1282,3351,818,2439,784,23454,2079,14048,1802,5245,1221,4161,820,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,74404,4198,13248,2074,695,280,2224,893,10329,1816,16861,1943,3058,917,4699,1137,9104,1411,44295,3226,6446,1256,6426,1539,31423,2538,101658,5296,21609,2410,5473,1400,7138,1316,8998,1647,80049,4515,16301,2553,27029,2402,36719,3108,1476263,14537,1132114,14104,560914,11634,298972,7653,112570,4906,149372,6629,193411,5133,96292,4170,44510,3133,52609,3197,377789,7860,95265,4863,35641,2455,246883,5600,344149,9644,116465,6113,81019,5009,14814,1883,20632,2430,227684,7610,140722,7137,36709,3434,50253,3120,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31694,2922,6700,1310,526,379,1243,570,4931,1170,6442,1279,701,388,2237,697,3504,907,18552,2069,4096,1268,2916,961,11540,1439,56196,3862,8966,1471,1411,610,3404,1010,4151,1037,47230,3488,9777,1788,14529,2018,22924,2491,666809,11484,521158,9536,277717,7590,170409,6272,48402,3529,58906,3916,76633,4330,40354,3184,16101,1735,20178,2472,166808,4914,49469,3365,17779,1843,99560,3468,145651,6741,44835,3793,30284,3322,5050,1198,9501,1629,100816,5019,60470,3728,14714,1955,25632,2826,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,373259,9802,77563,4210,6449,1502,11561,1724,59553,3949,99337,5143,10542,1604,29621,3147,59174,3976,196359,8026,40535,3839,41110,3266,114714,5814,484808,12165,98151,5701,24367,2931,33626,3128,40158,3219,386657,9764,54459,3405,151345,6803,180853,7683,8052550,26039,6073706,28866,3337872,25197,1700402,19866,729620,12600,907850,14448,1185962,16274,579733,11403,319214,9708,287015,8064,1549872,16584,507652,11346,193507,7418,848713,11725,1978844,20951,675061,15412,449005,11819,115475,5941,110581,6778,1303783,17677,709802,12573,269134,7694,324847,9683,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,38461,3259,7282,1508,423,252,1534,539,5325,1432,10471,1586,1474,480,4881,1159,4116,904,20708,2858,3732,1532,3848,1068,13128,1759,53499,4065,9483,1794,1380,782,3494,989,4609,1279,44016,3823,7502,1415,19209,2373,17305,2370,1274847,10110,1023853,11173,567190,10821,321692,9034,127844,5145,117654,5827,203946,5287,110445,4770,53159,3213,40342,2920,252717,6805,85645,5098,27743,2541,139329,4645,250994,6370,91058,4575,64177,4003,16900,2254,9981,1610,159936,5822,95193,4895,32445,2805,32298,2764,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,17623,1988,1519,573,115,123,186,155,1218,542,5504,1201,134,223,1682,766,3688,996,10600,1670,947,521,1972,706,7681,1406,38133,3858,5613,1375,580,348,2208,814,2825,933,32520,3518,2185,746,14556,2110,15779,2429,821537,8644,631938,8173,354604,7242,198110,6641,84621,4073,71873,4028,123747,5459,64818,4407,30044,2479,28885,2017,153587,4413,47669,3029,20519,2127,85399,3552,189599,7241,55704,3805,34806,3186,10518,1517,10380,1733,133895,5727,71825,4209,34426,3158,27644,3052,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,9611,1790,1521,677,109,149,492,449,920,538,1718,590,361,417,604,325,753,330,6372,1578,561,394,1022,584,4789,1348,12054,1765,2402,945,415,287,737,416,1250,801,9652,1519,1811,778,3079,872,4762,1171,214130,5465,167336,5179,88867,4432,48954,3117,14849,1589,25064,2305,25988,2594,11468,1791,7223,1236,7297,1108,52481,2599,13319,1829,5154,929,34008,2080,46794,3453,14114,1743,10396,1712,1221,404,2497,773,32680,3052,19302,2325,5856,1420,7522,1495,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2406,868,289,246,64,110,69,115,156,191,1008,636,0,208,148,148,860,621,1109,546,0,208,213,194,896,508,13523,1678,1628,658,147,125,257,337,1224,604,11895,1619,755,361,3391,1014,7749,1138,103428,3668,68170,3209,46714,2847,32928,2507,6987,1087,6799,1405,11046,1791,5865,1153,2769,844,2412,1085,10410,1296,3263,716,1665,516,5482,978,35258,2731,8363,1370,4895,1106,1324,449,2144,692,26895,2298,14486,1676,4334,1101,8075,1473,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,213722,7908,33858,3419,2059,777,5909,1262,25890,3368,49547,4239,5474,1447,16970,2036,27103,3347,130317,6625,18524,2577,16476,2793,95317,5210,285307,9019,50716,3727,11910,2316,14080,2095,24726,2532,234591,8437,43931,4012,82273,5294,108387,5836,4444477,28838,3374573,27825,1666783,19247,937652,14431,330650,10523,398481,10296,554352,11760,257622,8516,135536,5158,161194,5552,1153438,13789,266501,9603,115669,5410,771268,11956,1069904,19401,326912,10597,218957,7941,45103,3920,62852,4639,742992,15642,426081,14014,130095,6829,186816,7513,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
