GEO_ID,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,NAME,B02001_001EA,B02001_001MA,B02001_002EA,B02001_002MA,B02001_003EA,B02001_003MA,B02001_004EA,B02001_004MA,B02001_005EA,B02001_005MA,B02001_006EA,B02001_006MA,B02001_007EA,B02001_007MA,B02001_008EA,B02001_008MA,B02001_009EA,B02001_009MA,B02001_010EA,B02001_010MA,state
0400000US01,4874747,-555555555,3312718,7193,1307467,6809,25181,3067,66908,2994,1581,800,67308,6742,93584,6810,9444,2532,84140,6533,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,474856,3312,22107,1923,109948,4628,49385,2179,8830,643,11279,2328,63390,5290,3695,1214,59695,5218,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,5442417,25445,307655,6923,317974,8724,232517,4814,16453,2059,432853,21141,266401,12035,54867,6630,211534,10390,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,2293307,7105,458367,5104,19110,2399,47885,3261,8551,1976,91890,7755,85169,5704,6681,2073,78488,5586,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,23181769,68345,2271917,19745,313859,12442,5765305,20570,153923,5688,5911803,64869,1938077,38582,407704,17166,1530373,31513,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,4720495,13280,229436,6270,56792,4293,179251,4255,8400,1808,219189,11815,193591,10824,31859,4106,161732,9345,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,2723013,12447,380578,7306,11268,2350,163924,3110,525,407,191373,12750,117503,7644,25885,4315,91618,7525,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,662084,4020,210356,3797,2729,778,38930,1658,244,214,18372,3423,29224,3620,2161,861,27063,3554,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,284536,4734,318220,3042,1690,463,28499,1656,302,209,40116,5076,20609,3240,2786,1193,17823,3031,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,15768315,33431,3394508,19514,63635,6958,588087,7774,13937,3557,602032,29652,553886,21776,88513,9383,465373,18170,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
