GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001MA,C17018_001EA,C17018_002EA,C17018_002MA,C17018_003EA,C17018_003MA,C17018_004MA,C17018_004EA,C17018_005EA,C17018_005MA,C17018_006MA,C17018_006EA,C17018_007EA,C17018_007MA,C17018_008EA,C17018_008MA,C17018_009EA,C17018_009MA,C17018_010MA,C17018_010EA,C17018_011EA,C17018_011MA,state
0400000US01,1203689,13513,154370,6386,39132,3466,58382,3760,47057,3745,9799,1466,1049319,13531,88332,4475,277453,7935,342673,7726,340861,7828,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,2841,889,4878,862,4055,962,614,317,155013,3917,7653,1363,32235,2797,60295,3918,54830,3311,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,53090,3704,52035,4058,54050,4207,16887,2353,1476263,14537,135654,5383,281501,8637,521911,9706,537197,11037,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,21677,2407,31510,3002,28659,3058,6044,1194,666809,11484,61281,3602,193721,6760,216035,7200,195772,6884,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,305306,9222,213827,8198,235545,8490,103389,5099,8052550,26039,1063476,15248,1367368,21802,2471945,22783,3149761,23267,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,21633,2779,25996,2795,29995,2767,14336,1605,1274847,10110,78567,3862,219637,7896,379597,8396,597046,9205,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,14989,2039,17424,2510,14520,2401,8823,1581,821537,8644,50922,3144,183085,7174,216924,7581,370606,7972,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,4603,1141,9450,1804,5975,1431,1637,596,214130,5465,13808,2193,56338,3532,59941,3366,84043,3510,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,3266,874,8181,1280,3211,946,1271,494,103428,3668,8528,1572,13994,1634,16270,2064,64636,3095,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,111057,6770,171505,7421,146137,7258,70330,5034,4444477,28838,347375,9274,1034349,16145,1427526,20159,1635227,20873,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525783,17938,279748,11291,76613,5919,97042,6539,77834,4890,28259,3092,2246035,17534,190151,8037,527837,12323,677248,12638,850799,11998,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,320336,5022,23547,2448,3638,1035,8506,1377,7299,1269,4104,1083,296789,5140,16496,1915,63703,3409,99209,4468,117381,4286,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,419774,7037,36225,3347,5627,1170,12007,2141,12545,2023,6046,1350,383549,7091,26398,2480,84407,4722,146710,4313,126034,5375,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3083543,17333,277866,10016,59733,4002,93181,4908,90678,5643,34274,3019,2805677,18153,229387,7534,606623,10178,853960,14054,1115707,12846,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
