GEO_ID,B07404G_001E,B07404G_001M,B07404G_002E,B07404G_002M,B07404G_003E,B07404G_003M,B07404G_004E,B07404G_004M,B07404G_005E,B07404G_005M,NAME,B07404G_001MA,B07404G_001EA,B07404G_002MA,B07404G_002EA,B07404G_003MA,B07404G_003EA,B07404G_004MA,B07404G_004EA,B07404G_005MA,B07404G_005EA,state
0400000US01,87523,6633,70316,5890,9108,2533,4671,1486,3428,1253,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,63589,5310,48882,4324,9549,2480,1213,419,3945,1642,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,254059,12039,205518,10931,36769,5358,4939,1625,6833,1646,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,82574,5528,65490,4967,10525,2685,4050,1028,2509,1108,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1876277,38107,1578097,35897,188123,11614,70300,5425,39757,4097,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,182323,10774,143592,9393,20369,3227,11104,1925,7258,1718,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115493,7475,95509,6960,13339,3698,3715,1769,2930,848,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28517,3685,25068,3526,2133,1024,368,301,948,446,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19505,3067,15928,2772,1833,766,0,198,1744,788,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,534691,21384,431596,19382,62440,7099,21869,4129,18786,3307,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,275868,14614,225542,13448,22133,4173,15592,2831,12601,3357,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,323462,12371,290153,11491,23869,3670,2071,858,7369,1622,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,50010,5784,39031,5363,5050,1893,2790,1039,3139,1304,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,323883,13674,268220,11500,34528,4478,9963,2238,11172,2574,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,170685,8167,137280,7762,19282,2772,7746,1717,6377,1879,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,64905,5150,49814,4927,9642,2159,2240,616,3209,1158,Iowa,null,null,null,null,null,null,null,null,null,null,19
