GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001EA,B05003D_001MA,B05003D_002MA,B05003D_002EA,B05003D_003MA,B05003D_003EA,B05003D_004EA,B05003D_004MA,B05003D_005EA,B05003D_005MA,B05003D_006EA,B05003D_006MA,B05003D_007EA,B05003D_007MA,B05003D_008MA,B05003D_008EA,B05003D_009MA,B05003D_009EA,B05003D_010EA,B05003D_010MA,B05003D_011EA,B05003D_011MA,B05003D_012EA,B05003D_012MA,B05003D_013MA,B05003D_013EA,B05003D_014MA,B05003D_014EA,B05003D_015MA,B05003D_015EA,B05003D_016MA,B05003D_016EA,B05003D_017EA,B05003D_017MA,B05003D_018EA,B05003D_018MA,B05003D_019MA,B05003D_019EA,B05003D_020MA,B05003D_020EA,B05003D_021MA,B05003D_021EA,B05003D_022MA,B05003D_022EA,B05003D_023EA,B05003D_023MA,state
0400000US01,66908,2994,31671,1745,7431,1225,5393,1227,2038,730,905,524,1133,589,24240,1286,3913,1029,20327,1506,9774,1224,10553,1634,35237,2379,8612,1251,5101,1091,3511,903,2278,802,1233,525,26625,1832,3590,952,23035,1658,11339,1400,11696,1686,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49385,2179,23618,1255,6476,685,5226,769,1250,540,334,273,916,564,17142,974,3508,904,13634,1279,7016,954,6618,1236,25767,1364,5490,756,3952,784,1538,520,437,299,1101,460,20277,993,4157,1079,16120,1431,9228,1251,6892,1404,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,232517,4814,108396,3048,21519,1758,17116,1939,4403,975,1226,592,3177,873,86877,2151,19882,2232,66995,3030,33338,2112,33657,3397,124121,2818,22624,1719,17002,1656,5622,1282,1162,514,4460,1149,101497,2123,21438,1860,80059,2091,45872,2178,34187,2475,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47885,3261,23566,1921,6284,1071,5536,934,748,518,0,201,748,518,17282,1345,3569,913,13713,1269,4983,952,8730,1173,24319,1953,6247,1142,4332,952,1915,765,1019,593,896,533,18072,1284,2395,829,15677,1457,7339,1047,8338,1263,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5765305,20570,2723625,11402,535749,6720,456878,7562,78871,5102,26060,3308,52811,4319,2187876,7620,612748,12001,1575128,11978,1025959,10431,549169,11786,3041680,13167,507767,7536,437366,7282,70401,4417,22350,2074,48051,3849,2533913,8781,593141,10911,1940772,12414,1307999,11696,632773,13369,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,179251,4255,83475,2870,19915,1643,15500,1647,4415,1149,1936,785,2479,889,63560,1970,15346,2127,48214,2423,25093,1879,23121,2375,95776,2742,20908,1536,13865,1607,7043,1279,3789,846,3254,1002,74868,1946,17789,1977,57079,2384,34601,2432,22478,2003,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163924,3110,77157,2257,15829,1290,12420,1284,3409,749,1320,594,2089,666,61328,1522,10937,1683,50391,2039,26148,2094,24243,2254,86767,2027,16834,1180,11854,1445,4980,1126,2023,607,2957,1004,69933,1405,11932,1630,58001,2009,31690,2621,26311,2587,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38930,1658,18437,966,4213,637,3818,681,395,308,65,101,330,298,14224,667,1676,550,12548,834,5802,809,6746,947,20493,994,4030,419,2939,721,1091,556,371,222,720,546,16463,794,1523,602,14940,923,7923,1182,7017,1160,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28499,1656,12149,871,1556,476,583,427,973,506,443,407,530,513,10593,701,3377,787,7216,974,3246,821,3970,1096,16350,1047,1149,443,589,383,560,293,238,176,322,311,15201,936,5477,897,9724,1150,4877,939,4847,1220,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,588087,7774,269240,5456,54537,2895,45123,2601,9414,2115,2909,823,6505,1969,214703,3919,46937,3764,167766,4837,105813,4953,61953,4564,318847,4484,56106,2730,42972,2719,13134,2108,5571,1246,7563,1620,262741,4033,42616,4120,220125,5016,141585,4748,78540,4922,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
