GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,NAME,C05003_001MA,C05003_001EA,C05003_002EA,C05003_002MA,C05003_003EA,C05003_003MA,C05003_004EA,C05003_004MA,C05003_005MA,C05003_005EA,C05003_006EA,C05003_006MA,C05003_007MA,C05003_007EA,C05003_008EA,C05003_008MA,C05003_009EA,C05003_009MA,C05003_010MA,C05003_010EA,C05003_011EA,C05003_011MA,C05003_012MA,C05003_012EA,C05003_013MA,C05003_013EA,C05003_014EA,C05003_014MA,C05003_015EA,C05003_015MA,state
0400000US01,4874747,-555555555,2359896,5397,559994,4666,552455,4689,7539,1891,1799902,2714,1722984,4353,76918,3476,2514851,5397,534067,4662,525603,4670,8464,1531,1980784,2660,1904639,4002,76145,4002,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,385776,2177,94061,1894,92089,1911,1972,770,291715,933,267884,2234,23831,2410,354019,2177,91120,1918,88186,2211,2934,945,262899,911,233449,2479,29450,2436,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,3487722,3229,832326,2725,809616,3722,22710,2861,2655396,1668,2237981,10220,417415,9992,3528548,3229,800402,2800,775474,4782,24928,3312,2728146,1323,2268299,10521,459847,10151,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,1479682,4363,365674,3662,361418,3673,4256,1269,1114008,2521,1046083,3706,67925,3501,1524597,4363,342759,3563,338221,3695,4538,1165,1181838,2412,1118479,3276,63359,2894,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,19650051,4631,4632490,4388,4415054,10801,217436,9642,15017561,3185,10121755,29505,4895806,29130,19886602,4631,4424896,4065,4220983,9662,203913,8361,15461706,2521,10125447,28049,5336259,28069,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,2820169,3314,647572,3099,627648,4094,19924,3178,2172597,2229,1918715,7355,253882,7000,2786985,3314,614787,2954,590997,4051,23790,2847,2172198,1885,1919026,7831,253172,7719,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,1750647,2313,380236,1796,364979,2784,15257,2015,1370411,1724,1133403,6530,237008,6831,1837537,2313,362042,1791,345860,3023,16182,2615,1475495,1487,1213697,7623,261798,7435,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,465510,1455,104083,1234,100676,2029,3407,1661,361427,688,318035,3041,43392,3120,496429,1455,100230,1273,96681,1622,3549,1076,396199,565,348054,3546,48145,3490,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,329078,543,62806,472,60506,988,2300,836,266272,305,218355,2847,47917,2811,364894,543,61792,497,58783,1322,3009,1269,303102,234,254468,3648,48634,3667,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,10254267,6257,2140045,5116,2015881,8045,124164,7133,8114222,4102,6189451,19547,1924771,20060,10730133,6257,2060735,4959,1934028,8057,126707,7800,8669398,3990,6465699,23546,2203699,22409,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
