GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003MA,B19001G_003EA,B19001G_004MA,B19001G_004EA,B19001G_005MA,B19001G_005EA,B19001G_006EA,B19001G_006MA,B19001G_007MA,B19001G_007EA,B19001G_008MA,B19001G_008EA,B19001G_009MA,B19001G_009EA,B19001G_010EA,B19001G_010MA,B19001G_011EA,B19001G_011MA,B19001G_012EA,B19001G_012MA,B19001G_013MA,B19001G_013EA,B19001G_014MA,B19001G_014EA,B19001G_015EA,B19001G_015MA,B19001G_016MA,B19001G_016EA,B19001G_017EA,B19001G_017MA,state
0400000US01,23652,2477,2652,883,2508,872,1296,552,1963,685,942,486,1145,522,1061,590,1963,986,959,506,1357,636,3385,969,1363,481,1176,490,864,589,719,417,299,258,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13787,1801,840,447,311,179,106,79,429,322,568,357,731,459,256,261,530,440,606,350,1564,736,1772,721,1411,454,1145,548,999,636,1654,783,865,405,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,63376,3826,3585,926,3598,1007,3583,929,2979,905,2879,1151,4748,1323,3756,1139,3574,984,2851,916,4567,1228,6698,1187,7472,1401,4927,1033,3014,952,2708,829,2437,789,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23514,2482,1798,582,937,520,1592,611,1620,732,1950,688,1628,775,964,462,1410,694,1152,665,2312,836,2208,768,2687,885,917,472,994,528,684,369,661,445,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,431920,11431,23681,2482,18841,2334,17190,2084,16484,2295,13524,2100,17217,2238,14115,2105,16549,2235,13949,2103,28270,2674,40421,3114,56156,4549,42309,3514,29883,2744,38523,2905,44808,3989,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,52241,3702,4508,1121,1912,710,1740,543,1898,654,2463,881,2780,909,2213,829,1355,496,1753,710,4731,1106,5886,1424,6909,1283,4405,915,2797,814,3018,874,3873,862,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,26417,2531,1424,590,1372,620,1309,733,1377,810,1180,598,1020,841,1446,854,973,478,1031,504,2557,970,1838,661,3485,1150,2863,880,1275,630,1339,540,1928,752,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5175,1104,326,273,131,128,372,345,229,227,256,202,227,198,267,263,196,189,337,351,208,201,169,135,1115,560,406,278,175,119,298,316,463,356,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7195,1631,350,250,840,569,158,189,72,125,403,466,0,208,163,133,60,98,154,179,487,326,454,328,1215,622,755,450,428,263,529,433,1127,439,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134110,6460,9375,1678,7844,1376,6300,1594,9169,1786,6808,1651,5469,1231,7989,1760,5219,1402,6636,1238,11136,2040,13716,2026,17007,2148,8746,1962,5763,1193,6317,1408,6616,1605,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,65674,4439,7092,1686,4092,1224,4299,1232,2811,949,2256,695,2663,1008,3109,1074,3197,874,2955,1109,3571,1069,6023,1280,9117,1858,5097,1313,2336,818,3993,1107,3063,934,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,72318,3831,3795,894,1396,584,2298,809,2298,676,1924,648,2536,994,2597,686,2995,733,2204,702,5713,1179,6077,1194,12605,1807,8413,1198,5237,1108,5823,969,6407,1233,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,13091,2007,868,496,1330,896,686,486,704,426,418,302,551,423,774,423,562,419,438,349,800,488,2046,830,1379,614,666,407,732,520,319,375,818,610,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,74626,3864,6697,1300,4766,1281,2578,819,3082,886,2465,632,4022,1139,3820,1003,3129,959,3427,758,5340,1056,7706,1543,7991,1509,5335,1194,5337,1034,4485,992,4446,910,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,37000,3175,3272,877,2910,933,2614,730,1578,712,2987,1046,2241,703,2364,782,1454,668,1565,653,3165,941,2933,846,4352,978,2600,882,707,385,1303,581,955,665,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13834,1912,2244,866,875,426,1287,520,1162,500,682,366,855,452,554,304,644,543,148,148,1168,571,1132,480,945,396,1061,491,359,267,270,175,448,307,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22732,2069,2663,1005,2387,778,1422,526,1334,480,1273,461,856,447,1553,607,1101,691,641,261,1994,614,1644,584,2588,831,2084,776,618,339,225,176,349,257,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20544,2582,3118,1127,944,495,1694,645,1019,477,670,360,1055,537,1020,626,725,414,847,499,1490,632,3043,867,1732,645,1056,506,704,393,414,414,1013,528,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20191,2500,1868,798,1050,547,1420,678,1061,606,695,368,2105,983,1308,670,1284,577,452,274,990,480,1574,622,1809,707,2317,779,933,405,765,480,560,384,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7615,1161,624,326,391,276,549,401,449,331,322,219,404,258,671,314,308,264,618,464,674,416,1076,496,618,324,135,99,382,433,292,156,102,125,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
