GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001EA,C15002B_001MA,C15002B_002MA,C15002B_002EA,C15002B_003EA,C15002B_003MA,C15002B_004EA,C15002B_004MA,C15002B_005EA,C15002B_005MA,C15002B_006EA,C15002B_006MA,C15002B_007MA,C15002B_007EA,C15002B_008MA,C15002B_008EA,C15002B_009EA,C15002B_009MA,C15002B_010EA,C15002B_010MA,C15002B_011EA,C15002B_011MA,state
0400000US01,833006,5562,371055,3349,71048,4548,148493,5501,104047,5269,47467,3363,461951,4046,69411,5191,140964,5447,158679,5866,92897,4067,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13931,1192,8421,1107,733,420,3003,915,3456,1144,1229,554,5510,635,463,303,1593,892,2182,943,1272,725,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,192907,3336,100818,2021,9500,1266,28326,3109,39113,3002,23879,2654,92089,2377,8515,1820,22603,2541,37876,3351,23095,2726,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,278042,3752,128251,2340,23054,2643,55560,2628,32282,3041,17355,2715,149791,2517,23383,2409,45544,3421,54331,2871,26533,2594,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1553323,9368,749693,6932,83520,4068,198691,7277,292238,7979,175244,6479,803630,5060,78006,4782,177172,6706,326757,9530,221695,7241,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,146066,3214,78153,2465,7677,1803,25061,2914,24320,2413,21095,2414,67913,1945,5518,1065,17604,2154,24699,2570,20092,2392,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,245862,3912,113314,2362,18237,2428,46224,3337,30082,2807,18771,2313,132548,2605,14510,2300,45324,3614,42614,3789,30100,3091,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,137339,2258,61340,1656,6543,1261,27070,2600,16098,2213,11629,1761,75999,1081,6126,1158,26659,2421,24013,2373,19201,2175,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217915,1591,94751,813,13852,2193,32514,3027,23230,2921,25155,2665,123164,1153,15496,2273,39998,3168,34658,3093,33012,3014,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2137020,10359,991133,7186,174788,8809,365207,10895,290408,9680,160730,8171,1145887,6637,174523,8225,348804,10000,381053,10292,241507,10615,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
