GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001EA,B13008_001MA,B13008_002EA,B13008_002MA,B13008_003MA,B13008_003EA,B13008_004MA,B13008_004EA,B13008_005EA,B13008_005MA,B13008_006EA,B13008_006MA,B13008_007EA,B13008_007MA,B13008_008EA,B13008_008MA,B13008_009MA,B13008_009EA,B13008_010MA,B13008_010EA,B13008_011EA,B13008_011MA,B13008_012EA,B13008_012MA,B13008_013EA,B13008_013MA,B13008_014MA,B13008_014EA,B13008_015MA,B13008_015EA,state
0400000US01,1145988,4391,59028,3589,33729,3048,31069,2761,2660,1078,25299,2919,25193,2902,106,136,1086960,5179,449802,8591,418107,8287,31695,2974,637158,9150,617865,9248,19293,2497,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171451,2009,9961,1681,7877,1630,5966,1417,1911,849,2084,578,1878,491,206,294,161490,2492,75594,3500,65766,3200,9828,1543,85896,3598,79955,3507,5941,1228,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1604017,4106,88721,4401,56007,3425,40437,2848,15570,1774,32714,3184,27164,3087,5550,1391,1515296,5823,617691,11586,457369,9091,160322,7133,897605,10668,799802,10547,97803,6397,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686960,3783,41016,3623,25275,2851,21666,2607,3609,1150,15741,2320,15071,2284,670,463,645944,4920,297973,7178,267957,7316,30016,2344,347971,8349,333577,7830,14394,2245,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9686735,9041,468957,11405,318341,8345,191927,6297,126414,6202,150616,7666,115268,6694,35348,3220,9217778,16145,3853343,28690,2114358,21732,1738985,18636,5364435,26971,4293144,26412,1071291,18533,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1356158,4236,70949,3869,52458,3438,44895,3345,7563,1462,18491,2377,15658,2353,2833,1017,1285209,5420,582818,8786,480073,7668,102745,5061,702391,9155,642180,8597,60211,5115,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,827282,2752,33995,3315,23763,2377,18137,1934,5626,1246,10232,2029,8503,1895,1729,874,793287,4223,302950,6553,216028,6845,86922,3968,490337,6495,428997,7163,61340,4968,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,218233,1553,9580,1613,6113,1293,4149,1040,1964,814,3467,1027,3179,960,288,356,208653,2055,78497,3540,59888,3374,18609,2146,130156,3784,118844,4146,11312,1989,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209245,1099,9007,1357,5198,1055,4004,836,1194,615,3809,1150,3202,1117,607,315,200238,1776,50529,3033,35231,2930,15298,2258,149709,3193,132257,3543,17452,2510,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4660956,9532,231116,8894,139974,6819,95754,5363,44220,3901,91142,6996,72511,5908,18631,3416,4429840,13364,1773877,22823,1168625,17095,605252,13921,2655963,21648,2169670,24778,486293,16942,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
