GEO_ID,B16005D_001E,B16005D_001M,B16005D_002E,B16005D_002M,B16005D_003E,B16005D_003M,B16005D_004E,B16005D_004M,B16005D_005E,B16005D_005M,B16005D_006E,B16005D_006M,B16005D_007E,B16005D_007M,B16005D_008E,B16005D_008M,B16005D_009E,B16005D_009M,B16005D_010E,B16005D_010M,B16005D_011E,B16005D_011M,NAME,B16005D_001EA,B16005D_001MA,B16005D_002EA,B16005D_002MA,B16005D_003EA,B16005D_003MA,B16005D_004MA,B16005D_004EA,B16005D_005MA,B16005D_005EA,B16005D_006EA,B16005D_006MA,B16005D_007EA,B16005D_007MA,B16005D_008EA,B16005D_008MA,B16005D_009MA,B16005D_009EA,B16005D_010MA,B16005D_010EA,B16005D_011MA,B16005D_011EA,state
0400000US01,63318,2689,15237,2294,8803,1664,6434,1540,5334,1388,1100,666,48081,2522,9986,2123,38095,2890,19390,2203,18705,2728,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46577,1959,14341,2001,7600,2162,6741,1700,3638,1479,3103,1658,32236,2343,3653,882,28583,2524,12757,1757,15826,2542,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,219877,4311,64754,3546,41358,3397,23396,2499,21136,2489,2260,724,155123,4492,23885,2478,131238,5099,73069,4616,58169,5104,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44702,2955,12800,1875,6959,1333,5841,1271,4462,1149,1379,904,31902,2592,6988,1501,24914,2569,11519,2053,13395,2837,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5486878,19330,1842189,20303,1033064,17779,809125,16286,683861,14879,125264,7715,3644689,21896,380455,11262,3264234,21026,1526911,20340,1737323,25239,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,170431,3990,54718,3776,32930,3500,21788,2151,18460,2083,3328,925,115713,3968,22814,2389,92899,4385,45321,3496,47578,3802,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,156644,2907,41008,3300,20766,2767,20242,2530,17560,2583,2682,925,115636,3277,19538,2351,96098,4015,52844,3754,43254,3344,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36369,1597,7785,1174,4570,1058,3215,798,2856,771,359,225,28584,1463,3328,1157,25256,1762,16091,1850,9165,1551,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27152,1381,9290,1231,6145,992,3145,824,2903,790,242,169,17862,1758,5707,1413,12155,1812,7414,1309,4741,1346,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,561668,7642,154293,7123,87643,6112,66650,4631,58807,4419,7843,1629,407375,8173,84995,6213,322380,8699,176379,7750,146001,7383,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,387513,6375,97995,5357,44079,3842,53916,4001,46558,3545,7358,1770,289518,6307,33887,4007,255631,7127,130902,7139,124729,7180,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,525853,7740,317636,8318,273150,8869,44486,3887,34773,3376,9713,1522,208217,9114,23938,2724,184279,9129,73135,5477,111144,7388,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21774,2979,6779,1836,5158,1594,1621,872,1517,854,104,105,14995,2472,3547,943,11448,2395,7146,1892,4302,1347,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,658038,5773,190017,6350,99046,4828,90971,4785,81366,4961,9605,1601,468021,6798,53874,4040,414147,7004,235333,7445,178814,7305,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
