GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001EA,C21001I_001MA,C21001I_002EA,C21001I_002MA,C21001I_003MA,C21001I_003EA,C21001I_004MA,C21001I_004EA,C21001I_005EA,C21001I_005MA,C21001I_006EA,C21001I_006MA,C21001I_007EA,C21001I_007MA,C21001I_008EA,C21001I_008MA,C21001I_009EA,C21001I_009MA,C21001I_010EA,C21001I_010MA,C21001I_011EA,C21001I_011MA,C21001I_012EA,C21001I_012MA,C21001I_013EA,C21001I_013MA,C21001I_014EA,C21001I_014MA,C21001I_015MA,C21001I_015EA,state
0400000US01,119839,1739,63727,1939,59752,1489,4661,1148,55091,1773,3975,1220,766,378,3209,1138,56112,2120,51909,2101,1322,861,50587,2165,4203,960,265,309,3938,949,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31447,1108,15278,1010,14184,1108,2428,773,11756,1119,1094,450,304,252,790,446,16169,620,14644,718,453,333,14191,826,1525,440,163,186,1362,460,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1474979,1266,736906,799,670431,991,35670,3269,634761,3313,66475,477,18590,1964,47885,2063,738073,979,655448,1048,4892,1223,650556,1626,82625,621,999,502,81626,849,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,134980,1105,70044,1693,66008,1677,3935,1363,62073,1991,4036,1118,603,339,3433,1117,64936,1473,60526,1691,638,543,59888,1816,4410,869,112,125,4298,860,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10735330,3483,5361984,3139,4885761,3122,150563,6971,4735198,7560,476223,1063,87928,4226,388295,4282,5373346,1561,4748658,1637,21392,2530,4727266,3116,624688,995,1916,607,622772,1197,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,807545,1235,407145,1647,371411,1782,21849,2356,349562,2849,35734,618,12425,1407,23309,1363,400400,1106,355671,1190,4259,1224,351412,1884,44729,1029,575,335,44154,1091,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,399388,439,196954,735,181597,773,6464,1345,175133,1520,15357,447,2055,628,13302,642,202434,551,181863,740,1588,815,180275,1104,20571,650,62,112,20509,646,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,57295,107,29578,107,27552,458,1226,741,26326,847,2026,453,770,484,1256,524,27717,8,25406,298,142,137,25264,330,2311,298,0,198,2311,298,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,54940,376,27584,351,25858,351,858,568,25000,706,1726,-555555555,260,210,1466,210,27356,154,24646,154,223,224,24423,259,2710,-555555555,0,208,2710,2,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,4052626,2177,1975180,2584,1710563,2830,75379,5579,1635184,5847,264617,1387,34162,3152,230455,3311,2077446,1849,1702445,1824,12918,2527,1689527,2721,375001,1909,1320,592,373681,2005,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,628119,3171,328290,3171,312120,3275,13602,2343,298518,3492,16170,1526,2980,847,13190,1651,299829,3300,279846,3328,4724,1356,275122,3297,19983,1619,159,212,19824,1590,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,86182,1243,41437,1190,38007,1233,5984,1180,32023,1598,3430,361,1600,423,1830,440,44745,474,40491,490,2122,828,38369,1002,4254,163,0,187,4254,163,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,131617,859,68419,1190,64283,1371,2889,1265,61394,1657,4136,836,610,347,3526,796,63198,1198,58843,1196,548,406,58295,1277,4355,878,0,201,4355,878,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
