GEO_ID,B07402_001E,B07402_001M,B07402_002E,B07402_002M,B07402_003E,B07402_003M,B07402_004E,B07402_004M,B07402_005E,B07402_005M,NAME,B07402_001MA,B07402_001EA,B07402_002EA,B07402_002MA,B07402_003MA,B07402_003EA,B07402_004MA,B07402_004EA,B07402_005EA,B07402_005MA,state
0400000US01,39.5,0.2,42.1,0.3,27.9,0.7,27.9,0.9,28.3,1.1,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34.9,0.4,38.0,0.6,27.4,0.8,27.9,3.3,28.4,2.1,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,38.2,0.2,40.8,0.2,28.0,0.4,28.4,1.0,30.5,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38.7,0.3,41.6,0.4,27.0,0.7,28.1,1.1,29.3,1.6,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37.1,0.1,38.8,0.1,29.5,0.2,29.0,0.4,29.2,0.5,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37.4,0.2,40.3,0.2,28.3,0.5,29.0,0.5,29.5,0.9,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41.4,0.3,43.8,0.2,30.0,0.7,28.5,1.2,26.8,0.6,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40.5,0.4,43.2,0.4,28.4,1.4,28.6,2.3,28.2,1.3,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34.7,0.3,36.6,0.3,29.9,0.8,-666666666.0,-222222222.0,29.4,0.9,District of Columbia,null,null,null,null,null,null,**,-,null,null,11
0400000US12,42.4,0.2,44.8,0.2,31.4,0.5,30.7,0.8,31.0,0.8,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,37.3,0.1,39.5,0.2,28.7,0.4,27.5,0.4,29.1,0.8,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,39.5,0.3,41.6,0.4,31.3,1.2,33.4,4.2,27.7,0.9,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36.8,0.3,39.9,0.4,26.2,0.8,24.2,1.3,26.6,1.2,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,38.4,0.2,40.8,0.2,29.0,0.3,27.6,0.4,27.7,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,38.3,0.2,40.9,0.2,26.4,0.4,26.6,0.5,27.6,0.8,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,38.9,0.2,42.1,0.3,26.2,0.5,24.7,0.7,27.7,0.7,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,37.1,0.2,40.3,0.3,26.6,0.9,25.1,0.8,27.3,0.6,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39.5,0.2,42.4,0.3,27.6,0.4,27.0,0.7,27.9,1.1,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37.1,0.2,39.5,0.2,27.5,0.7,26.7,0.7,29.1,0.9,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,45.1,0.2,47.4,0.4,29.9,1.3,30.0,2.0,27.0,2.6,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,39.3,0.2,41.5,0.3,30.0,0.5,29.5,1.1,29.5,0.7,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,40.2,0.2,42.7,0.2,29.9,0.5,28.1,0.7,27.7,0.6,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,40.5,0.2,43.4,0.2,27.7,0.4,27.3,0.4,29.1,1.3,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38.4,0.2,41.2,0.2,28.6,0.5,26.8,0.5,25.9,1.0,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,37.8,0.2,40.5,0.3,26.3,0.8,25.6,0.8,28.0,1.1,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,39.1,0.2,42.3,0.3,27.1,0.5,27.5,0.6,27.6,0.6,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,40.6,0.4,43.6,0.4,27.4,1.1,27.1,1.6,28.0,2.0,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,37.2,0.2,40.1,0.3,26.1,0.5,25.9,1.1,29.1,2.3,Nebraska,null,null,null,null,null,null,null,null,null,null,31
