GEO_ID,B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,NAME,B14007H_001MA,B14007H_001EA,B14007H_002MA,B14007H_002EA,B14007H_003MA,B14007H_003EA,B14007H_004MA,B14007H_004EA,B14007H_005EA,B14007H_005MA,B14007H_006MA,B14007H_006EA,B14007H_007MA,B14007H_007EA,B14007H_008MA,B14007H_008EA,B14007H_009MA,B14007H_009EA,B14007H_010EA,B14007H_010MA,B14007H_011EA,B14007H_011MA,B14007H_012EA,B14007H_012MA,B14007H_013EA,B14007H_013MA,B14007H_014MA,B14007H_014EA,B14007H_015MA,B14007H_015EA,B14007H_016EA,B14007H_016MA,B14007H_017EA,B14007H_017MA,B14007H_018EA,B14007H_018MA,B14007H_019MA,B14007H_019EA,state
0400000US01,3093956,3719,695134,7746,34414,2793,34232,2656,33574,2920,33560,2820,37670,3398,33077,3259,40460,3687,35042,2752,39047,3130,36486,3153,38207,3014,35760,2340,38389,2933,38921,3474,156301,6802,29994,2935,2398822,8379,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,431676,1438,96562,3183,3952,943,4574,1002,5000,1088,4429,818,5636,902,5130,867,4092,862,4771,897,6097,979,4245,846,5160,922,5736,925,3625,750,5412,1194,21664,2557,7039,1213,335114,3117,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3740800,4719,752205,8405,40987,2965,31343,2628,32194,3103,30926,2576,37285,2935,36306,3066,34539,2630,39794,2703,39200,2619,35970,2768,37790,2853,37989,2860,34259,2613,42100,3391,193118,6642,48405,3601,2988595,8550,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2105480,3440,474111,5863,28602,2838,24987,2800,23142,2432,22750,2610,28686,2552,25327,2356,25074,2297,22634,2245,24883,2522,26194,2207,25153,2260,26035,1988,24543,2017,27384,2611,98237,5159,20480,2276,1631369,5755,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14242727,9770,2912004,17195,176831,5945,125453,5660,114926,5756,119270,5361,122113,4973,125312,5222,131975,5727,128200,5221,129102,5283,129019,5556,136065,6322,134869,4790,134063,5322,153284,5676,826387,14315,225135,8173,11330723,18127,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3709479,4242,830262,8894,52116,3025,39640,2655,34427,3093,35542,2517,40593,2827,42569,2597,39217,2592,43435,2772,38110,2613,44045,3332,41643,2998,43412,2700,38991,2287,40439,3548,199036,8274,57047,3164,2879217,8427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2337831,3642,519388,8233,29917,2082,17291,2144,19631,2501,19978,2129,21156,1994,23966,2175,24497,1809,24671,2139,24814,2551,28281,2742,26652,2258,28142,2177,28500,2173,30905,2851,131892,5947,39095,3553,1818443,7581,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,581275,1597,119270,3039,7021,1328,5088,1443,5876,1256,5443,1169,4944,946,4801,1008,5820,1210,5461,1091,6117,998,7318,1541,5383,1246,6078,1097,6364,1396,6013,1207,29418,2617,8125,1543,462005,3194,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,245454,1474,51345,2840,4630,875,2106,657,1039,423,1409,461,972,374,1282,380,1043,373,877,345,1012,345,904,363,721,336,933,375,788,327,449,316,19859,1558,13321,2155,194109,2694,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11012405,10748,2041921,16865,124158,6422,87863,4921,92905,6123,99211,5001,97403,5492,95489,5553,101382,5327,99789,4579,98302,5404,106000,6211,99622,4564,106823,4818,103293,4968,106316,5254,503736,13075,119629,6312,8970484,18535,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
