GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001EA,B12002D_001MA,B12002D_002EA,B12002D_002MA,B12002D_003MA,B12002D_003EA,B12002D_004MA,B12002D_004EA,B12002D_005EA,B12002D_005MA,B12002D_006EA,B12002D_006MA,B12002D_007EA,B12002D_007MA,B12002D_008MA,B12002D_008EA,B12002D_009MA,B12002D_009EA,B12002D_010MA,B12002D_010EA,B12002D_011MA,B12002D_011EA,B12002D_012EA,B12002D_012MA,B12002D_013EA,B12002D_013MA,state
0400000US01,54660,2347,26315,1366,11013,1505,13876,1433,552,380,42,73,832,465,28345,1897,7862,1231,16986,1486,209,263,1121,585,2167,933,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39781,1528,18410,1004,6962,1024,9446,1132,128,161,271,267,1603,592,21371,1048,6191,999,11782,1184,284,227,1589,522,1525,609,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,195533,3354,90473,2193,33843,1969,50397,2152,625,377,1256,553,4352,1154,105060,2104,25446,2142,62319,2528,1178,539,7648,1032,8469,1539,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37489,2235,18324,1485,6283,1267,10606,1419,45,82,101,162,1289,693,19165,1426,4637,979,11615,1151,367,361,1234,587,1312,567,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4906597,14726,2283724,8327,832466,11070,1289310,11286,23664,2735,41332,3784,96952,5380,2622873,9353,726221,9356,1450122,11977,39558,3378,216419,6432,190553,7089,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,146296,3394,67809,2258,26394,2048,37062,2089,557,340,1164,521,2632,846,78487,2325,20301,1736,46017,2239,1557,597,4658,955,5954,949,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,137535,2142,64061,1657,20636,1949,40678,2107,268,287,635,311,1844,717,73474,1664,20151,2074,44959,1822,569,289,3804,738,3991,946,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,31911,1498,14993,873,4643,741,9772,895,72,87,177,286,329,264,16918,928,4235,1072,10884,804,583,582,679,467,537,305,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26085,1249,10689,706,5926,936,4477,763,0,208,0,208,286,235,15396,914,7769,1041,6058,816,199,194,491,315,879,481,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,497837,6583,223901,4531,78372,4458,128702,4132,2163,841,3004,1086,11660,2016,273936,4088,67688,3805,162202,5082,3463,1147,18869,2194,21714,2537,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,335782,4740,159166,2998,54074,2896,95906,3636,733,532,1803,687,6650,1694,176616,3328,45737,3420,110085,3817,2278,920,12073,2123,6443,1343,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,484818,6306,221549,4182,78813,4004,117389,4016,1288,632,7802,1144,16257,1810,263269,4239,63633,3204,136550,4675,2659,833,35532,2538,24895,2702,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18854,2238,7796,1429,2808,858,4671,1128,0,201,0,201,317,273,11058,1383,2685,815,6550,1096,0,201,1045,735,778,468,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,581569,4433,276577,2837,91918,3163,170371,3553,1624,548,5149,1789,7515,1472,304992,3204,82494,3565,184860,4482,2782,753,18579,2228,16277,2137,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
