GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001EA,B08007_001MA,B08007_002MA,B08007_002EA,B08007_003MA,B08007_003EA,B08007_004MA,B08007_004EA,B08007_005MA,B08007_005EA,B08007_006EA,B08007_006MA,B08007_007MA,B08007_007EA,B08007_008MA,B08007_008EA,B08007_009MA,B08007_009EA,B08007_010MA,B08007_010EA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013EA,B08007_013MA,B08007_014MA,B08007_014EA,B08007_015MA,B08007_015EA,state
0400000US01,2041619,17993,1953084,17592,1484408,16190,468676,12593,88535,5013,1068859,11296,1012987,11181,746489,10240,266498,8326,55872,4064,972760,11973,940097,11686,737919,12285,202178,8366,32663,3083,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,351282,6043,349260,5864,326943,5551,22317,2325,2022,619,193709,4603,192360,4611,176262,4445,16098,1783,1349,509,157573,3426,156900,3451,150681,3501,6219,1450,673,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3086150,17384,3038111,17242,2922774,18088,115337,5598,48039,3651,1661218,12054,1630196,11903,1561668,12183,68528,4166,31022,2841,1424932,15853,1407915,15259,1361106,14764,46809,3710,17017,2296,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1281666,13086,1236000,12625,959108,13575,276892,7954,45666,3404,667989,9599,641613,9270,486777,9931,154836,5362,26376,2412,613677,8779,594387,8433,472331,8574,122056,5641,19290,2228,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18320629,48194,18236956,48508,15083670,47726,3153286,27882,83673,4934,9994178,30940,9936989,30963,7999785,31975,1937204,19843,57189,4000,8326451,32140,8299967,32133,7083885,31812,1216082,19311,26484,2444,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2886978,17103,2852615,17481,1881564,17288,971051,12987,34363,3455,1561365,10740,1537979,11129,979686,12544,558293,10195,23386,2380,1325613,11102,1314636,11185,901878,10837,412758,8194,10977,2025,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1778000,14686,1648434,15096,1297309,15648,351125,9109,129566,5515,913679,9217,830985,10344,640298,10242,190687,6983,82694,4636,864321,11609,817449,11419,657011,12341,160438,6025,46872,3423,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,430780,6838,368992,6288,335803,6856,33189,3596,61788,4305,222295,3947,183720,3882,165552,4514,18168,2607,38575,3087,208485,4743,185272,4640,170251,4708,15021,2330,23213,2566,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,375380,6102,285786,6174,285786,6174,0,208,89594,4628,182905,3943,136874,3687,136874,3687,0,208,46031,3073,192475,4975,148912,5231,148912,5231,0,208,43563,3093,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9355081,35950,9235565,37138,7561789,37569,1673776,23204,119516,6830,4926482,21728,4841713,22102,3884462,24570,957251,17974,84769,5553,4428599,21669,4393852,21655,3677327,23122,716525,16872,34747,3413,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4782581,26117,4659283,25468,2807340,26064,1851943,22284,123298,5456,2508113,15108,2431362,14710,1415765,17185,1015597,15428,76751,3948,2274468,18559,2227921,18823,1391575,18505,836346,14665,46547,3433,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,703939,7810,701333,7907,698829,7789,2504,794,2606,806,380475,5235,378498,5372,377014,5330,1484,497,1977,723,323464,4881,322835,4927,321815,4927,1020,574,629,375,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,773999,10081,728500,10584,603169,10232,125331,5231,45499,3717,420259,7352,392135,7516,315257,7420,76878,3696,28124,3133,353740,7185,336365,7039,287912,6597,48453,3412,17375,1894,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6129046,25518,5909065,23737,4469481,25706,1439584,15862,219981,7772,3215846,16358,3083482,16108,2269326,18199,814156,11913,132364,5737,2913200,17733,2825583,17167,2200155,16311,625428,10633,87617,4613,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3126324,19561,2958500,19081,2097478,19875,861022,13022,167824,6578,1646586,12511,1540771,12535,1049386,13522,491385,9499,105815,4644,1479738,13463,1417729,13176,1048092,13681,369637,8891,62009,3786,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1597499,9307,1524967,9302,1193322,10649,331645,7066,72532,3827,838538,6162,796194,5949,615093,6574,181101,4710,42344,2801,758961,6561,728773,6529,578229,7603,150544,5115,30188,2374,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1431057,8730,1330601,10261,1088122,10228,242479,6621,100456,4873,770877,6920,709007,7677,570203,7791,138804,5017,61870,3670,660180,6870,621594,7389,517919,7503,103675,4463,38586,2578,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1948608,13560,1824960,14484,1318694,14110,506266,10072,123648,5512,1023227,9050,947365,9996,658349,11254,289016,7299,75862,4148,925381,10594,877595,10800,660345,9241,217250,6767,47786,3200,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2003496,18402,1959496,18468,1391973,16389,567523,13337,44000,3886,1032110,12456,999277,12422,679566,10512,319711,8161,32833,3173,971386,11897,960219,11656,712407,11072,247812,9355,11167,1993,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,657960,7348,627480,7613,497447,8359,130033,5737,30480,2912,331796,4845,314284,4761,244272,5482,70012,4344,17512,2011,326164,5576,313196,6075,253175,6035,60021,3221,12968,1779,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3061440,14044,2555118,17834,1654721,18792,900397,14795,506322,10700,1569451,10171,1292425,10469,806124,12332,486301,10570,277026,7354,1491989,12782,1262693,13931,848597,12118,414096,9007,229296,7914,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,3526167,17582,3379706,18834,2302170,19579,1077536,17565,146461,6634,1802506,11530,1716205,11878,1130344,12578,585861,12210,86301,4748,1723661,11382,1663501,11658,1171826,12426,491675,10621,60160,3950,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
