GEO_ID,B25093_001E,B25093_001M,B25093_002E,B25093_002M,B25093_003E,B25093_003M,B25093_004E,B25093_004M,B25093_005E,B25093_005M,B25093_006E,B25093_006M,B25093_007E,B25093_007M,B25093_008E,B25093_008M,B25093_009E,B25093_009M,B25093_010E,B25093_010M,B25093_011E,B25093_011M,B25093_012E,B25093_012M,B25093_013E,B25093_013M,B25093_014E,B25093_014M,B25093_015E,B25093_015M,B25093_016E,B25093_016M,B25093_017E,B25093_017M,B25093_018E,B25093_018M,B25093_019E,B25093_019M,B25093_020E,B25093_020M,B25093_021E,B25093_021M,B25093_022E,B25093_022M,B25093_023E,B25093_023M,B25093_024E,B25093_024M,B25093_025E,B25093_025M,B25093_026E,B25093_026M,B25093_027E,B25093_027M,B25093_028E,B25093_028M,B25093_029E,B25093_029M,NAME,B25093_001MA,B25093_001EA,B25093_002MA,B25093_002EA,B25093_003MA,B25093_003EA,B25093_004EA,B25093_004MA,B25093_005EA,B25093_005MA,B25093_006EA,B25093_006MA,B25093_007MA,B25093_007EA,B25093_008MA,B25093_008EA,B25093_009EA,B25093_009MA,B25093_010EA,B25093_010MA,B25093_011EA,B25093_011MA,B25093_012MA,B25093_012EA,B25093_013MA,B25093_013EA,B25093_014MA,B25093_014EA,B25093_015EA,B25093_015MA,B25093_016EA,B25093_016MA,B25093_017EA,B25093_017MA,B25093_018MA,B25093_018EA,B25093_019MA,B25093_019EA,B25093_020MA,B25093_020EA,B25093_021MA,B25093_021EA,B25093_022EA,B25093_022MA,B25093_023MA,B25093_023EA,B25093_024MA,B25093_024EA,B25093_025EA,B25093_025MA,B25093_026MA,B25093_026EA,B25093_027EA,B25093_027MA,B25093_028EA,B25093_028MA,B25093_029MA,B25093_029EA,state
0400000US01,1253199,12678,13971,2320,7055,1713,1507,649,1023,507,852,492,2930,1003,604,469,114820,4716,67920,4017,16439,2046,9018,1607,5884,1637,13159,2026,2400,954,708141,10380,467036,8945,77633,4290,42272,3091,26935,2828,86718,4755,7547,1394,416267,6478,272460,5738,36715,2355,25995,2248,18657,1886,58972,3364,3468,787,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,1148,463,255,186,156,185,73,86,304,274,312,205,48,57,16509,2048,7567,1367,2944,753,1076,436,1560,669,3307,1059,55,71,102054,2711,55187,2442,14720,1451,8304,1470,5777,1336,17381,1775,685,251,39633,1731,23956,1729,4146,889,2698,710,2087,501,6612,1049,134,120,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,14979,2277,5548,1361,2102,810,1337,620,672,381,4934,1278,386,272,148118,5610,73560,4130,25800,2674,14782,2045,10134,1774,22090,2312,1752,774,900613,9489,523734,9872,114461,5238,69768,4113,46669,3410,133754,5419,12227,1792,588611,6939,342349,6486,55551,3189,39984,3004,30027,2442,112866,5223,7834,1321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,10412,1829,5862,1404,1511,787,986,504,283,213,1469,714,301,425,73814,4662,45773,3451,10522,1756,7256,1653,3004,1023,6889,1389,370,305,418220,7347,284563,6957,45663,3530,21987,2464,15621,2204,46087,3279,4299,873,249953,4842,166938,4482,23221,2196,14423,1659,9936,1568,33707,2551,1728,595,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,33363,3220,10494,1856,3377,895,2607,776,2893,956,12841,1997,1151,519,521168,9391,190459,5703,78206,4583,68043,4719,52873,4204,126910,5302,4677,1133,4309053,24324,1893905,17882,615769,10659,463150,11436,315241,8772,985542,15993,35446,3335,2261506,14249,1096681,12002,221747,6049,175967,5909,131732,5013,617225,10791,18154,1793,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,12597,1718,4489,1290,1845,730,1475,806,1364,612,3318,941,106,114,151352,5576,70108,4204,26739,2372,17342,2162,12268,1796,24167,2081,728,575,845202,9393,472655,7960,120236,4230,75102,3962,48208,3319,121439,5528,7562,1492,385673,4563,217951,4847,33944,2735,28777,2506,20013,1856,82122,3662,2866,852,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,3603,1034,1295,658,614,338,534,423,54,91,1106,564,0,207,70482,3712,29188,2465,14329,1917,9412,1406,5205,1154,11899,1820,449,425,549855,6888,279654,6477,82844,4317,52358,3653,35491,3286,96958,4584,2550,806,274294,4451,121722,4029,29854,2359,24365,2301,16029,1684,80158,3666,2166,875,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,1684,711,649,372,255,321,518,404,6,10,256,300,0,198,22298,2073,10606,1600,2822,875,3606,1186,1344,595,3774,1170,146,178,144386,4668,79456,3638,19977,2163,10281,1372,7424,1379,24373,2568,2875,962,85580,2371,51680,2215,6699,1187,5504,1143,4959,1126,15171,1738,1567,798,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,257,202,75,116,0,208,39,68,0,208,143,157,0,208,15137,1601,8142,1265,2501,759,1264,513,1020,399,2157,694,53,88,69750,2909,36529,2302,9674,1448,7891,1267,3469,825,11557,1519,630,347,33661,1757,19885,1764,2780,803,2316,906,1890,632,6682,1073,108,107,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,30427,2869,12339,2069,2258,666,3203,957,2084,753,9539,1857,1004,478,329762,7869,166532,6761,48977,3510,35216,2925,21558,2886,54453,4611,3026,794,2642208,19496,1432928,17924,333802,9186,213857,8359,146286,6518,479333,11219,36002,3586,2007790,13507,1087132,12099,197984,7459,144431,5727,109240,5325,441681,10396,27322,2495,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2354922,19925,19006,2471,8713,1481,2082,698,2468,1261,1015,656,3842,1017,886,508,215772,8262,118671,5880,32564,3224,20645,2484,11347,2006,30456,3348,2089,786,1438322,16595,886032,15852,170516,6462,102760,6145,62358,4359,200444,8004,16212,2375,681822,7374,399132,7516,69030,4511,45617,3201,31201,2904,128903,5094,7939,1616,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,268078,4714,869,419,117,103,0,187,0,187,71,124,575,326,106,151,15578,1774,4840,922,2570,767,1856,796,1109,439,4942,1131,261,174,143649,4005,66785,3235,18939,2151,13661,1684,11237,1794,31160,2927,1867,694,107982,2656,60191,2382,9934,1429,8136,1203,5751,1077,23227,1937,743,385,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,435493,6933,4192,935,1624,659,683,373,801,449,168,195,664,406,252,275,45999,2955,24394,2398,8621,1595,3579,1129,3941,1223,5210,1137,254,239,248636,5990,142826,5172,31714,2492,23419,2379,14828,2467,32877,3217,2972,1004,136666,3530,82065,3638,14464,2379,8592,1407,6927,1136,23214,2434,1404,690,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
