GEO_ID,B17004_001E,B17004_001M,B17004_002E,B17004_002M,B17004_003E,B17004_003M,B17004_004E,B17004_004M,B17004_005E,B17004_005M,B17004_006E,B17004_006M,B17004_007E,B17004_007M,B17004_008E,B17004_008M,B17004_009E,B17004_009M,B17004_010E,B17004_010M,B17004_011E,B17004_011M,B17004_012E,B17004_012M,B17004_013E,B17004_013M,B17004_014E,B17004_014M,B17004_015E,B17004_015M,B17004_016E,B17004_016M,B17004_017E,B17004_017M,B17004_018E,B17004_018M,B17004_019E,B17004_019M,NAME,B17004_001EA,B17004_001MA,B17004_002EA,B17004_002MA,B17004_003MA,B17004_003EA,B17004_004MA,B17004_004EA,B17004_005MA,B17004_005EA,B17004_006EA,B17004_006MA,B17004_007EA,B17004_007MA,B17004_008EA,B17004_008MA,B17004_009MA,B17004_009EA,B17004_010MA,B17004_010EA,B17004_011MA,B17004_011EA,B17004_012EA,B17004_012MA,B17004_013EA,B17004_013MA,B17004_014EA,B17004_014MA,B17004_015EA,B17004_015MA,B17004_016EA,B17004_016MA,B17004_017EA,B17004_017MA,B17004_018EA,B17004_018MA,B17004_019MA,B17004_019EA,state
0400000US01,3798508,4467,560343,16988,220718,9065,21883,2743,57205,4379,141630,7930,339625,10644,26696,2898,90600,5973,222329,8613,3238165,17267,1579750,9310,837303,9972,264172,7953,478275,10664,1658415,11492,638341,12413,327287,10231,692787,9959,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,558665,1294,55563,4330,28270,2587,2454,705,11548,1643,14268,1979,27293,2805,1723,866,10588,1810,14982,1851,503102,4422,262566,3004,137955,5294,69167,3650,55444,3543,240536,3243,99840,2853,68204,3462,72492,3697,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5440690,4791,719622,19528,321324,10092,42898,3991,102662,5071,175764,7851,398298,12776,32348,3342,107494,5933,258456,10088,4721068,19426,2335930,11033,1239164,11129,433889,11437,662877,9388,2385138,12701,920412,14636,530980,9937,933746,9758,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2298216,3132,336630,11339,143066,6864,17759,2140,39061,3732,86246,5492,193564,7044,17758,2403,49003,4005,126803,6071,1961586,11779,967276,8008,515953,8812,162710,6440,288613,7012,994310,7485,414590,8820,198247,7222,381473,7420,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30890520,11129,3716292,49910,1597480,26288,210950,8702,486558,15067,899972,17826,2118812,30906,131417,6343,607617,14687,1379778,23804,27174228,50988,13548299,28311,7415774,32687,2853014,30651,3279511,22804,13625929,30597,5163543,33434,3474297,28787,4988089,28096,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4383662,4588,431906,12157,190394,7450,22081,2615,76332,4442,91981,5644,241512,8554,21161,2716,93189,4716,127162,6022,3951756,12273,1986112,8558,1194695,11895,407805,9271,383612,8066,1965644,8615,834789,10609,524977,10280,605878,10758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2839951,3245,251706,12533,105223,5759,6180,1380,32954,3182,66089,4271,146483,8889,4876,1196,46454,3863,95153,7320,2588245,12607,1260704,7002,693728,9461,268655,7436,298321,6693,1327541,9035,537089,10749,359887,8869,430565,7508,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,759386,1690,93376,6554,38382,3305,3682,1220,9117,1423,25583,2746,54994,4603,3686,1068,13905,2320,37403,3659,666010,6467,323153,3388,170321,4318,60876,3430,91956,3625,342857,4728,139284,4726,71623,4195,131950,4862,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,547095,1114,81024,5262,32025,3366,1599,616,7361,1541,23065,3560,48999,4235,1942,677,16838,2254,30219,3535,466071,5368,223160,3445,144597,3757,40491,3194,38072,2610,242911,4546,141728,4474,46265,3712,54918,3599,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16923186,7507,2133848,40671,909225,20406,102726,5257,243668,10888,562831,15500,1224623,26619,92476,5122,329338,10586,802809,23166,14789338,41712,7223161,22060,3705383,26437,1319265,23041,2198513,18561,7566177,27276,2912885,22319,1604059,20886,3049233,22426,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
