GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001EA,B13010_001MA,B13010_002EA,B13010_002MA,B13010_003EA,B13010_003MA,B13010_004EA,B13010_004MA,B13010_005MA,B13010_005EA,B13010_006EA,B13010_006MA,B13010_007MA,B13010_007EA,B13010_008EA,B13010_008MA,B13010_009EA,B13010_009MA,B13010_010MA,B13010_010EA,B13010_011MA,B13010_011EA,B13010_012MA,B13010_012EA,B13010_013MA,B13010_013EA,B13010_014EA,B13010_014MA,B13010_015EA,B13010_015MA,B13010_016MA,B13010_016EA,B13010_017EA,B13010_017MA,B13010_018MA,B13010_018EA,B13010_019EA,B13010_019MA,state
0400000US01,1115997,5284,58937,3599,33638,3053,4470,915,7978,1712,21190,2554,25299,2919,13375,2466,4970,1277,6954,1560,1057060,5808,448086,8573,47016,3689,69783,4948,331287,8683,608974,9513,160755,8914,143414,6728,304805,9226,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,169450,2232,9961,1681,7877,1630,845,545,1319,510,5713,1495,2084,578,973,424,535,304,576,293,159489,2592,75586,3501,4096,871,8699,1783,62791,2800,83903,3709,13678,2011,16114,2426,54111,3515,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1577711,4690,88577,4390,55973,3417,6724,1463,13368,1874,35881,2754,32604,3178,13330,1980,7971,1629,11303,2372,1489134,6310,616469,11567,63031,4176,100765,5809,452673,8295,872665,10909,186637,7733,189897,7761,496131,11020,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,667719,4111,40689,3582,25171,2855,3685,921,6996,1603,14490,2114,15518,2280,8765,1847,3078,1124,3675,1200,627030,5201,296902,7200,31131,3171,55616,4274,210155,7286,330128,8175,84584,4724,91228,5055,154316,6313,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9536557,9353,468077,11431,318082,8356,38115,3111,54492,3909,225475,7373,149995,7710,59094,4297,36918,3839,53983,4368,9068480,16314,3848258,28596,345615,11447,584429,14951,2918214,25056,5220222,26975,1000889,18917,1011117,22603,3208216,27067,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1330120,4921,70761,3898,52358,3443,4517,1235,9169,1802,38672,2843,18403,2393,8362,1654,2960,908,7081,1535,1259359,5859,581808,8796,32853,3136,71112,4550,477843,8521,677551,9256,116431,5449,128415,6164,432705,9267,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,795158,3164,33928,3311,23763,2377,1436,583,3909,1382,18418,1649,10165,2012,3822,1086,1808,744,4535,1280,761230,4425,302753,6553,15601,2043,27922,2859,259230,6144,458477,6530,71832,5688,72990,5027,313655,7568,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,211097,1843,9580,1613,6113,1293,918,564,1375,704,3820,957,3467,1027,1553,690,632,349,1282,711,201517,2230,78459,3550,6844,1342,8632,1642,62983,3607,123058,3892,25407,2932,21451,3190,76200,4352,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,193579,1852,9007,1357,5198,1055,606,507,469,343,4123,881,3809,1150,1810,880,683,454,1316,606,184572,2359,50529,3033,4247,1260,3739,1163,42543,2645,134043,3615,27178,3271,15214,2438,91651,4310,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4585706,9830,229667,8937,139579,6800,19629,2451,34509,3535,85441,4809,90088,7023,37235,4520,22993,3447,29860,3422,4356039,13161,1770733,22828,167922,7927,306854,10369,1295957,20043,2585306,21424,505738,17315,621359,18054,1458209,20610,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2536244,7778,140684,8193,85155,5181,12486,2237,16366,2596,56303,3898,55529,5932,25517,3735,15935,3187,14077,2622,2395560,10746,1021420,16634,88280,5870,157776,7067,775364,14378,1374140,17832,300071,12171,314705,13563,759364,17190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,312670,2250,19515,1970,14358,1880,1550,538,1855,712,10953,1662,5157,1247,1258,554,839,545,3060,885,293155,2759,133352,4135,6580,1323,13523,1521,113249,4497,159803,3601,24387,2401,22562,2430,112854,4351,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,385245,3058,24723,2550,18635,2141,2976,978,4776,1255,10883,1697,6088,1305,3713,1082,1486,668,889,457,360522,4072,180424,5236,15809,2256,32281,2587,132334,5392,180098,5559,39171,4051,44363,4381,96564,5419,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2979373,6207,153193,6289,99720,4540,10155,1859,15129,1832,74436,3637,53473,3953,24205,2934,11389,2029,17879,1925,2826180,8959,1185222,12838,78081,4921,151316,7089,955825,11156,1640958,13662,332545,10403,313569,10892,994844,14820,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1507650,5926,77029,4435,48294,3585,4263,1128,9313,1421,34718,2972,28735,2655,13089,1868,6207,1289,9439,1635,1430621,8218,644118,9544,49074,3957,86851,5020,508193,9711,786503,11794,184497,9116,176084,8593,425922,10521,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,678898,3441,41106,3080,30168,2603,3075,871,6135,1058,20958,2067,10938,1827,5922,1495,2402,615,2614,801,637792,4725,298050,5981,15404,1957,33073,2565,249573,5631,339742,6414,71752,4476,77478,4872,190512,5746,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
