GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003MA,B27022_003EA,B27022_004EA,B27022_004MA,B27022_005EA,B27022_005MA,B27022_006MA,B27022_006EA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009EA,B27022_009MA,B27022_010EA,B27022_010MA,B27022_011MA,B27022_011EA,B27022_012EA,B27022_012MA,B27022_013MA,B27022_013EA,B27022_014MA,B27022_014EA,B27022_015EA,B27022_015MA,state
0400000US01,456429,8213,226085,5035,79085,5258,71360,4989,7725,1610,147000,5542,104201,4965,42799,3732,230344,6195,105669,6119,94565,5698,11104,1959,124675,5481,97137,5156,27538,3243,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,65653,3415,33050,2664,9455,1673,7558,1612,1897,913,23595,2382,17486,2188,6109,1277,32603,1550,11334,1529,9520,1318,1814,683,21269,1598,16419,1542,4850,1036,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,658720,6992,333965,5668,120585,5461,106515,5275,14070,2263,213380,6250,167844,5999,45536,4346,324755,4964,129882,5277,114774,5722,15108,2349,194873,5979,161127,5399,33746,3583,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,278804,5302,141415,3978,47939,4111,42913,3852,5026,1323,93476,4732,75101,4202,18375,2370,137389,3437,52354,3662,48130,3350,4224,1082,85035,4094,74322,3555,10713,2298,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3829960,16518,1946447,12636,855425,14622,786979,14432,68446,5597,1091022,16228,915860,16777,175162,9328,1883513,12504,945345,13214,873676,12143,71669,5360,938168,14488,844279,15196,93889,5319,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,516261,8275,263630,5590,98984,5186,94305,4875,4679,1385,164646,5451,139343,5117,25303,2968,252631,4755,104368,5386,96864,4972,7504,1626,148263,6120,131125,5892,17138,2442,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,336766,5274,168094,3738,76822,4109,72025,4005,4797,1367,91272,4759,79601,4914,11671,2281,168672,3590,88608,4181,84128,4116,4480,1141,80064,3972,74236,3880,5828,1345,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81383,3166,39026,2163,15102,1733,14271,1733,831,505,23924,2268,21449,2071,2475,1006,42357,1944,21573,1998,21169,1962,404,315,20784,2228,17194,2294,3590,1241,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,82616,2441,37247,1846,16011,1915,15667,1950,344,358,21236,1990,19268,2092,1968,1084,45369,1865,23034,2191,22584,2144,450,364,22335,2424,21633,2513,702,471,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1762279,14003,893939,9738,360848,11195,306043,10116,54805,5216,533091,13232,378703,11814,154388,9197,868340,9975,402689,10192,342880,9472,59809,5310,465651,10789,355148,11186,110503,6258,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,969328,9884,480924,8165,174669,7705,148209,6559,26460,4002,306255,9642,214518,8920,91737,5635,488404,6884,212433,7688,182899,6957,29534,3549,275971,9839,207202,9881,68769,5917,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,108840,2815,53933,2128,19951,2008,19333,2031,618,431,33982,2632,31083,2534,2899,906,54907,2050,21658,2244,20398,2146,1260,728,33249,2509,30648,2343,2601,993,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,153693,4594,79923,3084,28977,2590,26558,2682,2419,793,50946,3287,39685,3456,11261,1784,73770,2740,28128,2774,25132,2727,2996,1093,45642,3018,36761,2893,8881,1777,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1176832,8898,589816,5768,233974,7233,214780,6621,19194,2828,355842,7956,298364,7340,57478,4572,587016,6657,268084,7996,247565,7589,20519,3241,318932,9430,283703,8790,35229,3816,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,641517,6725,323518,4534,127558,5433,117779,5143,9779,2166,195960,5784,162201,5737,33759,2957,317999,5526,136592,5507,128240,5409,8352,1674,181407,6436,153694,6338,27713,3257,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,307023,5461,154862,3647,65518,3616,62517,3666,3001,1259,89344,3540,78990,4001,10354,1725,152161,3448,71597,3950,68658,3889,2939,1226,80564,4049,74407,3774,6157,1441,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,279696,5361,142119,3772,57278,3696,52257,3522,5021,1356,84841,4125,67915,3817,16926,2726,137577,3454,63738,3318,57859,3118,5879,1088,73839,3697,62835,3199,11004,1684,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,404531,5444,206944,4677,67347,3763,62825,3648,4522,1094,139597,5106,121935,5208,17662,2296,197587,3519,83385,4044,79576,4115,3809,1043,114202,4128,105416,3891,8786,1351,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,440080,7592,218928,5131,77752,4557,70585,5039,7167,1711,141176,5653,111056,5371,30120,3493,221152,5138,94566,4593,87308,4759,7258,1470,126586,6159,107614,5909,18972,3198,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,105617,2729,54440,1824,19884,2099,18361,2113,1523,608,34556,2207,27896,2227,6660,1436,51177,2107,25069,2067,23363,2041,1706,540,26108,2229,20701,2141,5407,1427,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,532986,6644,265347,4836,104957,4216,99233,4289,5724,1182,160390,5456,139408,5116,20982,2442,267639,4603,127603,4952,121845,4500,5758,1407,140036,4407,125722,4373,14314,2381,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,685474,6400,344997,3929,164897,5201,159950,5156,4947,1166,180100,5753,165242,5602,14858,2219,340477,4602,191320,5496,185467,5435,5853,1428,149157,5260,142386,4850,6771,1814,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,951672,7336,487511,5841,202136,6262,191027,6203,11109,1715,285375,7660,244606,7940,40769,3583,464161,5678,218488,5873,207559,6150,10929,2181,245673,6641,222401,6793,23272,2629,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,490213,5913,250548,4351,98904,4195,93515,4177,5389,1399,151644,4565,137889,4527,13755,1882,239665,4000,108129,4152,103394,4117,4735,1251,131536,4156,123943,4093,7593,1250,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,289859,6640,143366,4810,52747,3320,43219,3438,9528,1946,90619,4514,60607,4449,30012,3680,146493,4844,67149,4488,57632,4108,9517,1694,79344,4160,57397,4224,21947,2927,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,549904,7667,279587,5691,99667,5167,91480,4934,8187,1426,179920,6345,136124,5389,43796,4196,270317,4424,119780,5382,108610,5202,11170,1910,150537,5060,122982,5165,27555,2753,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
