GEO_ID,B14007G_001E,B14007G_001M,B14007G_002E,B14007G_002M,B14007G_003E,B14007G_003M,B14007G_004E,B14007G_004M,B14007G_005E,B14007G_005M,B14007G_006E,B14007G_006M,B14007G_007E,B14007G_007M,B14007G_008E,B14007G_008M,B14007G_009E,B14007G_009M,B14007G_010E,B14007G_010M,B14007G_011E,B14007G_011M,B14007G_012E,B14007G_012M,B14007G_013E,B14007G_013M,B14007G_014E,B14007G_014M,B14007G_015E,B14007G_015M,B14007G_016E,B14007G_016M,B14007G_017E,B14007G_017M,B14007G_018E,B14007G_018M,B14007G_019E,B14007G_019M,NAME,B14007G_001MA,B14007G_001EA,B14007G_002MA,B14007G_002EA,B14007G_003EA,B14007G_003MA,B14007G_004EA,B14007G_004MA,B14007G_005MA,B14007G_005EA,B14007G_006MA,B14007G_006EA,B14007G_007MA,B14007G_007EA,B14007G_008EA,B14007G_008MA,B14007G_009EA,B14007G_009MA,B14007G_010MA,B14007G_010EA,B14007G_011MA,B14007G_011EA,B14007G_012MA,B14007G_012EA,B14007G_013EA,B14007G_013MA,B14007G_014EA,B14007G_014MA,B14007G_015MA,B14007G_015EA,B14007G_016MA,B14007G_016EA,B14007G_017MA,B14007G_017EA,B14007G_018EA,B14007G_018MA,B14007G_019EA,B14007G_019MA,state
0400000US01,84616,6237,40816,3987,3277,941,2118,677,3078,1135,2216,826,2073,852,2905,1175,2410,819,2123,695,992,468,2459,960,1978,643,1941,560,2693,817,2508,834,6736,1708,1309,504,43800,4321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58057,4990,26794,2735,1098,445,2615,1061,1643,626,1536,538,1972,734,1286,641,1367,500,1055,391,1580,634,2052,826,1225,581,2040,967,1851,716,1824,784,3315,976,335,259,31263,3320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,243422,11244,116069,6756,6826,1222,8424,1521,5708,1195,6083,1465,8505,1986,7226,1434,7856,1403,6046,1561,5514,1347,6778,1337,6146,1313,6248,1187,6609,1659,5667,1404,18984,2443,3449,853,127353,7232,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,77411,5183,34057,3382,2759,918,1976,965,2174,1149,2697,938,1928,714,1837,769,2337,867,2026,686,1691,633,2785,1095,1021,381,2240,834,1152,600,1368,573,5100,1365,966,489,43354,3668,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1778906,37138,806424,21673,66434,4127,52194,3967,45361,4107,46093,3675,45461,3832,42740,3036,43442,3554,41861,3463,39516,3186,40898,3780,36819,3572,38173,2584,38825,3411,40334,3244,162031,7319,26242,2959,972482,22169,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177926,9936,77550,5978,4895,1123,5193,1342,5240,1443,3735,811,5889,1341,3991,1151,3817,894,5402,1298,3715,1110,4648,1105,3625,1198,4063,1000,3271,909,3035,890,14339,2359,2692,750,100376,6367,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,107310,7070,55175,4341,4392,1056,3089,1131,2357,860,3231,1186,2787,955,2876,890,2675,988,2864,737,2855,984,3393,910,4639,1274,2575,818,3082,907,3980,1354,9305,1824,1075,728,52135,4631,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26183,3548,13374,2522,1106,686,1239,545,1003,673,506,352,609,311,478,489,906,540,693,499,441,329,1381,993,517,449,566,505,591,367,861,603,2202,888,275,256,12809,2151,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18768,2956,7242,1756,902,515,450,360,267,249,412,311,350,368,416,303,227,217,377,305,170,212,173,200,51,83,264,234,329,277,12,28,1650,582,1192,589,11526,2457,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,511947,20222,229291,12083,18130,2317,16888,2731,13048,2510,12485,2473,15963,2596,13089,2396,12548,2003,13183,2298,11677,2063,13009,1929,10183,1694,11526,2055,12321,2212,12781,2249,35733,3477,6727,1449,282656,13739,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
