GEO_ID,B13016_001E,B13016_001M,B13016_002E,B13016_002M,B13016_003E,B13016_003M,B13016_004E,B13016_004M,B13016_005E,B13016_005M,B13016_006E,B13016_006M,B13016_007E,B13016_007M,B13016_008E,B13016_008M,B13016_009E,B13016_009M,B13016_010E,B13016_010M,B13016_011E,B13016_011M,B13016_012E,B13016_012M,B13016_013E,B13016_013M,B13016_014E,B13016_014M,B13016_015E,B13016_015M,B13016_016E,B13016_016M,B13016_017E,B13016_017M,NAME,B13016_001MA,B13016_001EA,B13016_002MA,B13016_002EA,B13016_003EA,B13016_003MA,B13016_004EA,B13016_004MA,B13016_005EA,B13016_005MA,B13016_006MA,B13016_006EA,B13016_007EA,B13016_007MA,B13016_008EA,B13016_008MA,B13016_009EA,B13016_009MA,B13016_010EA,B13016_010MA,B13016_011MA,B13016_011EA,B13016_012MA,B13016_012EA,B13016_013EA,B13016_013MA,B13016_014EA,B13016_014MA,B13016_015EA,B13016_015MA,B13016_016EA,B13016_016MA,B13016_017MA,B13016_017EA,state
0400000US01,1145988,4391,59028,3589,2181,841,12763,2155,18811,2202,14642,1815,6983,1529,2852,1478,796,481,1086960,5179,166149,4485,150854,4317,143773,3640,142075,3632,151155,5336,143402,5075,189552,3648,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171451,2009,9961,1681,241,173,1410,450,3348,924,2189,846,2054,823,420,243,299,269,161490,2492,21413,1482,22531,1666,25554,1380,23538,1174,25366,2069,19067,1751,24021,1217,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1604017,4106,88721,4401,3505,1054,16850,2295,25223,2317,22890,2459,13902,1971,3504,1104,2847,914,1515296,5823,230473,2823,209729,3337,214653,2858,196422,2866,205558,5571,202508,5371,255953,3580,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,686960,3783,41016,3623,2303,964,11557,1862,11395,1938,9088,1414,4384,1164,1645,904,644,368,645944,4920,98811,3449,86380,3068,84304,2801,82922,2592,91335,4253,90436,3722,111756,3037,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9686735,9041,468957,11405,11040,1779,69549,5190,115027,5114,135524,6201,93385,4568,31938,2766,12494,1865,9217778,16145,1242472,5172,1263023,6743,1395116,5822,1271986,6166,1236810,13904,1237877,13412,1570494,7951,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1356158,4236,70949,3869,2054,960,9912,1828,16656,2289,21994,1917,14438,1930,3825,1025,2070,750,1285209,5420,172794,2814,168589,2906,192990,3027,185793,2652,178942,5210,172180,5300,213921,3051,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,827282,2752,33995,3315,791,477,3857,1127,6954,1321,12177,2036,6584,1149,2685,780,947,475,793287,4223,118619,1775,117887,2142,99771,1328,99550,2188,105369,4037,99656,4153,152435,2363,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,218233,1553,9580,1613,66,84,1590,664,3121,870,2642,858,1594,659,441,336,126,159,208653,2055,29622,1113,27779,1204,31749,1291,28075,1361,29842,2070,25017,2160,36569,1151,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209245,1099,9007,1357,254,290,1091,553,1142,465,3177,819,2756,781,587,271,0,208,200238,1776,18709,1341,28323,1395,43645,464,38238,861,26857,1768,21471,1742,22995,952,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4660956,9532,231116,8894,6582,1578,35987,3689,65531,4607,59835,4288,39877,3894,16316,2850,6988,1481,4429840,13364,595438,5692,577030,6022,626370,5752,591192,5626,620475,10320,599205,10121,820130,8529,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
