C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010MA,C14005_011EA,C14005_011MA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016EA,C14005_016MA,C14005_017EA,C14005_017MA,C14005_018MA,C14005_018EA,C14005_019MA,C14005_019EA,NAME,C14005_001MA,C14005_001EA,C14005_002MA,C14005_002EA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005EA,C14005_005MA,C14005_006EA,C14005_006MA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,state
1023,134345,5538,115153,5151,19192,2681,13402,1895,7510,1445,5892,1592,5790,1921,2493,1284,3297,1145,0400000US01,270436,6693,136091,3900,111318,3867,24773,2398,17174,1961,11420,1732,5754,1459,7599,1619,3653,1209,3946,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
189,16023,1656,12536,1496,3487,844,3180,835,2773,816,407,185,307,165,79,77,228,145,0400000US02,37315,2364,21292,1816,16748,1741,4544,912,3607,824,2817,772,790,392,937,397,570,364,367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1473,186469,3921,160028,4787,26441,3178,20189,2721,14459,2176,5730,1535,6252,1612,2249,660,4003,1337,0400000US04,384769,5628,198300,3499,158333,4223,39967,3475,25714,2463,20300,2163,5414,1327,14253,1937,7338,1510,6915,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
720,81104,3724,69046,3574,12058,2176,10032,1996,6887,1623,3145,1032,2026,739,670,409,1356,575,0400000US05,166700,4898,85596,3706,70338,3221,15258,2041,11160,1708,7736,1365,3424,1071,4098,914,2200,708,1898,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2276,1007604,8267,895066,8980,112538,5307,90627,4499,58317,4180,32310,2552,21911,2458,8233,1245,13678,2039,0400000US06,2070389,12492,1062785,8158,903888,8997,158897,5823,124049,5379,85841,4856,38208,3594,34848,2937,15442,2084,19406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
951,142359,3487,123027,3645,19332,2497,15339,2088,12641,1965,2698,878,3993,1148,2445,1042,1548,615,0400000US08,291818,5735,149459,3883,123649,4320,25810,2655,18114,2057,14758,1850,3356,1018,7696,1773,4506,1354,3190,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
482,96236,2859,87977,3119,8259,1440,7056,1383,5318,1262,1738,645,1203,544,461,371,742,383,0400000US09,195311,3764,99075,2558,85695,2947,13380,1873,11280,1726,8109,1314,3171,1242,2100,862,1219,679,881,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
348,24199,1266,21869,1465,2330,594,1918,579,1397,593,521,338,412,219,88,116,324,204,0400000US10,49378,1873,25179,1483,21959,1806,3220,917,2373,864,1576,706,797,562,847,521,376,399,471,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
432,16832,1387,15719,1425,1113,687,749,496,713,498,36,63,364,466,0,208,364,466,0400000US11,30746,1906,13914,1268,11766,1307,2148,825,1427,629,519,387,908,569,721,513,254,300,467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2127,485235,7429,423563,8332,61672,4416,44227,3888,29550,3303,14677,2555,17445,2173,7315,1477,10130,1709,0400000US12,994511,9647,509276,7482,422716,7231,86560,5394,57124,4946,39986,4183,17138,3018,29436,3751,15394,3266,14042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
2133,292572,8199,250437,7791,42135,3543,32197,3255,21682,2666,10515,1895,9938,1775,4601,1300,5337,1381,0400000US13,590725,11603,298153,6902,239310,6452,58843,4501,40366,3898,30079,3049,10287,2234,18477,2924,7540,1842,10937,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
432,28836,1244,23454,1414,5382,1071,4876,1062,3614,886,1262,688,506,302,133,179,373,236,0400000US15,62281,2135,33445,1491,24775,1650,8670,1244,7408,1127,5460,1004,1948,567,1262,561,477,416,785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
428,51010,2636,42868,2590,8142,1295,6723,1179,5421,1167,1302,666,1419,711,967,636,452,279,0400000US16,105490,3601,54480,2668,42215,2393,12265,2101,8881,1834,6670,1702,2211,1001,3384,974,2511,935,873,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1566,329537,4929,291627,4844,37910,2929,28023,2466,22029,2616,5994,1523,9887,1914,5427,1417,4460,1220,0400000US17,681917,7155,352380,5535,299736,5868,52644,3129,37172,2508,27427,2266,9745,1595,15472,1976,6392,1519,9080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1057,181491,4162,153745,4473,27746,2478,18011,2185,13404,1854,4607,1404,9735,1641,4810,1188,4925,1124,0400000US18,374354,6559,192863,5092,159503,4903,33360,2730,20602,2057,16644,2027,3958,1030,12758,1996,7823,1631,4935,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
447,86808,2853,77528,2639,9280,1575,6046,1182,4673,1095,1373,483,3234,985,1967,877,1267,555,0400000US19,180302,4232,93494,3374,80058,3289,13436,2103,9043,1538,7500,1419,1543,534,4393,1246,3345,1220,1048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
681,78170,3191,69379,3260,8791,1327,6598,1215,5520,1111,1078,484,2193,586,1128,419,1065,378,0400000US20,163629,3703,85459,2641,70791,2717,14668,1706,9915,1569,8613,1574,1302,507,4753,837,2570,690,2183,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1084,116156,4272,99702,4127,16454,1737,13092,1385,9835,1358,3257,886,3362,1094,1356,684,2006,701,0400000US21,241749,5588,125593,4841,99629,4372,25964,2357,19358,2285,15051,1903,4307,1042,6606,1418,2814,898,3792,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
1479,125587,4836,106742,4758,18845,2827,13948,2398,8694,1682,5254,1670,4897,1277,1097,499,3800,1195,0400000US22,261222,7038,135635,4553,109012,4456,26623,2926,17322,2345,11439,1866,5883,1472,9301,2318,3606,1554,5695,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
343,33600,1669,29330,1755,4270,1000,3411,1156,2723,1131,688,401,859,741,357,356,502,458,0400000US23,68179,2277,34579,1339,29427,1547,5152,1021,4006,900,3460,875,546,335,1146,544,596,415,550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
868,145010,3524,127046,3815,17964,2639,14201,2369,11765,2119,2436,908,3763,1217,1614,645,2149,859,0400000US24,300720,5314,155710,3577,133747,4195,21963,2402,16982,2143,12998,1986,3984,1158,4981,1275,2740,841,2241,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1110,190605,3778,175841,3917,14764,1424,11185,1446,7908,1488,3277,993,3579,956,1463,690,2116,818,0400000US25,382024,4717,191419,3517,169340,3924,22079,2673,13794,1991,10685,1737,3109,1035,8285,1846,4290,1420,3995,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
1026,261685,4772,231799,4378,29886,2868,23086,2336,17524,2064,5562,1066,6800,1234,3368,934,3432,797,0400000US26,538074,6746,276389,4155,235302,4671,41087,2871,30513,2463,22635,2210,7878,1411,10574,1467,5772,999,4802,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
