GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002MA,C02003_002EA,C02003_003MA,C02003_003EA,C02003_004MA,C02003_004EA,C02003_005EA,C02003_005MA,C02003_006EA,C02003_006MA,C02003_007EA,C02003_007MA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010MA,C02003_010EA,C02003_011EA,C02003_011MA,C02003_012EA,C02003_012MA,C02003_013MA,C02003_013EA,C02003_014MA,C02003_014EA,C02003_015MA,C02003_015EA,C02003_016EA,C02003_016MA,C02003_017EA,C02003_017MA,C02003_018MA,C02003_018EA,C02003_019EA,C02003_019MA,state
0400000US01,4874747,-555555555,4781163,6810,3312718,7193,1307467,6809,25181,3067,66908,2994,1581,800,67308,6742,93584,6810,9444,2532,84140,6533,86392,6245,33543,4475,23388,2482,10983,1779,5995,2221,12483,2489,7099,2938,93,150,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,739795,-555555555,676405,5290,474856,3312,22107,1923,109948,4628,49385,2179,8830,643,11279,2328,63390,5290,3695,1214,59695,5218,58235,4739,7772,1908,32874,3263,8085,1979,1829,948,7675,1619,4858,1392,297,274,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7016270,-555555555,6749869,12035,5442417,25445,307655,6923,317974,8724,232517,4814,16453,2059,432853,21141,266401,12035,54867,6630,211534,10390,245758,11699,63062,5954,57171,6167,46362,4298,6877,2071,72286,7332,18532,3575,2111,866,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3004279,-555555555,2919110,5704,2293307,7105,458367,5104,19110,2399,47885,3261,8551,1976,91890,7755,85169,5704,6681,2073,78488,5586,81921,5471,23910,3875,35419,3490,8912,1965,4380,1714,9300,2379,2827,1408,421,297,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39536653,-555555555,37598576,38582,23181769,68345,2271917,19745,313859,12442,5765305,20570,153923,5688,5911803,64869,1938077,38582,407704,17166,1530373,31513,1759319,35541,278493,13002,292512,13814,578638,17379,36547,5184,573129,20478,161281,10428,17477,2834,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5607154,-555555555,5413563,10824,4720495,13280,229436,6270,56792,4293,179251,4255,8400,1808,219189,11815,193591,10824,31859,4106,161732,9345,175975,10263,42295,4987,44095,4364,43563,4158,5533,2346,40489,4321,15691,2562,1925,1030,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3588184,-555555555,3470681,7644,2723013,12447,380578,7306,11268,2350,163924,3110,525,407,191373,12750,117503,7644,25885,4315,91618,7525,103333,7146,34607,4849,9836,1698,22029,2656,4627,1784,32234,4999,13005,3210,1165,704,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,961939,-555555555,932715,3620,662084,4020,210356,3797,2729,778,38930,1658,244,214,18372,3423,29224,3620,2161,861,27063,3554,26726,3387,13384,2873,3472,847,3649,977,1516,1245,4705,1695,2498,999,0,198,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,693972,-555555555,673363,3240,284536,4734,318220,3042,1690,463,28499,1656,302,209,40116,5076,20609,3240,2786,1193,17823,3031,18857,2930,6820,2013,641,441,5893,1409,1610,749,3893,1376,1137,810,615,720,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20984400,-555555555,20430514,21776,15768315,33431,3394508,19514,63635,6958,588087,7774,13937,3557,602032,29652,553886,21776,88513,9383,465373,18170,512889,19175,209870,12694,74878,6467,93816,6311,14122,3086,120203,10849,36641,5550,4356,2856,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
