GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001EA,B10051_001MA,B10051_002EA,B10051_002MA,B10051_003MA,B10051_003EA,B10051_004MA,B10051_004EA,B10051_005EA,B10051_005MA,B10051_006MA,B10051_006EA,B10051_007EA,B10051_007MA,B10051_008EA,B10051_008MA,B10051_009MA,B10051_009EA,B10051_010MA,B10051_010EA,B10051_011MA,B10051_011EA,state
0400000US01,117353,6332,60491,4680,27409,2909,11325,1923,16084,2345,33082,3841,20338,3176,12744,1901,56862,4242,23315,2948,33547,3092,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16433,1952,6105,1276,2410,798,626,359,1784,696,3695,922,2406,884,1289,347,10328,1538,4404,1139,5924,1175,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,171825,7765,59780,4607,19045,2940,9379,1949,9666,1995,40735,3885,25836,3385,14899,2273,112045,6554,50126,4359,61919,4882,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,67675,5900,33676,4022,13988,2670,8243,2174,5745,1240,19688,2895,12950,2374,6738,1376,33999,3769,15455,2676,18544,2622,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1144605,21222,244560,10548,60219,4816,25335,2788,34884,3706,184341,9055,100998,6967,83343,5416,900045,18770,349083,12890,550962,13574,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99825,6436,32639,3324,11609,2052,5813,1421,5796,1390,21030,2936,12455,2416,8575,1814,67186,5249,27373,3266,39813,4166,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67363,5014,17871,2840,6352,1830,3188,1172,3164,1343,11519,1870,6721,1571,4798,1113,49492,4650,16626,2833,32866,3791,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22933,3243,8316,1780,3621,1151,2044,949,1577,708,4695,1508,2826,1219,1869,828,14617,2734,5853,1292,8764,2308,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9471,1928,3396,1108,812,353,322,277,490,298,2584,1028,1277,657,1307,773,6075,1264,1691,568,4384,1202,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,503291,14731,149129,8989,48680,4649,21613,2710,27067,3587,100449,7648,58031,5535,42418,4442,354162,13690,130035,8992,224127,9865,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,252855,11086,97005,6842,38010,4244,20051,2978,17959,2742,58995,4890,36320,4037,22675,3071,155850,8687,70680,6322,85170,5578,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,57341,4199,10279,1646,3088,1147,697,347,2391,989,7191,1334,3673,970,3518,839,47062,3892,15056,2524,32006,2941,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29879,3330,10916,2253,4299,1526,2126,1034,2173,939,6617,1825,4345,1419,2272,1020,18963,2638,7645,1748,11318,2090,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,260192,11008,72413,5644,24355,2946,10602,1994,13753,2025,48058,4603,28790,3255,19268,2597,187779,9832,78578,5997,109201,7235,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,119699,8296,51894,4286,24541,3135,12951,2365,11590,2040,27353,3252,17564,2666,9789,1689,67805,6271,33300,3875,34505,3999,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,34226,3446,12382,1950,6303,1346,3749,1060,2554,721,6079,1155,3762,906,2317,640,21844,2698,11422,1984,10422,1724,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,43678,3733,17432,1971,7768,1658,3328,1063,4440,1209,9664,1493,5976,1168,3688,989,26246,3248,11259,1984,14987,2156,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,109663,6478,51873,4648,26740,2578,15522,2120,11218,1494,25133,3413,16393,2574,8740,1732,57790,4008,32337,3356,25453,2430,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,111451,7403,50947,4857,24395,3202,11329,1897,13066,2131,26552,3529,17148,2872,9404,1671,60504,4960,31056,3452,29448,3646,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
