GEO_ID,C21007_001E,C21007_001M,C21007_002E,C21007_002M,C21007_003E,C21007_003M,C21007_004E,C21007_004M,C21007_005E,C21007_005M,C21007_006E,C21007_006M,C21007_007E,C21007_007M,C21007_008E,C21007_008M,C21007_009E,C21007_009M,C21007_010E,C21007_010M,C21007_011E,C21007_011M,C21007_012E,C21007_012M,C21007_013E,C21007_013M,C21007_014E,C21007_014M,C21007_015E,C21007_015M,C21007_016E,C21007_016M,C21007_017E,C21007_017M,C21007_018E,C21007_018M,C21007_019E,C21007_019M,C21007_020E,C21007_020M,C21007_021E,C21007_021M,C21007_022E,C21007_022M,C21007_023E,C21007_023M,C21007_024E,C21007_024M,C21007_025E,C21007_025M,C21007_026E,C21007_026M,C21007_027E,C21007_027M,C21007_028E,C21007_028M,C21007_029E,C21007_029M,C21007_030E,C21007_030M,C21007_031E,C21007_031M,NAME,C21007_001MA,C21007_001EA,C21007_002EA,C21007_002MA,C21007_003EA,C21007_003MA,C21007_004EA,C21007_004MA,C21007_005EA,C21007_005MA,C21007_006EA,C21007_006MA,C21007_007EA,C21007_007MA,C21007_008EA,C21007_008MA,C21007_009MA,C21007_009EA,C21007_010MA,C21007_010EA,C21007_011MA,C21007_011EA,C21007_012EA,C21007_012MA,C21007_013EA,C21007_013MA,C21007_014EA,C21007_014MA,C21007_015EA,C21007_015MA,C21007_016EA,C21007_016MA,C21007_017MA,C21007_017EA,C21007_018MA,C21007_018EA,C21007_019EA,C21007_019MA,C21007_020EA,C21007_020MA,C21007_021EA,C21007_021MA,C21007_022MA,C21007_022EA,C21007_023MA,C21007_023EA,C21007_024EA,C21007_024MA,C21007_025EA,C21007_025MA,C21007_026EA,C21007_026MA,C21007_027MA,C21007_027EA,C21007_028MA,C21007_028EA,C21007_029EA,C21007_029MA,C21007_030EA,C21007_030MA,C21007_031EA,C21007_031MA,state
0400000US01,3661833,2560,2878917,3852,180076,7148,17040,2623,6614,1317,10426,2197,163036,6472,32680,3490,130356,5968,2698841,7760,442568,15037,115647,5959,326921,13732,2256273,14906,261532,10488,1994741,17810,782916,3004,148673,4889,7826,1494,3362,956,4464,1031,140847,4720,62279,3749,78568,4215,634243,5147,70051,3655,39257,2933,30794,2752,564192,5614,217128,5927,347064,6134,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,529475,2202,447963,2644,42410,3208,2482,851,710,434,1772,668,39928,3244,7385,1451,32543,3178,405553,4387,44487,3810,9516,1717,34971,3254,361066,4463,35476,3318,325590,4721,81512,1039,21126,1625,1307,559,438,267,869,481,19819,1494,8079,1128,11740,1630,60386,1936,4736,1072,2008,714,2728,729,55650,2169,21031,1858,34619,1961,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5240533,2487,4051511,3072,224226,7697,18103,2182,5385,1054,12718,1820,206123,7904,34226,3404,171897,7584,3827285,8623,560931,16568,98236,6494,462695,14118,3266354,18131,288274,8973,2978080,17689,1189022,1729,250427,5296,16376,1971,7890,1488,8486,1337,234051,5340,94725,3784,139326,4785,938595,5446,91147,5127,37342,3165,53805,4211,847448,6744,266931,6625,580517,7753,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2215026,2225,1734707,2822,102311,5326,11871,1984,5724,1449,6147,1198,90440,5345,21477,2489,68963,4960,1632396,5821,261255,9621,74595,5096,186660,9015,1371141,10058,181387,8526,1189754,12591,480319,2445,97963,3684,5596,1134,2551,690,3045,958,92367,3552,42353,2438,50014,2865,382356,4240,43216,3036,23579,2443,19637,2314,339140,4815,133184,4254,205956,5096,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29797598,5906,24387520,7573,750561,14348,65700,4788,20459,2693,45241,4028,684861,13636,107236,5506,577625,12406,23636959,14710,2922680,42566,438070,11024,2484610,40966,20714279,47124,1406052,24743,19308227,52445,5410078,4040,793521,11022,44185,3019,22048,2365,22137,2070,749336,10821,301171,7652,448165,7109,4616557,11297,506689,13134,231141,8481,275548,9507,4109868,16157,1320504,15457,2789364,17904,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4217444,3540,3458673,4072,207217,7225,13445,2214,3925,1184,9520,1625,193772,6712,30336,2610,163436,6646,3251456,8227,342634,10245,66886,4980,275748,9836,2908822,13039,208766,7894,2700056,15057,758771,2088,159633,4022,9547,1827,3473,1018,6074,1378,150086,3923,58482,3265,91604,3431,599138,4221,49381,3564,20933,2202,28448,2682,549757,5439,162319,5464,387438,5484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2743953,1481,2164467,2097,64186,3919,3322,1168,1305,578,2017,1011,60864,3845,7789,1566,53075,3623,2100281,4291,197031,10471,43003,4461,154028,9207,1903250,11099,135475,6498,1767775,12679,579486,1389,96500,3268,4499,1138,1816,697,2683,826,92001,3431,30897,1898,61104,2924,482986,3683,36544,2943,15411,1841,21133,2430,446442,4232,123642,4800,322800,5148,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,733046,1143,563915,1418,30686,2667,3168,1002,383,294,2785,956,27518,2742,3046,831,24472,2727,533229,3000,72568,5111,11384,1749,61184,4800,460661,5596,37500,3568,423161,6063,169131,788,32586,2310,1952,716,521,240,1431,698,30634,2386,9653,1223,20981,2133,136545,2360,12406,1999,3599,1018,8807,1652,124139,2670,34856,2662,89283,3013,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,535140,883,453656,878,15323,2246,2374,892,749,511,1625,774,12949,2043,2184,753,10765,1793,438333,2371,64369,4544,16130,2374,48239,4011,373964,4918,33251,3826,340713,5569,81484,478,12025,1309,1181,512,817,489,364,197,10844,1227,4258,812,6586,1261,69459,1378,10378,1838,6165,1597,4213,1086,59081,1987,20893,2042,38188,2298,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16393858,4367,12247115,6616,651533,15226,58669,4897,19543,2706,39126,4128,592864,15050,96407,5931,496457,13722,11595582,15541,1566201,32666,299776,12533,1266425,29001,10029381,35731,840185,19058,9189196,36523,4146743,5008,768861,11452,43913,3832,19484,2511,24429,2772,724948,11419,289253,8561,435695,9089,3377882,11739,379610,12086,144429,6918,235181,8918,2998272,14644,911999,14418,2086273,20387,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
