GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001EA,B18101A_001MA,B18101A_002MA,B18101A_002EA,B18101A_003MA,B18101A_003EA,B18101A_004MA,B18101A_004EA,B18101A_005EA,B18101A_005MA,B18101A_006EA,B18101A_006MA,B18101A_007MA,B18101A_007EA,B18101A_008MA,B18101A_008EA,B18101A_009MA,B18101A_009EA,B18101A_010EA,B18101A_010MA,state
0400000US01,3267947,7672,678480,4142,26901,3372,651579,5585,1974154,4958,266484,9760,1707670,11007,615313,2124,247610,5938,367703,5990,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459917,3458,99023,2013,2889,737,96134,2032,299370,2219,32825,3187,266545,3844,61524,553,22214,1757,39310,1795,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5373114,25124,1161871,12283,44728,4716,1117143,11667,3142178,15065,326133,9775,2816045,16466,1069065,2804,357487,7673,711578,8158,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2255030,7223,488167,3808,29038,3078,459129,4920,1347704,4553,215150,8306,1132554,9261,419159,1580,175355,4282,243804,4461,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22897505,67659,4910583,27958,163064,8322,4747519,28688,14223897,43034,1231636,21745,12992261,45026,3763025,10227,1300184,15883,2462841,16367,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4646996,13930,1004602,6543,34387,3340,970215,7084,2951474,9060,254579,9440,2696895,13848,690920,2605,220827,5944,470093,5969,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2687935,12719,503716,5692,17747,2057,485969,5861,1672620,8515,141980,7306,1530640,10373,511599,2605,150521,4595,361078,4287,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,653996,4133,123771,2098,4392,1098,119379,2418,391347,2885,39724,3170,351623,4158,138878,908,39880,2374,98998,2459,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,281457,4755,34308,2140,780,404,33528,2056,217005,3042,14359,2355,202646,3389,30144,840,7705,1198,22439,1478,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15581781,33220,2798475,13359,123118,6958,2675357,14663,9166058,22643,944577,19345,8221481,28725,3617248,7535,1184197,16088,2433051,16056,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
