GEO_ID,C18101_001E,C18101_001M,C18101_002E,C18101_002M,C18101_003E,C18101_003M,C18101_004E,C18101_004M,C18101_005E,C18101_005M,C18101_006E,C18101_006M,C18101_007E,C18101_007M,C18101_008E,C18101_008M,C18101_009E,C18101_009M,C18101_010E,C18101_010M,C18101_011E,C18101_011M,C18101_012E,C18101_012M,C18101_013E,C18101_013M,C18101_014E,C18101_014M,C18101_015E,C18101_015M,C18101_016E,C18101_016M,C18101_017E,C18101_017M,C18101_018E,C18101_018M,C18101_019E,C18101_019M,C18101_020E,C18101_020M,C18101_021E,C18101_021M,NAME,C18101_001MA,C18101_001EA,C18101_002EA,C18101_002MA,C18101_003EA,C18101_003MA,C18101_004EA,C18101_004MA,C18101_005EA,C18101_005MA,C18101_006EA,C18101_006MA,C18101_007MA,C18101_007EA,C18101_008MA,C18101_008EA,C18101_009EA,C18101_009MA,C18101_010EA,C18101_010MA,C18101_011EA,C18101_011MA,C18101_012MA,C18101_012EA,C18101_013MA,C18101_013EA,C18101_014MA,C18101_014EA,C18101_015EA,C18101_015MA,C18101_016EA,C18101_016MA,C18101_017EA,C18101_017MA,C18101_018MA,C18101_018EA,C18101_019MA,C18101_019EA,C18101_020EA,C18101_020MA,C18101_021EA,C18101_021MA,state
0400000US23,1321649,577,646260,1882,129841,1512,11694,1938,118147,2033,397120,1517,57570,4017,339550,4114,119299,1188,43213,2653,76086,2705,675389,1856,123685,1256,4589,1121,119096,1668,411111,1299,54872,3435,356239,3790,140593,896,46734,2524,93859,2609,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5957871,2105,2866331,4274,687592,2937,28734,2789,658858,4094,1797383,3187,163489,6841,1633894,7410,381356,1675,112173,3596,269183,3603,3091540,3956,657394,2754,22273,2635,635121,3702,1937048,2199,171972,6461,1765076,7048,497098,1761,161502,4902,335596,5159,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6785622,1021,3288881,3288,700474,1957,38566,4025,661908,4106,2121391,2063,195486,7495,1925905,7582,467016,1694,147301,5393,319715,5377,3496741,3066,666751,1987,19685,2672,647066,3646,2225588,1763,201111,7765,2024477,8078,604402,1885,201828,5350,402574,5101,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9853156,970,4830752,4066,1111275,3627,61317,4214,1049958,5397,2988842,2617,355649,8460,2633193,8897,730635,2007,253146,5325,477489,5516,5022404,4066,1061039,3080,42084,3452,1018955,4718,3065396,2504,371802,8703,2693594,8919,895969,2200,306312,4953,589657,5363,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5519199,675,2746565,3827,662560,3099,34386,2873,628174,4066,1706216,2632,159492,5775,1546724,6259,377789,1679,125192,3616,252597,3856,2772634,3819,632967,2934,17527,2438,615440,3243,1688310,2410,145590,5723,1542720,6855,451357,1784,133659,4345,317698,4295,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2920808,1463,1398217,5846,364948,4317,19705,2557,345243,4648,837725,3450,134431,6711,703294,7318,195544,2168,84098,4035,111446,4127,1522591,5669,346532,4421,14412,2479,332120,5054,920116,2992,130913,5576,789203,5776,255943,1882,108037,4519,147906,4812,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,6000326,1538,2926378,5137,709079,4851,39573,3802,669506,6466,1785117,4044,234855,7982,1550262,8297,432182,2221,164338,4623,267844,5175,3073948,5070,672850,4761,28733,3694,644117,5895,1859245,3715,229109,8325,1630136,8053,541853,2520,197470,4833,344383,4843,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1036245,559,516864,2153,115754,1494,6248,1249,109506,1641,311654,1807,38096,3026,273558,3576,89456,1122,33651,2078,55805,2038,519381,2172,113074,1675,3151,730,109923,1688,310784,1659,31457,2449,279327,2917,95523,1008,29659,2007,65864,2130,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1891453,931,942886,2799,243140,2415,11786,1483,231354,2789,570444,1779,57172,3323,513272,3452,129302,1086,48516,2066,80786,2142,948567,2827,230244,2468,6372,1204,223872,2610,565328,1764,55246,3320,510082,3911,152995,1240,48408,2428,104587,2541,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2962236,1424,1477770,2694,350986,1815,14146,2301,336840,2776,911326,2132,89350,5431,821976,5584,215458,1238,75923,3492,139535,3597,1484466,2711,332148,1719,8979,1719,323169,2472,913292,1846,94568,5121,818724,5371,239026,989,79903,3480,159123,3630,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
