GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,NAME,C15010_001MA,C15010_001EA,C15010_002MA,C15010_002EA,C15010_003MA,C15010_003EA,C15010_004MA,C15010_004EA,C15010_005EA,C15010_005MA,C15010_006MA,C15010_006EA,state
0400000US01,844704,13082,243206,7848,92007,4609,193132,6898,148175,5939,168184,6829,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,138684,5762,55298,3203,18926,2448,18499,2105,15773,1930,30188,2603,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1383092,18160,449354,10566,136606,6318,306495,8498,197455,6481,293182,8025,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,470114,11180,139718,7118,49386,3665,98438,5104,86747,5407,95825,4970,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8976247,47144,3693453,30207,718639,14400,1645595,20934,581642,12969,2336918,22628,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1574697,14828,618226,11568,128838,5880,308088,9754,150727,5004,368818,8387,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,964607,12471,348626,7077,85983,4628,192261,6268,100508,4538,237229,7074,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212083,6756,73231,3858,19789,2191,47778,3317,31109,2555,40176,3308,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,283519,5856,140163,5182,12535,1748,38030,3008,12572,2190,80219,4166,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4454492,36789,1412759,19301,475420,12864,1084019,22630,582640,13365,899654,17392,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2131478,23197,697468,14278,199689,7349,514486,12362,269594,9154,450241,11521,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,328680,8309,114374,4607,34535,3184,70561,3806,41560,2842,67650,4082,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,297658,8401,98695,4845,33863,3310,52463,4171,44052,3148,68585,4468,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2997805,23230,976736,13721,293289,7140,643808,12101,387865,8924,696107,13407,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1189458,16756,344482,9487,157119,6250,244186,7524,189027,6737,254644,7900,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,605820,10089,182127,5901,62713,3683,122118,4553,113515,3925,125347,4977,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,642742,8738,190727,6020,66404,4040,132708,5733,115723,4748,137180,5502,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
