GEO_ID,B17019_001E,B17019_001M,B17019_002E,B17019_002M,B17019_003E,B17019_003M,B17019_004E,B17019_004M,B17019_005E,B17019_005M,B17019_006E,B17019_006M,B17019_007E,B17019_007M,B17019_008E,B17019_008M,B17019_009E,B17019_009M,B17019_010E,B17019_010M,B17019_011E,B17019_011M,B17019_012E,B17019_012M,B17019_013E,B17019_013M,B17019_014E,B17019_014M,B17019_015E,B17019_015M,B17019_016E,B17019_016M,B17019_017E,B17019_017M,B17019_018E,B17019_018M,B17019_019E,B17019_019M,B17019_020E,B17019_020M,B17019_021E,B17019_021M,B17019_022E,B17019_022M,B17019_023E,B17019_023M,NAME,B17019_001EA,B17019_001MA,B17019_002EA,B17019_002MA,B17019_003EA,B17019_003MA,B17019_004MA,B17019_004EA,B17019_005MA,B17019_005EA,B17019_006MA,B17019_006EA,B17019_007MA,B17019_007EA,B17019_008EA,B17019_008MA,B17019_009EA,B17019_009MA,B17019_010MA,B17019_010EA,B17019_011EA,B17019_011MA,B17019_012EA,B17019_012MA,B17019_013EA,B17019_013MA,B17019_014EA,B17019_014MA,B17019_015MA,B17019_015EA,B17019_016MA,B17019_016EA,B17019_017MA,B17019_017EA,B17019_018EA,B17019_018MA,B17019_019EA,B17019_019MA,B17019_020EA,B17019_020MA,B17019_021MA,B17019_021EA,B17019_022MA,B17019_022EA,B17019_023MA,B17019_023EA,state
0400000US01,1203689,13513,154370,6386,46628,2879,27872,2109,18756,2379,107742,5689,12997,1904,5168,1136,7829,1651,94745,5195,26868,3081,67877,4403,1049319,13531,810346,11402,693567,11038,116779,5574,238973,8210,64559,3977,41734,3457,22825,2404,174414,6972,104277,5276,70137,4201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167401,3753,12388,1464,5212,876,2919,733,2293,730,7176,1230,2056,670,810,204,1246,612,5120,1123,1880,438,3240,945,155013,3917,118613,4050,91049,3302,27564,2435,36400,2549,12946,1688,8013,1264,4933,962,23454,2079,12559,1581,10895,1646,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652325,14123,176062,6641,74404,4198,40715,2989,33689,2968,101658,5296,21609,2410,6890,1425,14719,1953,80049,4515,21025,2126,59024,4210,1476263,14537,1132114,14104,916881,11071,215233,7841,344149,9644,116465,6113,66123,4673,50342,4351,227684,7610,123975,5032,103709,5662,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,754699,11377,87890,4894,31694,2922,17467,2018,14227,2089,56196,3862,8966,1471,3849,1033,5117,1060,47230,3488,10179,1705,37051,3129,666809,11484,521158,9536,431418,9122,89740,5290,145651,6741,44835,3793,27099,2623,17736,2436,100816,5019,52181,3915,48635,4104,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8910617,24114,858067,15922,373259,9802,132212,5665,241047,8947,484808,12165,98151,5701,26552,2665,71599,5169,386657,9764,64392,4057,322265,9058,8052550,26039,6073706,28866,4233596,24958,1840110,21714,1978844,20951,675061,15412,318170,8771,356891,11390,1303783,17677,621486,11850,682297,13624,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1366807,9822,91960,4848,38461,3259,19061,2350,19400,2627,53499,4065,9483,1794,4124,1151,5359,1256,44016,3823,11656,1801,32360,3414,1274847,10110,1023853,11173,838025,10921,185828,6216,250994,6370,91058,4575,51147,3613,39911,3557,159936,5822,89844,3689,70092,4683,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,877293,8542,55756,4613,17623,1988,7646,1290,9977,1644,38133,3858,5613,1375,1746,814,3867,1181,32520,3518,4037,989,28483,3198,821537,8644,631938,8173,535153,7913,96785,4646,189599,7241,55704,3805,34437,2986,21267,2634,133895,5727,72832,4216,61063,4814,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235795,5755,21665,2390,9611,1790,6188,1406,3423,1126,12054,1765,2402,945,779,466,1623,713,9652,1519,3363,1077,6289,1438,214130,5465,167336,5179,145310,5231,22026,2068,46794,3453,14114,1743,7740,1459,6374,1307,32680,3052,19794,1927,12886,2319,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119357,4070,15929,1763,2406,868,733,405,1673,759,13523,1678,1628,658,87,105,1541,670,11895,1619,1372,489,10523,1467,103428,3668,68170,3209,44969,2890,23201,2226,35258,2731,8363,1370,3924,999,4439,1019,26895,2298,13472,1665,13423,2035,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4943506,27730,499029,11818,213722,7908,114980,6189,98742,5901,285307,9019,50716,3727,17809,1943,32907,3355,234591,8437,57577,3980,177014,7772,4444477,28838,3374573,27825,2667868,25381,706705,15300,1069904,19401,326912,10597,180701,8404,146211,6284,742992,15642,414602,10863,328390,9722,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525783,17938,279748,11291,96992,7159,52942,4174,44050,4803,182756,8684,26728,3060,9119,1661,17609,2633,156028,8376,35121,3467,120907,6954,2246035,17534,1691763,17964,1368894,17215,322869,10912,554272,11265,151063,7245,81713,5060,69350,5011,403209,9506,205716,7368,197493,8980,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,320336,5022,23547,2448,9084,1261,4041,856,5043,1057,14463,2094,2544,779,923,402,1621,629,11919,1823,2192,728,9727,1926,296789,5140,224289,4878,155415,4213,68874,3401,72500,3662,25977,2369,13100,1558,12877,1924,46523,3092,27551,2251,18972,2312,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,419774,7037,36225,3347,17272,2316,8908,1768,8364,1619,18953,2379,2950,918,1369,619,1581,581,16003,2134,4649,1286,11354,1684,383549,7091,321153,6567,267354,6209,53799,4237,62396,4543,23983,3061,15633,2336,8350,1608,38413,2788,22061,2383,16352,2216,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3083543,17333,277866,10016,95833,5247,49210,3888,46623,3658,182033,7742,29362,2857,9724,1450,19638,2419,152671,7009,31812,2434,120859,6418,2805677,18153,2181444,16902,1848277,16437,333167,7852,624233,10594,193673,7072,119747,5039,73926,4950,430560,10165,244198,7078,186362,7441,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1660102,12057,153371,6313,48517,3520,29062,2819,19455,2197,104854,5649,18200,2251,7472,1537,10728,1824,86654,4755,21174,2737,65480,3736,1506731,12719,1184256,12173,1032440,12133,151816,6647,322475,8029,107783,5414,68169,4174,39614,4122,214692,5833,121582,4866,93110,4345,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,794614,8064,53223,3390,21000,2024,12348,1524,8652,1552,32223,2721,5577,1211,2620,882,2957,939,26646,2528,5220,884,21426,2489,741391,7660,613509,7696,545495,6971,68014,3381,127882,5247,46567,3710,29427,2711,17140,2227,81315,3714,50585,3493,30730,2385,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,733649,7787,58235,3251,22452,2048,11859,1476,10593,1427,35783,2856,5538,1153,1411,468,4127,1073,30245,2552,8052,1222,22193,2348,675414,7801,549941,7474,462520,6997,87421,4625,125473,5206,44449,3053,26773,2282,17676,2334,81024,4280,43683,2637,37341,3518,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
