GEO_ID,B21004_001E,B21004_001M,B21004_002E,B21004_002M,B21004_003E,B21004_003M,B21004_004E,B21004_004M,B21004_005E,B21004_005M,B21004_006E,B21004_006M,B21004_007E,B21004_007M,NAME,B21004_001MA,B21004_001EA,B21004_002MA,B21004_002EA,B21004_003MA,B21004_003EA,B21004_004EA,B21004_004MA,B21004_005EA,B21004_005MA,B21004_006MA,B21004_006EA,B21004_007MA,B21004_007EA,state
0400000US01,25460,301,40151,909,40908,817,29584,4083,24110,369,30887,363,20116,299,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33188,1359,52213,2635,52449,2919,46905,16010,31218,664,39697,2664,26732,963,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29790,374,39566,860,40219,761,33904,3548,28341,432,33158,782,24424,411,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25157,343,34852,1372,35026,1273,31594,7136,24228,452,30155,451,20616,338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31405,91,44487,898,45102,762,37834,3017,30927,93,36556,172,25664,166,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35572,239,46967,793,47728,889,41131,2998,34446,476,41546,363,28586,595,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36758,406,45235,1713,45445,1718,41637,9913,36279,422,45923,698,30273,471,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32461,928,44929,4629,45793,4535,34333,11573,31777,605,38731,2269,27902,1231,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,49500,2121,55020,9678,55474,10001,50802,19185,49007,2386,52055,1726,45281,1962,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26895,128,38337,587,39028,568,32337,1796,26073,131,31082,192,22357,131,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,29111,366,41079,762,41895,772,34629,3434,27617,388,33337,656,23530,342,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,35250,587,46619,2074,48313,2072,35798,2759,33675,1174,40959,688,29702,841,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26586,464,37994,2172,38450,2253,32238,10416,25639,493,32520,1201,20322,408,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,32125,153,40455,600,40943,616,33812,2565,31726,156,40778,231,25938,179,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,29609,359,37641,982,38232,1086,29966,3367,28519,392,36738,334,22422,291,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31594,253,35946,1166,36252,1157,31918,2686,31319,246,40029,414,25295,405,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,30752,278,39066,1344,39260,1375,36121,4110,30156,277,37699,821,23992,431,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,26254,291,35232,965,35561,945,30486,2994,25579,321,31827,322,21200,272,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,25269,302,36050,1341,36854,1423,26571,3780,24415,424,31673,547,20330,309,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,28889,683,36486,1242,36826,1232,29063,10075,27777,763,33304,1328,24042,739,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,39235,503,55937,2012,55572,2084,59006,5703,37439,426,44033,1097,32252,320,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,37131,283,43058,1692,43554,1763,38034,5810,36795,307,46344,513,30666,277,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29617,258,37156,480,37546,571,31080,2009,28637,273,36657,281,22884,277,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,35646,236,40664,799,40913,788,35313,4233,35250,257,42333,321,29293,434,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,24491,455,36224,1380,37008,1625,30325,4169,23219,516,29744,962,19989,366,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,29041,391,35788,745,36262,820,28705,2601,28071,443,35093,384,23448,328,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,27935,774,32299,1435,32565,1818,29713,7713,27137,558,33616,1618,22665,610,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,32010,270,40502,1556,41778,1549,31752,2028,31524,287,40091,662,25739,421,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,30633,258,40764,1065,41035,1180,36782,3752,30006,433,34272,858,25635,378,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,35311,569,42086,2302,43292,3236,32553,7125,34512,909,44088,1852,28531,956,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,36941,219,44020,1512,44825,1671,38120,3398,36562,220,46795,480,29792,485,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,25165,467,39049,1844,39706,1727,31598,7525,23601,621,27382,834,20721,468,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,32145,121,40199,762,40667,751,32892,3282,31838,127,39229,555,26949,204,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,28132,286,38682,993,39363,1035,32822,3859,27064,185,32239,248,23127,268,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,34501,906,42999,3609,43200,3708,39532,10480,33431,1004,41583,761,27297,876,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,29726,263,36770,494,37124,509,30802,2484,28686,293,36334,276,23439,250,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,26739,247,38296,1296,39364,1276,30953,3856,25749,259,31677,342,21628,268,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,30324,295,37556,1649,38501,1853,28538,4911,29592,519,36333,492,24353,392,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,30800,139,36700,507,37085,510,31010,1659,30355,149,38745,572,24390,204,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,30920,565,36117,2711,36114,2737,37533,15069,30550,614,40326,908,24604,1030,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,26462,221,39201,1133,39947,1172,32291,2355,25479,224,31240,377,21508,264,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,30895,362,40256,2727,41846,3072,30467,3134,30355,367,37209,737,24584,803,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,27057,235,36702,686,36902,736,35171,3632,26304,235,31906,277,22110,227,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,30311,117,42935,889,43571,905,39270,1997,29245,251,35379,189,23696,229,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,30782,253,42607,1603,43004,1688,35760,10214,30289,265,40673,410,21859,334,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,30428,593,37155,1798,37585,1835,32802,8799,30023,788,34445,1514,26187,718,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
