GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001EA,C27001D_001MA,C27001D_002EA,C27001D_002MA,C27001D_003MA,C27001D_003EA,C27001D_004MA,C27001D_004EA,C27001D_005MA,C27001D_005EA,C27001D_006EA,C27001D_006MA,C27001D_007EA,C27001D_007MA,C27001D_008MA,C27001D_008EA,C27001D_009MA,C27001D_009EA,C27001D_010EA,C27001D_010MA,state
0400000US01,66405,2965,17158,1778,16515,1748,643,490,43722,2537,36477,2743,7245,1846,5525,985,4855,884,670,517,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48930,2298,12872,1430,11489,1741,1383,823,30890,1669,24284,1604,6606,1569,5168,564,4837,534,331,318,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,231277,4827,47866,2973,46386,2992,1480,599,157904,3428,147368,3577,10536,1732,25507,798,24321,1015,1186,535,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47695,3253,13124,1871,12840,1857,284,330,31263,1799,26779,2214,4484,1478,3308,926,2981,896,327,296,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5737778,20433,1107960,12969,1077180,13283,30780,4550,3771402,12145,3546905,15075,224497,9530,858416,3759,845834,4183,12582,2069,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178015,4214,42806,2383,41001,2307,1805,788,117220,3143,108883,3269,8337,1613,17989,1017,17451,1049,538,267,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163601,3147,33751,2021,33040,2032,711,411,116079,1941,109217,2361,6862,1501,13771,898,12815,988,956,521,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38930,1658,8796,787,8586,836,210,199,26309,1129,24639,1393,1670,747,3825,502,2934,709,891,691,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28436,1640,2864,812,2257,830,607,759,23491,1277,22366,1499,1125,1035,2081,208,2081,208,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,585347,7709,118693,4796,110781,4703,7912,1682,386662,5574,336268,6257,50394,4171,79992,2552,74993,2851,4999,1756,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,409360,7290,94789,4585,84454,4640,10335,2497,278251,4249,234499,6678,43752,6735,36320,1342,35008,1358,1312,611,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,538266,8416,79950,4396,77829,4289,2121,1088,322733,5487,308150,5713,14583,2476,135583,1696,134578,1752,1005,529,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23003,3348,5836,1795,5593,1762,243,233,15482,1946,12768,1714,2714,1174,1685,728,1685,728,0,201,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,693365,6306,145237,4295,139730,4164,5507,1687,463669,4122,428075,5344,35594,3870,84459,1800,81418,2063,3041,1253,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,148228,4374,38635,2646,37406,2667,1229,819,101547,3118,93367,3053,8180,1900,8046,1253,7642,1195,404,324,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,81430,2891,20478,1499,20014,1481,464,386,55755,2096,49305,2627,6450,2048,5197,1013,4868,967,329,343,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,85506,3235,19523,1822,18383,1973,1140,694,59276,2514,52912,2783,6364,1655,6707,855,6475,834,232,232,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,64513,2747,18791,1685,17386,1579,1405,593,41577,2118,35682,2289,5895,1743,4145,705,4128,714,17,37,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,83948,2204,19738,1613,19019,1710,719,484,55587,1940,47189,2794,8398,2064,8623,1252,8564,1247,59,101,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14816,1286,3980,907,3720,887,260,306,9393,1154,7567,1121,1826,1030,1443,463,1427,455,16,43,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,388936,4516,84264,2994,80526,3066,3738,1313,255823,3237,239917,4245,15906,2727,48849,1174,46246,1613,2603,910,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,451892,5875,94544,3872,92285,3963,2259,1028,316855,3859,303882,4520,12973,2238,40493,1003,39267,1056,1226,604,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,307767,5533,70694,3709,69232,3558,1462,752,208145,3312,196592,3892,11553,1843,28928,1219,26821,1192,2107,1054,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,272411,4175,78463,2900,76750,2938,1713,817,177279,3073,168030,3444,9249,1909,16669,997,16568,995,101,127,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
