GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001EA,B11010_001MA,B11010_002MA,B11010_002EA,B11010_003MA,B11010_003EA,B11010_004EA,B11010_004MA,B11010_005MA,B11010_005EA,B11010_006EA,B11010_006MA,B11010_007MA,B11010_007EA,B11010_008MA,B11010_008EA,B11010_009EA,B11010_009MA,B11010_010EA,B11010_010MA,B11010_011EA,B11010_011MA,B11010_012EA,B11010_012MA,B11010_013MA,B11010_013EA,B11010_014MA,B11010_014EA,B11010_015EA,B11010_015MA,state
0400000US01,637976,11803,294457,8707,242409,8016,178277,7433,64132,3089,52048,3866,46569,3686,5479,1201,343519,8601,308936,7564,160996,6302,147940,5040,34583,3441,30605,3210,3978,967,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,83340,3526,46594,2503,34643,2543,26177,2438,8466,1111,11951,1648,11040,1551,911,349,36746,2282,28861,2067,18420,1642,10441,1190,7885,1218,6841,1167,1044,421,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,900647,12664,435565,9457,330783,9026,236189,7890,94594,4138,104782,5489,90459,4889,14323,2006,465082,8952,379837,7865,199488,6175,180349,5676,85245,5606,70071,4950,15174,2015,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,398383,9741,188400,7532,152743,6347,109446,5735,43297,2556,35657,3645,32225,3353,3432,1082,209983,6382,183309,5870,95400,4101,87909,3638,26674,2599,24094,2610,2580,732,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4094480,23476,1942664,18385,1400284,17141,1005319,16112,394965,9083,542380,11676,483647,10984,58733,3862,2151816,16877,1725140,17363,890198,15420,834942,10125,426676,10494,362150,9510,64526,4629,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,772400,9837,380955,7527,271669,8077,205148,7184,66521,3829,109286,5203,101148,5160,8138,1263,391445,8559,307066,7822,172001,6696,135065,4684,84379,4479,78220,4495,6159,1083,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,479469,8915,215440,7624,169414,7305,122192,6939,47222,2617,46026,4543,40500,3845,5526,1499,264029,6797,223795,6246,111869,5000,111926,4312,40234,3117,34354,2892,5880,996,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,122142,5418,51714,3332,40638,2879,28645,2625,11993,1497,11076,1897,9378,1716,1698,662,70428,3800,58538,3615,32854,3166,25684,1980,11890,1701,10447,1613,1443,468,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,162118,4407,72428,3464,53129,3333,42990,3141,10139,1194,19299,1981,18078,1911,1221,494,89690,3612,74015,3416,54192,3170,19823,1447,15675,1685,14533,1514,1142,488,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2746458,24558,1260234,16580,966622,14227,632931,12563,333691,8885,293612,9047,243798,8747,49814,3496,1486224,18793,1251371,17709,597782,12353,653589,11982,234853,7828,183464,7265,51389,3351,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1219291,15231,560384,10219,434953,9883,330819,10165,104134,4787,125431,6601,116136,6501,9295,1545,658907,11933,565841,11080,330383,9933,235458,5759,93066,5506,85030,5044,8036,1165,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,137742,4408,70470,3699,56358,3524,38393,3339,17965,1795,14112,2050,11200,1974,2912,825,67272,2851,55415,2775,25222,2260,30193,1984,11857,1399,9519,1219,2338,588,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,205361,6826,98989,5150,79101,4445,53198,3411,25903,3083,19888,2158,17789,2157,2099,652,106372,4900,92582,4813,50648,4513,41934,2116,13790,1953,11855,1761,1935,689,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1725129,16145,811859,12619,644499,12117,470889,10362,173610,5934,167360,5544,154144,5296,13216,1681,913270,13090,781955,12508,412138,10651,369817,7080,131315,5617,120029,5569,11286,1433,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
