GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,C16001_014E,C16001_014M,C16001_015E,C16001_015M,C16001_016E,C16001_016M,C16001_017E,C16001_017M,C16001_018E,C16001_018M,C16001_019E,C16001_019M,C16001_020E,C16001_020M,C16001_021E,C16001_021M,C16001_022E,C16001_022M,C16001_023E,C16001_023M,C16001_024E,C16001_024M,C16001_025E,C16001_025M,C16001_026E,C16001_026M,C16001_027E,C16001_027M,C16001_028E,C16001_028M,C16001_029E,C16001_029M,C16001_030E,C16001_030M,C16001_031E,C16001_031M,C16001_032E,C16001_032M,C16001_033E,C16001_033M,C16001_034E,C16001_034M,C16001_035E,C16001_035M,C16001_036E,C16001_036M,C16001_037E,C16001_037M,C16001_038E,C16001_038M,NAME,C16001_001MA,C16001_001EA,C16001_002MA,C16001_002EA,C16001_003MA,C16001_003EA,C16001_004EA,C16001_004MA,C16001_005MA,C16001_005EA,C16001_006MA,C16001_006EA,C16001_007MA,C16001_007EA,C16001_008MA,C16001_008EA,C16001_009MA,C16001_009EA,C16001_010EA,C16001_010MA,C16001_011MA,C16001_011EA,C16001_012MA,C16001_012EA,C16001_013MA,C16001_013EA,C16001_014MA,C16001_014EA,C16001_015EA,C16001_015MA,C16001_016EA,C16001_016MA,C16001_017MA,C16001_017EA,C16001_018MA,C16001_018EA,C16001_019MA,C16001_019EA,C16001_020EA,C16001_020MA,C16001_021EA,C16001_021MA,C16001_022MA,C16001_022EA,C16001_023MA,C16001_023EA,C16001_024MA,C16001_024EA,C16001_025EA,C16001_025MA,C16001_026EA,C16001_026MA,C16001_027EA,C16001_027MA,C16001_028MA,C16001_028EA,C16001_029MA,C16001_029EA,C16001_030EA,C16001_030MA,C16001_031EA,C16001_031MA,C16001_032EA,C16001_032MA,C16001_033MA,C16001_033EA,C16001_034MA,C16001_034EA,C16001_035EA,C16001_035MA,C16001_036EA,C16001_036MA,C16001_037EA,C16001_037MA,C16001_038MA,C16001_038EA,state
0400000US01,4585850,2856,4351451,10150,141616,6321,82684,4854,58932,5151,9092,1855,7396,1629,1696,711,10436,2409,8843,1948,1593,816,2722,1159,2220,1050,502,444,16032,3156,11444,2334,4588,1553,9013,2304,3990,1406,5023,1318,9725,1906,5274,1220,4451,1299,8159,3225,3715,1735,4444,2071,2308,680,1878,641,430,296,12935,2937,9097,2432,3838,1641,6249,2630,4986,2287,1263,694,6112,2054,5504,1988,608,400,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,686876,844,577422,5800,19892,2779,15136,2293,4756,1552,1677,739,1545,677,132,223,3769,1141,3289,1110,480,405,7357,2203,5534,1765,1823,929,3026,1263,2576,1067,450,364,3825,1193,1463,789,2362,813,1055,641,700,603,355,249,1220,1248,451,690,769,714,17829,2780,9031,1777,8798,2004,16815,4246,8711,2385,8104,3866,860,1062,860,1062,0,153,32129,3592,26773,2923,5356,1312,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6581229,1331,4778292,23692,1375367,20883,930625,16856,444742,12842,16278,2373,13845,2051,2433,765,21136,2222,19104,2235,2032,623,22974,3706,14783,2612,8191,2064,65575,5967,49660,4354,15915,3188,9204,2236,5258,1711,3946,1144,33982,4810,15994,2544,17988,3805,23262,3592,9686,2230,13576,2651,25946,3792,19709,3038,6237,1601,41418,4600,27955,3597,13463,2267,22012,4099,12534,3027,9478,2382,145783,8217,108921,6414,36862,4696,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2817639,2636,2607648,8408,152632,6461,86784,5776,65848,4859,3185,1364,2676,1207,509,477,4688,1365,4196,1215,492,380,1812,723,1339,633,473,378,9892,2678,7867,2573,2025,1102,1598,991,801,505,797,762,6743,2092,3663,1286,3080,1182,5667,1849,2009,850,3658,1492,2439,1138,1102,523,1337,922,15464,3010,6429,1592,9035,2526,3858,1954,2885,1583,973,708,2013,852,1858,854,155,188,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37076228,3179,20596574,61667,10698137,55273,6456847,43699,4241290,36161,142164,9638,121429,8806,20735,3118,119546,6579,107613,6152,11933,1543,250374,13640,159217,10217,91157,6308,1189830,27785,804332,24863,385498,13554,364101,14190,162894,7782,201207,9780,1259335,24982,557591,15532,701744,19862,556946,18702,225698,10257,331248,13091,804825,24259,547989,18931,256836,13490,719895,21637,460012,15611,259883,11588,188596,16619,124170,11357,64426,8011,185905,11316,131644,8992,54261,5859,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5274561,2114,4383694,16954,609944,15797,410125,12625,199819,9245,18611,3224,14766,2694,3845,1416,28489,3568,25358,3338,3131,855,26859,3757,17848,2860,9011,1963,45580,5329,33249,3983,12331,2567,10775,2175,6290,1517,4485,1145,22655,3212,11195,2151,11460,2047,23740,4117,10426,2248,13314,2842,6649,1779,4604,1563,2045,851,40991,5294,25028,3469,15963,3188,15520,4063,10701,3336,4819,1591,41054,5566,30175,4012,10879,2835,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3405990,1224,2641553,12884,414663,8117,240404,8326,174259,8074,34592,4842,25832,3767,8760,1929,11328,1817,10438,1755,890,375,51410,5039,31536,3944,19874,2443,125278,9315,80822,7495,44456,4163,6299,1987,3566,1151,2733,1233,35915,4018,18450,2563,17465,2696,11720,3239,6682,2170,5038,1383,5518,1606,4268,1397,1250,524,26754,4032,18106,2841,8648,1925,13183,4073,7520,2584,5663,2164,27777,4015,22491,3592,5286,1457,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907032,341,780824,6812,66227,4003,44209,3868,22018,2890,8684,2817,4967,1865,3717,1406,3413,1433,2703,1263,710,497,2890,1125,2528,1058,362,306,12893,1979,9131,1609,3762,1404,1297,663,546,386,751,481,7000,1667,3508,1108,3492,1025,913,516,417,270,496,367,3653,1499,2917,1189,736,572,10691,3036,8357,2305,2334,965,1512,898,876,548,636,392,7035,2483,6460,2402,575,350,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,648907,115,534769,5936,61004,2940,34552,3299,26452,3378,7694,1482,6153,1267,1541,720,4452,1372,4120,1332,332,365,3645,1538,3274,1353,371,318,11120,2190,9641,1959,1479,780,1615,870,1091,618,524,571,3566,1006,2152,683,1414,711,2194,1400,612,424,1582,1057,1627,733,1121,568,506,486,3196,1023,2582,895,614,437,2512,1092,1962,848,550,749,11513,2972,6100,1449,5413,2311,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19855078,4120,13966876,40322,4326286,25190,2450476,25663,1875810,25074,563056,22991,350639,17153,212417,11489,80666,6485,71298,5750,9368,1903,110916,8587,66420,6228,44496,5340,340345,17436,236792,12099,103553,9232,18122,3256,9510,2186,8612,1941,79861,7492,41147,5260,38714,4402,65704,6789,28142,4015,37562,4468,66432,6454,51529,5204,14903,2459,103351,9243,65460,6182,37891,5182,56288,7248,37491,5451,18797,3464,77175,6553,59216,5444,17959,3257,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
