GEO_ID,B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,NAME,B16005B_001EA,B16005B_001MA,B16005B_002EA,B16005B_002MA,B16005B_003MA,B16005B_003EA,B16005B_004MA,B16005B_004EA,B16005B_005MA,B16005B_005EA,B16005B_006EA,B16005B_006MA,B16005B_007EA,B16005B_007MA,B16005B_008MA,B16005B_008EA,B16005B_009MA,B16005B_009EA,B16005B_010MA,B16005B_010EA,B16005B_011EA,B16005B_011MA,state
0400000US01,1222285,6181,1209903,6732,1200826,6884,9077,1733,7726,1636,1351,532,12382,2788,6094,2140,6288,1932,4916,1841,1372,507,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20790,1614,15927,1802,14833,1897,1094,608,1009,598,85,137,4863,2014,486,365,4377,1979,2700,1368,1677,987,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,283854,5832,250670,6320,237310,6734,13360,2857,11813,2507,1547,940,33184,4875,10389,2477,22795,3827,11538,2581,11257,2896,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,425983,4691,422431,5071,419157,4999,3274,862,2687,730,587,369,3552,1326,1654,702,1898,1101,1598,1063,300,233,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2143569,18229,1970442,19484,1890187,19040,80255,6156,70432,5769,9823,2153,173127,10341,64612,5590,108515,7669,72065,6134,36450,3962,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,212946,5827,171271,6570,159594,6300,11677,2895,8843,2117,2834,1291,41675,5506,10244,2685,31431,5086,20562,3773,10869,2528,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,356468,6786,274500,8563,256414,8470,18086,3013,16238,2739,1848,657,81968,5998,48079,4977,33889,4335,21513,3288,12376,2311,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,198210,3347,179152,4822,173654,4848,5498,1713,4354,1478,1144,493,19058,3949,7137,2007,11921,3501,8099,2738,3822,1525,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,297390,2662,276436,4711,267909,5277,8527,1997,6071,1371,2456,1090,20954,3766,8787,2001,12167,2678,5401,1376,6766,2217,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3159920,18705,2442580,24697,2216124,23038,226456,13358,201300,12445,25156,4583,717340,19906,301324,14414,416016,17612,195718,11608,220298,12216,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
