GEO_ID,B12501_001E,B12501_001M,B12501_002E,B12501_002M,B12501_003E,B12501_003M,B12501_004E,B12501_004M,B12501_005E,B12501_005M,B12501_006E,B12501_006M,B12501_007E,B12501_007M,B12501_008E,B12501_008M,B12501_009E,B12501_009M,B12501_010E,B12501_010M,B12501_011E,B12501_011M,NAME,B12501_001EA,B12501_001MA,B12501_002MA,B12501_002EA,B12501_003EA,B12501_003MA,B12501_004MA,B12501_004EA,B12501_005EA,B12501_005MA,B12501_006MA,B12501_006EA,B12501_007EA,B12501_007MA,B12501_008MA,B12501_008EA,B12501_009MA,B12501_009EA,B12501_010EA,B12501_010MA,B12501_011EA,B12501_011MA,state
0400000US01,3972124,3503,1895814,3709,657497,10366,1238317,9727,30238,3124,1208079,9597,2076310,3989,609482,7910,1466828,8674,31366,2666,1435462,8220,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,583639,1229,307088,1526,117253,4123,189835,4009,7702,1376,182133,4010,276551,1567,81422,3730,195129,3621,6985,1323,188144,3524,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5663228,2008,2797660,2475,1038238,11413,1759422,11665,45466,3589,1713956,11943,2865568,1852,858557,10273,2007011,10059,44791,3555,1962220,10512,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2418049,3055,1179013,3349,368758,7792,810255,8200,26482,2779,783773,8109,1239036,3521,304307,7050,934729,7078,26713,2431,908016,7186,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32009857,3422,15802609,4183,6457535,27984,9345074,27831,273105,8614,9071969,27216,16207248,3926,5453614,27756,10753634,27485,262779,7595,10490855,28553,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4558575,2194,2281955,2677,819807,10045,1462148,10323,50942,3808,1411206,9563,2276620,2384,647734,9193,1628886,8878,50143,3360,1578743,8647,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2986837,1938,1442504,2026,550228,6766,892276,6910,23512,2669,868764,6881,1544333,1981,497398,8104,1046935,7446,20367,2813,1026568,7033,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,792511,507,379153,1265,135859,4520,243294,4433,7635,1492,235659,4395,413358,1113,133312,4559,280046,4185,7530,1224,272516,4034,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,585161,295,274333,549,161791,3736,112542,3742,6586,1216,105956,3410,310828,574,172944,3460,137884,3498,6337,1223,131547,3146,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17514198,4283,8482987,5321,2989886,22852,5493101,22213,148429,7960,5344672,22171,9031211,5206,2578311,24912,6452900,23889,141699,7192,6311201,24169,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
