GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002EA,C25093_002MA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005MA,C25093_005EA,C25093_006EA,C25093_006MA,C25093_007EA,C25093_007MA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010MA,C25093_010EA,C25093_011MA,C25093_011EA,C25093_012EA,C25093_012MA,C25093_013MA,C25093_013EA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016EA,C25093_016MA,C25093_017EA,C25093_017MA,state
0400000US01,1253199,12678,13971,2320,9585,1907,3782,1140,604,469,114820,4716,93377,4293,19043,2600,2400,954,708141,10380,586941,9661,113653,5431,7547,1394,416267,6478,335170,5820,77629,3955,3468,787,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,159344,3559,1148,463,484,301,616,363,48,57,16509,2048,11587,1502,4867,1324,55,71,102054,2711,78211,2811,23158,2128,685,251,39633,1731,30800,1692,8699,1117,134,120,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1652321,12356,14979,2277,8987,1772,5606,1336,386,272,148118,5610,114142,4863,32224,2918,1752,774,900613,9489,707963,9896,180423,6747,12227,1792,588611,6939,437884,7040,142893,5575,7834,1321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752399,11287,10412,1829,8359,1696,1752,738,301,425,73814,4662,63551,4063,9893,1830,370,305,418220,7347,352213,6985,61708,3725,4299,873,249953,4842,204582,4712,43643,3049,1728,595,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7125090,26839,33363,3220,16478,2155,15734,2144,1151,519,521168,9391,336708,8054,179783,6898,4677,1133,4309053,24324,2972824,21290,1300783,17579,35446,3335,2261506,14249,1494395,12497,748957,11262,18154,1793,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1394824,10847,12597,1718,7809,1510,4682,1084,106,114,151352,5576,114189,5161,36435,2556,728,575,845202,9393,667993,8525,169647,6223,7562,1492,385673,4563,280672,5151,102135,4009,2866,852,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,898234,7622,3603,1034,2443,834,1160,580,0,207,70482,3712,52929,3025,17104,2193,449,425,549855,6888,414856,7054,132449,5259,2550,806,274294,4451,175941,3798,96187,3791,2166,875,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,253948,5292,1684,711,1422,629,262,301,0,198,22298,2073,17034,2091,5118,1280,146,178,144386,4668,109714,4020,31797,2868,2875,962,85580,2371,63883,2423,20130,1965,1567,798,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,118805,3235,257,202,114,132,143,157,0,208,15137,1601,11907,1520,3177,823,53,88,69750,2909,54094,2797,15026,1542,630,347,33661,1757,24981,1686,8572,1172,108,107,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5010187,26720,30427,2869,17800,2088,11623,1979,1004,478,329762,7869,250725,7611,76011,5554,3026,794,2642208,19496,1980587,19759,625619,12063,36002,3586,2007790,13507,1429547,14202,550921,12058,27322,2495,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2354922,19925,19006,2471,13263,2352,4857,1183,886,508,215772,8262,171880,6972,41803,3945,2089,786,1438322,16595,1159308,15852,262802,9263,16212,2375,681822,7374,513779,8354,160104,5334,7939,1616,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,268078,4714,869,419,117,103,646,345,106,151,15578,1774,9266,1410,6051,1187,261,174,143649,4005,99385,3745,42397,3232,1867,694,107982,2656,78261,2718,28978,2150,743,385,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
