GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001MA,C14007G_001EA,C14007G_002EA,C14007G_002MA,C14007G_003EA,C14007G_003MA,C14007G_004EA,C14007G_004MA,C14007G_005EA,C14007G_005MA,C14007G_006MA,C14007G_006EA,C14007G_007MA,C14007G_007EA,state
0400000US01,84616,6237,40816,3987,5395,1286,18256,2704,9120,1572,8045,1753,43800,4321,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58057,4990,26794,2735,3713,1113,12491,1851,6940,1688,3650,944,31263,3320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,243422,11244,116069,6756,15250,1887,53716,4672,24670,2937,22433,2763,127353,7232,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,77411,5183,34057,3382,4735,1472,17475,2877,5781,1368,6066,1534,43354,3668,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1778906,37138,806424,21673,118628,6101,345372,12800,154151,7149,188273,7734,972482,22169,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177926,9936,77550,5978,10088,1956,36437,3555,13994,2111,17031,2532,100376,6367,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,107310,7070,55175,4341,7481,1632,23038,2644,14276,2189,10380,1816,52135,4631,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26183,3548,13374,2522,2345,917,6017,1634,2535,1139,2477,905,12809,2151,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18768,2956,7242,1756,1352,643,2392,1028,656,446,2842,894,11526,2457,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,511947,20222,229291,12083,35018,3510,105002,7802,46811,4090,42460,3903,282656,13739,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,257675,13534,125654,9925,19221,2995,56440,5598,26286,3528,23707,2911,132021,7002,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309906,11717,116205,5708,16725,2104,54248,3617,22092,2054,23140,3193,193701,9238,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,49048,5828,23082,3971,2847,1063,10053,2725,5435,1351,4747,1519,25966,3071,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,305044,12315,152097,7497,22431,2111,68774,5021,31795,3128,29097,2668,152947,8141,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,159542,7825,80669,5611,13155,2396,38110,3474,16575,2484,12829,2345,78873,5045,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,60583,5156,34311,3758,5208,1161,16120,2398,7033,2001,5950,1383,26272,2869,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,91610,5764,46327,4128,7326,1428,19581,2429,10209,1579,9211,1446,45283,3578,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,90120,5910,47771,4061,6931,1457,22164,2796,10226,1612,8450,1846,42349,3917,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,78593,6908,40187,4331,6234,1606,19286,2927,7894,1992,6773,1532,38406,4738,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,28723,2199,14407,1569,1627,517,5989,1081,3813,905,2978,863,14316,1480,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,188525,11092,93091,7384,14102,2158,43923,4732,18500,2605,16566,2296,95434,6342,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,193389,12270,94086,7494,13924,1948,41274,4824,17432,2469,21456,2759,99303,7687,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,269580,10014,134752,7000,19025,2238,63148,3855,30429,3355,22150,2253,134828,6144,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,141362,7724,73720,5131,12633,1817,35188,3106,14170,1871,11729,1769,67642,4440,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,36331,4763,16882,3118,3424,1055,7699,2014,4024,1280,1735,744,19449,2871,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,146178,8475,71957,6040,12086,2398,35155,3772,12635,2171,12081,2000,74221,4868,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31260,3219,13654,2016,1572,706,5898,1217,3719,1080,2465,745,17606,2267,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,44576,3318,22741,2579,3432,822,11162,1775,4255,1174,3892,980,21835,2414,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,127250,8213,53656,5450,7713,1567,27478,3901,9337,1684,9128,1535,73594,5404,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,25774,2854,12001,1985,1479,562,6387,1618,1982,702,2153,840,13773,1840,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,210643,9768,98335,5775,17625,2207,46624,3847,18096,2449,15990,1976,112308,7061,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,64458,5071,28516,3862,2909,1008,14801,2855,5874,1356,4932,1053,35942,3567,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,551114,17119,234923,10071,36049,3593,99056,6175,43782,3455,56036,4022,316191,12613,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,242269,12399,122300,7616,17845,2444,57906,4553,25362,3177,21187,2455,119969,7363,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13333,2299,6451,1756,854,514,3220,1026,1032,581,1345,529,6882,1231,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,307603,11489,156187,7354,19197,2240,76716,5288,33325,3445,26949,2987,151416,7698,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,278773,8676,118978,5771,15508,1436,56543,3312,25735,2744,21192,2305,159795,5235,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,186266,8665,81002,5384,10357,1668,35515,3335,17260,2219,17870,2554,105264,5611,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,283910,13729,144141,8990,20892,2719,68981,6280,28988,3126,25280,2639,139769,7708,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,32300,5116,15680,2766,1484,854,7442,1700,2403,865,4351,1158,16620,3087,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,97934,9168,46663,5638,7611,1583,22640,3690,9252,1814,7160,1813,51271,5331,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,21367,2801,9528,1612,892,433,5234,1171,1554,629,1848,798,11839,2214,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,129293,7802,61692,5579,9339,1490,30696,3898,13429,2639,8228,1420,67601,4837,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,681084,22634,318092,14803,46369,4462,147680,9491,61313,5613,62730,5339,362992,13159,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,83792,6821,43902,4083,4353,1005,21379,2841,9297,1662,8873,1898,39890,4216,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,11967,1602,5235,1190,778,459,2307,663,1054,533,1096,438,6732,1158,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,301199,14302,151317,8771,22042,2818,62749,5595,33551,2936,32975,3116,149882,8070,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,403649,13916,181389,7989,25058,2849,85523,5308,40243,3690,30565,2711,222260,9172,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,27338,3243,15768,2523,1445,646,8689,1763,3227,1080,2407,741,11570,1969,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,129552,6664,67188,4646,8635,1452,32972,2983,13886,1998,11695,1718,62364,4029,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,14892,2372,7883,1646,727,543,4106,1175,1046,652,2004,805,7009,1409,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,170483,11127,45082,4735,4594,1485,17035,2627,10176,2038,13277,2413,125401,8791,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
