GEO_ID,C15003_001E,C15003_001M,C15003_002E,C15003_002M,C15003_003E,C15003_003M,C15003_004E,C15003_004M,C15003_005E,C15003_005M,C15003_006E,C15003_006M,C15003_007E,C15003_007M,C15003_008E,C15003_008M,C15003_009E,C15003_009M,C15003_010E,C15003_010M,C15003_011E,C15003_011M,C15003_012E,C15003_012M,C15003_013E,C15003_013M,C15003_014E,C15003_014M,C15003_015E,C15003_015M,C15003_016E,C15003_016M,C15003_017E,C15003_017M,C15003_018E,C15003_018M,NAME,C15003_001MA,C15003_001EA,C15003_002MA,C15003_002EA,C15003_003EA,C15003_003MA,C15003_004EA,C15003_004MA,C15003_005EA,C15003_005MA,C15003_006MA,C15003_006EA,C15003_007MA,C15003_007EA,C15003_008EA,C15003_008MA,C15003_009EA,C15003_009MA,C15003_010EA,C15003_010MA,C15003_011MA,C15003_011EA,C15003_012MA,C15003_012EA,C15003_013MA,C15003_013EA,C15003_014EA,C15003_014MA,C15003_015EA,C15003_015MA,C15003_016MA,C15003_016EA,C15003_017MA,C15003_017EA,C15003_018MA,C15003_018EA,state
0400000US01,3309607,5907,37856,3272,10937,1819,24520,2923,64073,4128,64204,4874,85691,5103,96391,5282,63271,3653,850231,15526,179751,6838,194458,7524,514642,11433,278878,8974,528019,10136,228314,6902,51819,3781,36552,2923,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,481561,2194,5109,1522,1602,431,2436,769,5099,989,2631,559,9164,1957,7798,1126,6197,1322,105599,4656,27533,2804,36507,3244,90478,4360,42724,3095,86444,4760,37005,2673,10673,1723,4562,974,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4711362,2707,66740,4270,32186,3441,73592,5151,82182,5327,83412,5621,76432,5939,91705,6482,98649,5507,949695,15841,186798,7879,351294,9103,827515,13460,408070,11594,863062,15327,373079,9412,90457,5301,56494,3946,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2008398,4671,19952,2299,11284,2423,21541,2634,39958,3415,32157,3198,47093,3908,61544,4874,34013,2915,557166,12777,126119,6319,133435,5579,310500,9072,143522,6298,301294,8647,116823,5615,30772,3043,21225,2331,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26679273,5961,710279,13065,392676,11432,923836,20092,433202,13254,484032,12913,339253,10368,473072,12456,692952,15484,4937316,33486,603866,12167,1489912,24900,4151969,38452,2070661,22126,5616449,40234,2286009,24642,649019,14445,424770,10352,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3822068,3950,40496,3657,13077,2031,41597,4167,34181,3106,38901,3983,45863,4310,49487,4026,56034,4579,665293,12629,150302,5984,229050,8791,569781,11767,313309,8942,994894,11943,421760,10057,91918,4622,66125,4602,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2493854,1813,26455,3194,15724,2549,24654,3018,35231,3131,24850,2949,41749,3723,32010,3183,38616,3864,599504,14457,77407,4955,131870,6080,279984,9770,201193,8317,533791,10420,311043,7706,76815,3821,42958,3508,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,673686,1263,7865,2357,1898,778,4907,1264,8790,1604,8000,1552,10251,1605,12567,1807,9273,1643,196249,6987,22060,2407,36066,2866,91900,5291,51777,3569,121442,5053,65823,3892,12528,2114,12290,1997,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,494614,192,7111,2017,4172,1468,4408,1405,5428,1204,5436,1470,6709,1476,8347,1526,6720,1245,72373,4602,12660,1860,17444,2080,44565,3464,15722,2793,118172,5279,103144,5381,39893,2834,22310,2391,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15020177,8023,220810,9542,100563,7190,194577,11166,194941,9021,205874,8353,254539,10569,259247,11123,315382,12161,3711112,37825,618928,16215,927715,14920,2054563,26550,1507434,20651,2839500,31510,1127371,18713,315744,8694,171877,6541,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
